№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,iТ,Б,М
8549,28/02 02:00,Колледж Парк Скайхокс Кэпитал Сити Гоу-Гоу,+2.5 –2.5,1.85 1.93  ,238.5,1.89,1.88  ,2.18,11.5,1.81  ,118.5 120.5,1.89 1.96,1.88 1.82  
 ,1-я четв.:,+1.5 –1.5,1.71 2.10,61.5,1.87,1.90,2.04,11.5,1.87, 
 ,2-я четв.:,+1.5 –1.5,1.72 2.10,58.5,1.82,1.96,2.05,11.5,1.87, 
 ,3-я четв.:,+1.5 –1.5,1.70 2.12,57.5,1.92,1.86,2.01,11.5,1.90, 
 ,4-я четв.:,+1.5 –1.5,1.70 2.12,60.5,1.95,1.83,2.01,11.5,1.90, 
 ,Первая половина:,+1.5 –1.5,1.81 1.98,120.5,1.89,1.89,2.08,13.0,1.81, 
8550,28/02 02:00,Лонг-Айленд Нетс Эри Бэйхокс,–11.5 +11.5,1.92 1.85  ,223.5,1.86,1.91  ,1.23,14.5,4.60  ,117.5 106.5,1.88 1.93,1.90 1.84  
 ,1-я четв.:,–3.5 +3.5,1.97 1.82,58.5,1.96,1.82,1.50,12.0,2.75, 
 ,2-я четв.:,–2.5 +2.5,1.82 1.97,55.5,1.92,1.86,1.52,12.0,2.70, 
 ,3-я четв.:,–2.5 +2.5,1.88 1.90,53.5,1.83,1.96,1.57,12.0,2.55, 
 ,4-я четв.:,–2.5 +2.5,1.92 1.86,56.5,1.85,1.92,1.60,12.0,2.50, 
 ,Первая половина:,–5.5 +5.5,1.82 1.96,113.5,1.89,1.89,1.35,14.5,3.30, 
4407,28/02 02:00,Мэн Ред Клоус Лейкленд Мэджик,–8.5 +8.5,1.92 1.86  ,226.5,1.86,1.92  ,1.36,13.0,3.50  ,117.5 109.5,1.88 1.92,1.89 1.86  
 ,1-я четв.:,–2.5 +2.5,1.93 1.85,58.5,1.84,1.94,1.60,11.5,2.50, 
 ,2-я четв.:,–2.5 +2.5,1.96 1.82,56.5,1.98,1.80,1.62,11.5,2.44, 
 ,3-я четв.:,–1.5 +1.5,1.82 1.96,54.5,1.88,1.90,1.65,12.0,2.39, 
 ,4-я четв.:,–1.5 +1.5,1.86 1.92,57.5,1.91,1.87,1.68,12.0,2.31, 
