№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,iТ,Б,М
9343,28/02 02:00,Филадельфия 76ерс Нью-Йорк Никс,–7.5 +7.5,1.85 1.97  ,213.5,1.89,1.92  ,1.33,14.5,4.22  ,110.5 103.5,1.87 1.94,1.90 1.84  
 ,1-я четв.:,–2.5 +2.5,1.89 1.89, ,1.57,17.9,2.58, 
 ,2-я четв.:,–1.5 +1.5,1.83 1.95, ,1.65,16.5,2.43, 
 ,3-я четв.:,–2.5 +2.5,1.98 1.81, ,1.63,17.8,2.43, 
 ,4-я четв.:,–1.5 +1.5,1.97 1.81, ,1.76,15.8,2.24, 
 ,Первая половина:,–4.5 +4.5,1.92 1.86, ,1.44,22.5,2.92, 
9341,28/02 03:00,Индиана Пэйсерс Портленд Трэйл Блэйзерс,–9.5 +9.5,1.89 1.92  ,218.5,1.89,1.92  ,1.22,16.4,5.61  ,114.5 104.5,1.93 1.88,1.84 1.90  
 ,1-я четв.:,–3.5 +3.5,1.94 1.84,56.5,1.87,1.90,1.50,18.7,2.79, 
 ,2-я четв.:,–2.5 +2.5,1.92 1.85,55.5,1.84,1.94,1.58,17.1,2.57, 
 ,3-я четв.:,–2.5 +2.5,1.87 1.90,53.5,1.97,1.81,1.56,18.2,2.60, 
 ,4-я четв.:,–1.5 +1.5,1.91 1.87, ,1.71,15.9,2.32, 
 ,Первая половина:,–5.5 +5.5,1.88 1.89,112.5,1.88,1.89,1.35,23.7,3.34, 
9346,28/02 03:00,Оклахома-Сити Тандер Сакраменто Кингз,–6.5 +6.5,1.84 1.97  ,223.5,1.87,1.94  ,1.40,13.8,3.66  ,115.5 108.5,1.94 1.85,1.84 1.93  
 ,1-я четв.:,–2.5 +2.5,1.96 1.82,57.5,1.85,1.93,1.63,18.2,2.44, 
 ,2-я четв.:,–1.5 +1.5,1.88 1.89,56.5,1.84,1.94,1.69,16.8,2.32, 
 ,3-я четв.:,–1.5 +1.5,1.85 1.92,54.5,1.87,1.90,1.68,18.0,2.33, 
 ,4-я четв.:,–0.5 +0.5,1.81 1.97, ,1.81,15.9,2.18, 
 ,Первая половина:,–3.5 +3.5,1.87 1.91,114.5,1.87,1.91,1.50,22.0,2.71, 
9345,28/02 05:30,Голден Стэйт Уорриорз Лос-Анджелес Лейкерс,+10.5 –10.5,1.90 1.91  ,223.5,1.87,1.94  ,6.46,17.5,1.18  ,106.5 117.5,1.86 1.92,1.91 1.85  
 ,1-я четв.:,+3.5 –3.5,1.89 1.88,57.5,1.83,1.95,2.90,19.1,1.47, 
 ,2-я четв.:,+2.5 –2.5,1.90 1.87,56.5,1.82,1.96,2.64,17.4,1.55, 
 ,3-я четв.:,+2.5 –2.5,1.95 1.83,54.5,1.86,1.92,2.67,18.6,1.54, 
 ,4-я четв.:,+1.5 –1.5,1.89 1.88, ,2.36,16.1,1.68, 
 ,Первая половина:,+6.5 –6.5,1.83 1.95,115.5,1.96,1.82,3.56,24.4,1.32, 
