№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,iТ,Б,М
817,28/02 12:30,Перт Уайлдкэтс Кэйрнс Тайпенс,–6.5 +6.5,1.94 1.84  ,171.5,1.91,1.87  ,1.44,12.0,3.15  ,88.5 82.5,1.87 1.86,1.91 1.91  
 ,1-я четв.:,–1.5 +1.5,1.84 1.94,42.5,1.80,1.98,1.65,11.0,2.41, 
 ,2-я четв.:,–1.5 +1.5,1.89 1.89,41.5,1.80,1.99,1.68,11.0,2.35, 
 ,3-я четв.:,–1.5 +1.5,1.92 1.85,42.5,1.98,1.81,1.71,11.0,2.30, 
 ,4-я четв.:,–1.5 +1.5,1.95 1.83,43.5,1.89,1.89,1.74,11.0,2.25, 
 ,Первая половина:,–3.5 +3.5,1.92 1.85,85.5,1.96,1.82,1.53,13.0,2.65, 
3202,29/02 10:30,Сидней Кингз Мельбурн Юнайтед,–6.5 +6.5,1.94 1.80  ,182.5,1.90,1.84  ,1.39,15.3,3.07  ,93.5 88.5,1.83 1.89,1.91 1.85  
 ,1-я четв.:,–1.5 +1.5,1.85 1.89,46.5,1.82,1.92,1.63,14.6,2.33, 
 ,2-я четв.:,–1.5 +1.5,1.89 1.85,45.5,1.89,1.85,1.67,15.6,2.23, 
 ,3-я четв.:,–1.5 +1.5,1.90 1.84,43.5,1.95,1.79,1.68,15.5,2.23, 
 ,4-я четв.:,–0.5 +0.5,1.78 1.97,45.5,1.94,1.80,1.78,14.8,2.15, 
 ,Первая половина:,–2.5 +2.5,1.80 1.94,92.5,1.88,1.85,1.53,20.5,2.45, 
