№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,iТ,Б,М
3249,28/02 02:00,Испано Американо Химнасия КР,+2.5 –2.5,1.90 1.84  ,162.5,1.91,1.85  ,2.27,14.0,1.67  ,80.5 82.5,1.93 1.92,1.81 1.82  
 ,1-я четв.:,+0.5 –0.5,1.89 1.85,39.5,1.88,1.86,2.09,13.3,1.85, 
 ,2-я четв.:,+0.5 –0.5,1.88 1.81,38.5,1.91,1.83,2.04,14.7,1.81, 
 ,3-я четв.:,+0.5 –0.5,1.87 1.82,40.5,1.90,1.84,2.03,14.8,1.82, 
 ,4-я четв.:,+0.5 –0.5,1.85 1.84,42.5,1.92,1.82,2.01,14.3,1.84, 
 ,Первая половина:,+1.5 –1.5,1.81 1.93,78.5,1.94,1.80,2.10,18.2,1.73, 
3155,28/02 02:00,Пеньяроль Сан-Лоренсо Альмагро,+4.5 –4.5,1.92 1.82  ,172.5,1.85,1.89  ,2.74,14.7,1.48  ,84.5 88.5,1.90 1.87,1.84 1.87  
 ,1-я четв.:,+1.5 –1.5,1.82 1.93,42.5,1.95,1.79,2.26,13.8,1.68, 
 ,2-я четв.:,+1.5 –1.5,1.79 1.95,40.5,1.81,1.94,2.16,15.2,1.72, 
 ,3-я четв.:,+1.5 –1.5,1.79 1.96,43.5,1.97,1.78,2.15,15.4,1.73, 
 ,4-я четв.:,+0.5 –0.5,1.92 1.82,44.5,1.79,1.96,2.09,14.7,1.82, 
 ,Первая половина:,+2.5 –2.5,1.84 1.90,83.5,1.91,1.83,2.32,19.5,1.59, 
