№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,iТ,Б,М
5441,27/02 19:00,Зенит Ст.Петербург Бавария,–5.5 +5.5,1.92 1.93  ,152.5,1.97,1.88  ,1.45,15.9,3.04  ,78.5 73.5,1.89 1.87,1.89 1.90  
 ,1-я четв.:,–1.5 +1.5,1.90 1.87,38.5,1.96,1.82,1.65,13.5,2.37, 
 ,2-я четв.:,–1.5 +1.5,1.94 1.84,37.5,1.98,1.80,1.70,15.0,2.25, 
 ,3-я четв.:,–1.5 +1.5,1.94 1.83,36.5,1.83,1.94,1.70,14.6,2.25, 
 ,4-я четв.:,–0.5 +0.5,1.80 1.98,38.5,1.90,1.87,1.80,14.0,2.18, 
 ,Первая половина:,–2.5 +2.5,1.85 1.92,75.5,1.90,1.87,1.54,18.6,2.51, 
5985,27/02 19:00,ЦСКА Москва Барселона,–3.5 +3.5,1.98 1.87  ,165.5,1.95,1.90  ,1.68,14.8,2.40  ,83.5 81.5,1.84 1.89,1.94 1.89  
 ,1-я четв.:,–0.5 +0.5,1.80 1.93,41.5,1.86,1.92,1.80,13.8,2.12, 
 ,2-я четв.:,–0.5 +0.5,1.82 1.91,40.5,1.90,1.87,1.82,15.3,2.07, 
 ,3-я четв.:,–0.5 +0.5,1.82 1.91,39.5,1.83,1.95,1.82,15.0,2.07, 
 ,4-я четв.:,–0.5 +0.5,1.85 1.87,41.5,1.87,1.91,1.85,14.4,2.04, 
 ,Первая половина:,–1.5 +1.5,1.92 1.86,82.5,1.92,1.86,1.72,19.4,2.14, 
5983,27/02 21:00,Альба Берлин Анадолу Эфес,+6.5 –6.5,1.88 1.97  ,170.5,1.97,1.88  ,3.27,16.4,1.40  ,82.5 87.5,1.93 1.83,1.85 1.94  
 ,1-я четв.:,+1.5 –1.5,1.92 1.85,42.5,1.80,1.98,2.41,14.3,1.63, 
 ,2-я четв.:,+1.5 –1.5,1.88 1.90,41.5,1.85,1.92,2.28,15.6,1.67, 
 ,3-я четв.:,+1.5 –1.5,1.87 1.91,40.5,1.81,1.97,2.28,15.4,1.68, 
 ,4-я четв.:,+1.5 –1.5,1.79 1.99,42.5,1.84,1.94,2.19,14.7,1.74, 
 ,Первая половина:,+3.5 –3.5,1.83 1.95,84.5,1.85,1.93,2.52,20.5,1.53, 
5981,27/02 21:05,Маккаби Тель-Авив Олимпиакос,–8.5 +8.5,1.90 1.94  ,159.5,1.93,1.91  ,1.25,18.9,4.44  ,83.5 75.5,1.82 1.89,1.96 1.88  
 ,1-я четв.:,–2.5 +2.5,1.89 1.89,39.5,1.79,2.00,1.50,14.3,2.76, 
 ,2-я четв.:,–2.5 +2.5,1.95 1.83,38.5,1.83,1.95,1.56,15.6,2.52, 
 ,3-я четв.:,–2.5 +2.5,1.96 1.82,38.5,1.85,1.92,1.57,15.3,2.52, 
 ,4-я четв.:,–1.5 +1.5,1.88 1.90,40.5,1.90,1.88,1.65,14.5,2.36, 
 ,Первая половина:,–4.5 +4.5,1.86 1.92,78.5,1.82,1.95,1.37,20.7,3.09, 
6140,27/02 22:00,Баскония Црвена Звезда,–5.5 +5.5,1.99 1.86  ,150.5,1.89,1.95  ,1.49,15.7,2.89  ,77.5 73.5,1.86 1.93,1.91 1.84  
 ,1-я четв.:,–1.5 +1.5,1.93 1.84,38.5,1.90,1.87,1.68,13.5,2.32, 
 ,2-я четв.:,–1.5 +1.5,1.96 1.81,37.5,1.93,1.85,1.72,15.0,2.21, 
 ,3-я четв.:,–1.5 +1.5,1.97 1.81,35.5,1.81,1.97,1.72,14.4,2.22, 
 ,4-я четв.:,–0.5 +0.5,1.77 1.96,37.5,1.88,1.89,1.77,13.8,2.15, 
 ,Первая половина:,–2.5 +2.5,1.90 1.88,75.5,1.83,1.94,1.57,18.6,2.43, 
9377,28/02 19:00,Химки АСВЕЛ Лион-Виллербанн,–11.5 +11.5,1.99 1.86  ,164.5,1.89,1.96  ,1.15,22.2,5.98  ,87.5 76.5,1.82 1.82,1.96 1.96  
 ,1-я четв.:,–3.5 +3.5,1.94 1.84,41.5,1.84,1.94,1.41,15.2,3.09, 
 ,2-я четв.:,–2.5 +2.5,1.82 1.96,40.5,1.88,1.89,1.48,16.2,2.74, 
 ,3-я четв.:,–2.5 +2.5,1.83 1.95,39.5,1.85,1.93,1.49,15.9,2.74, 
 ,4-я четв.:,–2.5 +2.5,2.00 1.79,41.5,1.88,1.89,1.58,14.8,2.51, 
 ,Первая половина:,–6.5 +6.5,1.94 1.83,82.5,1.89,1.88,1.29,22.8,3.57, 
8948,28/02 20:00,Жальгирис Милан,–5.5 +5.5,1.86 1.99  ,153.5,1.93,1.92  ,1.42,16.2,3.17  ,79.5 74.5,1.90 1.96,1.88 1.82  
 ,1-я четв.:,–1.5 +1.5,1.87 1.90,38.5,1.81,1.96,1.63,13.7,2.41, 
 ,2-я четв.:,–1.5 +1.5,1.91 1.86,37.5,1.85,1.93,1.68,15.1,2.28, 
 ,3-я четв.:,–1.5 +1.5,1.92 1.85,36.5,1.83,1.95,1.68,14.6,2.28, 
 ,4-я четв.:,–0.5 +0.5,1.79 2.00,38.5,1.89,1.88,1.79,14.0,2.20, 
 ,Первая половина:,–2.5 +2.5,1.82 1.96,76.5,1.85,1.92,1.52,19.0,2.56, 
9314,28/02 22:00,Валенсия Фенербахче,0 0,1.89 1.97  ,156.5,1.82,2.04  ,1.94,14.5,2.02  ,79.5 78.5,1.96 1.85,1.82 1.92  
 ,1-я четв.:,–0.5 +0.5,1.98 1.80,39.5,1.84,1.93,1.98,13.5,1.97, 
 ,2-я четв.:,–0.5 +0.5,1.98 1.81,38.5,1.88,1.90,1.98,15.0,1.95, 
 ,3-я четв.:,–0.5 +0.5,1.98 1.80,37.5,1.80,1.98,1.98,14.6,1.95, 
 ,4-я четв.:,–0.5 +0.5,1.99 1.80,39.5,1.86,1.92,1.99,14.1,1.96, 
 ,Первая половина:,–0.5 +0.5,1.94 1.83,78.5,1.89,1.88,1.94,18.5,1.94, 
