№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,iТ,Б,М
9921,29/02 19:00,Канариас Ховентут,–8.5 +8.5,1.96 1.82  ,166.5,1.85,1.93  ,1.27,17.4,3.96  ,87.5 79.5,1.90 1.87,1.87 1.90  
 ,1-я четв.:,–2.5 +2.5,1.93 1.84,40.5,1.79,1.99,1.52,14.1,2.63, 
 ,2-я четв.:,–2.5 +2.5,1.99 1.79,39.5,1.84,1.94,1.58,15.3,2.43, 
 ,3-я четв.:,–1.5 +1.5,1.80 1.98,41.5,1.91,1.86,1.59,15.4,2.41, 
 ,4-я четв.:,–1.5 +1.5,1.90 1.87,43.5,1.93,1.85,1.66,14.6,2.28, 
 ,Первая половина:,–4.5 +4.5,1.92 1.86,81.5,1.97,1.81,1.40,20.3,2.88, 
9917,29/02 19:00,Сарагоса Эстудиантес,–11.5 +11.5,1.90 1.88  ,156.5,1.92,1.86  ,1.13,21.3,5.91  ,83.5 72.5,1.84 1.91,1.94 1.87  
 ,1-я четв.:,–3.5 +3.5,1.91 1.86,38.5,1.95,1.83,1.37,14.5,3.19, 
 ,2-я четв.:,–2.5 +2.5,1.80 1.99,37.5,1.97,1.81,1.45,15.6,2.79, 
 ,3-я четв.:,–2.5 +2.5,1.81 1.97,38.5,1.81,1.97,1.46,15.5,2.76, 
 ,4-я четв.:,–2.5 +2.5,1.98 1.80,40.5,1.86,1.92,1.56,14.5,2.51, 
 ,Первая половина:,–6.5 +6.5,1.91 1.87,75.5,1.89,1.89,1.24,21.5,3.85, 
9926,29/02 21:30,БК Андорра Гран Канария,–7.5 +7.5,1.96 1.82  ,162.5,1.87,1.91  ,1.33,16.4,3.50  ,84.5 78.5,1.86 1.95,1.92 1.83  
 ,1-я четв.:,–1.5 +1.5,1.79 1.99,40.5,1.94,1.84,1.57,13.8,2.51, 
 ,2-я четв.:,–1.5 +1.5,1.85 1.93,39.5,1.97,1.81,1.62,15.1,2.34, 
 ,3-я четв.:,–1.5 +1.5,1.86 1.92,39.5,1.79,1.99,1.63,15.1,2.33, 
 ,4-я четв.:,–1.5 +1.5,1.95 1.83,41.5,1.83,1.95,1.69,14.3,2.22, 
 ,Первая половина:,–3.5 +3.5,1.86 1.91,79.5,1.89,1.89,1.45,19.6,2.70, 
9923,29/02 21:30,Фуэнлабрада Баскония,+5.5 –5.5,1.83 1.95  ,159.5,1.87,1.90  ,2.82,15.1,1.47  ,77.5 82.5,1.86 1.95,1.91 1.83  
 ,1-я четв.:,+1.5 –1.5,1.84 1.93,39.5,1.96,1.82,2.30,13.4,1.67, 
 ,2-я четв.:,+1.5 –1.5,1.82 1.96,38.5,1.99,1.80,2.19,14.8,1.71, 
 ,3-я четв.:,+1.5 –1.5,1.81 1.97,39.5,1.89,1.88,2.18,14.8,1.71, 
 ,4-я четв.:,+0.5 –0.5,1.95 1.76,41.5,1.92,1.85,2.12,14.2,1.76, 
 ,Первая половина:,+2.5 –2.5,1.88 1.90,77.5,1.90,1.87,2.39,18.5,1.57, 
