№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,iТ,Б,М
535,27/02 20:30,Зволле Фейеноорд,–18.5 +18.5,1.84 1.90  ,159.5,1.84,1.90  ," ",89.5 70.5,1.90 1.87,1.84 1.87  
 ,1-я четв.:,–5.5 +5.5,1.84 1.89,40.5,1.96,1.79,1.20,17.5,4.63, 
 ,2-я четв.:,–4.5 +4.5,1.79 1.95,38.5,1.80,1.95,1.28,17.6,3.68, 
 ,3-я четв.:,–4.5 +4.5,1.81 1.93,39.5,1.97,1.78,1.28,17.3,3.66, 
 ,4-я четв.:,–3.5 +3.5,1.89 1.85,40.5,1.81,1.93,1.39,15.4,3.05, 
 ,Первая половина:,–10.5 +10.5,1.87 1.87,79.5,1.91,1.83,1.09,28.6,6.28, 
294,27/02 21:00,Арис Леуварден Амстердам,–7.5 +7.5,1.84 1.90  ,149.5,1.91,1.83  ,1.28,16.7,3.74  ,78.5 70.5,1.90 1.81,1.84 1.93  
 ,1-я четв.:,–2.5 +2.5,1.94 1.80,37.5,1.85,1.89,1.52,13.6,2.63, 
 ,2-я четв.:,–1.5 +1.5,1.79 1.96,36.5,1.87,1.87,1.59,14.9,2.42, 
 ,3-я четв.:,–1.5 +1.5,1.80 1.95,35.5,1.78,1.96,1.59,14.4,2.43, 
 ,4-я четв.:,–1.5 +1.5,1.90 1.84,37.5,1.86,1.88,1.66,13.7,2.30, 
 ,Первая половина:,–4.5 +4.5,1.94 1.80,74.5,1.90,1.84,1.40,19.0,2.92, 
534,27/02 21:00,БА Лимбург-Верт Гронинген,+18.5 –18.5,1.91 1.83  ,148.5,1.91,1.83  ," ",64.5 83.5,1.85 1.87,1.88 1.86  
 ,1-я четв.:,+5.5 –5.5,1.90 1.84,37.5,1.91,1.83,4.83,17.3,1.18, 
 ,2-я четв.:,+4.5 –4.5,1.96 1.79,36.5,1.93,1.82,3.78,17.3,1.27, 
 ,3-я четв.:,+4.5 –4.5,1.94 1.81,35.5,1.78,1.97,3.80,16.9,1.27, 
 ,4-я четв.:,+3.5 –3.5,1.85 1.88,37.5,1.85,1.89,3.14,15.0,1.38, 
 ,Первая половина:,+10.5 –10.5,1.88 1.86,73.5,1.84,1.90,6.88,28.2,1.08, 
133,27/02 21:00,Ден Босх Ден Хелдер,–22.5 +22.5,1.86 1.87  ,152.5,1.90,1.84  ," ",87.5 64.5,1.89 1.82,1.85 1.92  
 ,1-я четв.:,–6.5 +6.5,1.81 1.93,38.5,1.98,1.77,1.12,19.3,5.91, 
 ,2-я четв.:,–5.5 +5.5,1.79 1.96,36.5,1.80,1.95,1.21,18.8,4.41, 
 ,3-я четв.:,–5.5 +5.5,1.82 1.93,37.5,1.90,1.84,1.21,18.4,4.38, 
 ,4-я четв.:,–4.5 +4.5,1.96 1.79,39.5,1.95,1.79,1.32,15.8,3.46, 
 ,Первая половина:,–12.5 +12.5,1.84 1.90,75.5,1.92,1.82,1.04,31.9,8.61, 
