№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,iТ,Б,М
281,27/02 21:15,Анвил Зелёна-Гура,–1.5 +1.5,1.96 1.79  ,181.5,1.89,1.85  ,1.94,10.5,2.00  ,90.5 90.5,1.82 1.86,1.93 1.88  
 ,1-я четв.:,–1.5 +1.5,2.20 1.63,45.5,1.88,1.86,1.95,10.5,1.98, 
 ,2-я четв.:,–1.5 +1.5,2.20 1.63,44.5,1.88,1.86,1.95,11.0,1.97, 
 ,3-я четв.:,–1.5 +1.5,2.18 1.63,44.5,1.87,1.87,1.95,11.0,1.98, 
 ,4-я четв.:,–1.5 +1.5,2.18 1.64,45.5,1.79,1.96,1.94,11.0,1.98, 
 ,Первая половина:,–1.5 +1.5,2.10 1.68,90.5,1.94,1.80,1.92,12.5,1.96, 
3263,28/02 18:45,Сталь Острув Арка Гдыня,+5.5 –5.5,1.84 1.90  ,155.5,1.88,1.86  ,2.85,14.9,1.44  ,75.5 80.5,1.89 1.94,1.85 1.80  
 ,1-я четв.:,+1.5 –1.5,1.84 1.90,38.5,1.82,1.92,2.32,13.3,1.66, 
 ,2-я четв.:,+1.5 –1.5,1.81 1.93,37.5,1.85,1.88,2.21,14.8,1.70, 
 ,3-я четв.:,+1.5 –1.5,1.80 1.94,37.5,1.81,1.94,2.21,14.5,1.70, 
 ,4-я четв.:,+0.5 –0.5,1.95 1.80,39.5,1.86,1.88,2.14,13.9,1.80, 
 ,Первая половина:,+2.5 –2.5,1.88 1.86,76.5,1.87,1.87,2.44,18.4,1.55, 
3056,28/02 20:00,Гливице Трефл Сопот,+1.5 –1.5,1.90 1.84  ,167.5,1.87,1.87  ,2.07,13.8,1.80  ,83.5 84.5,1.89 1.91,1.84 1.83  
 ,1-я четв.:,+0.5 –0.5,1.82 1.92,41.5,1.97,1.78,2.00,13.5,1.92, 
 ,2-я четв.:,+0.5 –0.5,1.82 1.92,39.5,1.81,1.93,1.97,14.9,1.92, 
 ,3-я четв.:,+0.5 –0.5,1.82 1.92,41.5,1.88,1.85,1.97,15.0,1.92, 
 ,4-я четв.:,+0.5 –0.5,1.80 1.94,43.5,1.90,1.84,1.96,14.4,1.94, 
 ,Первая половина:,+0.5 –0.5,1.87 1.87,80.5,1.80,1.95,1.98,18.7,1.87, 
48,29/02 16:00,Легия Варшава Домброва-Гурнича,–5.5 +5.5,1.87 1.87  ,168.5,1.90,1.84  ,1.43,15.0,2.91  ,86.5 81.5,1.87 1.85,1.87 1.89  
 ,1-я четв.:,–1.5 +1.5,1.88 1.85,42.5,1.89,1.85,1.65,13.9,2.31, 
 ,2-я четв.:,–1.5 +1.5,1.92 1.82,41.5,1.94,1.80,1.69,15.2,2.21, 
 ,3-я четв.:,–1.5 +1.5,1.93 1.82,40.5,1.87,1.87,1.70,15.0,2.20, 
 ,4-я четв.:,–0.5 +0.5,1.79 1.95,42.5,1.89,1.85,1.79,14.3,2.13, 
 ,Первая половина:,–2.5 +2.5,1.84 1.90,83.5,1.84,1.90,1.55,19.8,2.40, 
53,29/02 18:30,Шлёнск Вроцлав Спойня Старгард,–4.5 +4.5,1.82 1.92  ,165.5,1.87,1.87  ,1.48,14.7,2.73  ,84.5 80.5,1.81 1.84,1.93 1.90  
 ,1-я четв.:,–1.5 +1.5,1.93 1.81,41.5,1.83,1.91,1.68,13.7,2.26, 
 ,2-я четв.:,–1.5 +1.5,1.95 1.79,40.5,1.88,1.86,1.72,15.1,2.16, 
 ,3-я четв.:,–1.5 +1.5,1.96 1.79,39.5,1.79,1.95,1.72,14.9,2.16, 
 ,4-я четв.:,–0.5 +0.5,1.82 1.92,41.5,1.83,1.91,1.82,14.2,2.11, 
 ,Первая половина:,–2.5 +2.5,1.90 1.84,82.5,1.89,1.85,1.59,19.4,2.33, 
55,29/02 20:30,Старт Люблин Полфарма,–18.5 +18.5,1.88 1.86  ,169.5,1.88,1.85  ,1.02,28.0,10.8  ,93.5 75.5,1.81 1.88,1.93 1.86  
 ,1-я четв.:,–5.5 +5.5,1.86 1.88,42.5,1.91,1.83,1.21,17.6,4.43, 
 ,2-я четв.:,–4.5 +4.5,1.81 1.94,41.5,1.95,1.79,1.29,17.7,3.59, 
 ,3-я четв.:,–4.5 +4.5,1.83 1.91,41.5,1.86,1.88,1.30,17.6,3.53, 
 ,4-я четв.:,–3.5 +3.5,1.90 1.84,43.5,1.88,1.86,1.41,15.7,2.98, 
 ,Первая половина:,–10.5 +10.5,1.89 1.85,83.5,1.86,1.88,1.11,28.6,5.77, 
