№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,iТ,Б,М
9588,28/02 12:00,Сеул Самсунг Тандерз Ульсан Мобис Фебус,+2.5 –2.5,1.82 1.92  ,151.5,1.83,1.91  ,2.16,13.9,1.74  ,75.5 76.5,1.90 1.83,1.84 1.91  
 ,1-я четв.:,+0.5 –0.5,1.85 1.89, ,2.05,12.8,1.89, 
 ,2-я четв.:,+0.5 –0.5,1.84 1.90, ,2.01,14.3,1.90, 
 ,3-я четв.:,+0.5 –0.5,1.84 1.90, ,2.00,14.4,1.90, 
 ,4-я четв.:,+0.5 –0.5,1.82 1.92, ,1.99,13.9,1.92, 
 ,Первая половина:,+0.5 –0.5,1.92 1.82, ,2.05,17.2,1.82, 
9590,28/02 12:00,Чханвон Сэйкерс Вонджу Тонпу Промы,+7.5 –7.5,1.88 1.86  ,155.5,1.83,1.90  ,3.67,16.5,1.29  ,74.5 81.5,1.89 1.86,1.85 1.88  
 ,1-я четв.:,+2.5 –2.5,1.79 1.96, ,2.61,13.6,1.53, 
 ,2-я четв.:,+1.5 –1.5,1.94 1.80, ,2.40,14.9,1.59, 
 ,3-я четв.:,+1.5 –1.5,1.93 1.81, ,2.39,14.9,1.60, 
 ,4-я четв.:,+1.5 –1.5,1.83 1.91, ,2.26,14.2,1.67, 
 ,Первая половина:,+3.5 –3.5,1.95 1.79, ,2.88,19.0,1.41, 
