№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,iТ,Б,М
3308,28/02 01:10,Агуада Капитоль,–15.5 +15.5,1.93 1.81  ,166.5,1.85,1.89  ,1.05,25.1,8.30  ,90.5 75.5,1.81 1.82,1.93 1.92  
 ,1-я четв.:,–4.5 +4.5,1.87 1.87,39.5,1.81,1.93,1.27,15.9,3.80, 
 ,2-я четв.:,–3.5 +3.5,1.79 1.96,38.5,1.85,1.89,1.36,16.6,3.19, 
 ,3-я четв.:,–3.5 +3.5,1.81 1.94,42.5,1.85,1.89,1.38,16.8,3.08, 
 ,4-я четв.:,–2.5 +2.5,1.82 1.92,44.5,1.85,1.88,1.48,15.4,2.71, 
 ,Первая половина:,–8.5 +8.5,1.88 1.86,78.5,1.86,1.88,1.16,24.9,4.86, 
3506,28/02 01:10,Урундай Университарио Сайяго,–12.5 +12.5,1.91 1.83  ,164.5,1.84,1.90  ,1.11,21.5,6.21  ,88.5 76.5,1.86 1.90,1.87 1.84  
 ,1-я четв.:,–3.5 +3.5,1.84 1.90,39.5,1.93,1.82,1.35,14.9,3.29, 
 ,2-я четв.:,–3.5 +3.5,1.94 1.81,38.5,1.95,1.79,1.43,15.8,2.86, 
 ,3-я четв.:,–3.5 +3.5,1.95 1.79,42.5,1.94,1.80,1.45,16.2,2.78, 
 ,4-я четв.:,–2.5 +2.5,1.93 1.82,44.5,1.94,1.80,1.55,15.0,2.52, 
 ,Первая половина:,–6.5 +6.5,1.82 1.92,77.5,1.87,1.87,1.23,22.4,3.98, 
