№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,iТ,Б,М
7778,27/02 19:00,Цибона Горица,–13.5 +13.5,1.95 1.82  ,165.5,1.90,1.87  ,1.09,23.6,7.06  ,89.5 76.5,1.93 1.94,1.85 1.83  
 ,1-я четв.:,–3.5 +3.5,1.81 1.97,42.5,1.95,1.82,1.34,15.5,3.35, 
 ,2-я четв.:,–3.5 +3.5,1.91 1.87,40.5,1.81,1.97,1.42,16.3,2.91, 
 ,3-я четв.:,–3.5 +3.5,1.93 1.85,39.5,1.87,1.90,1.42,15.9,2.92, 
 ,4-я четв.:,–2.5 +2.5,1.91 1.86,41.5,1.91,1.87,1.52,14.7,2.61, 
 ,Первая половина:,–7.5 +7.5,1.92 1.85,83.5,1.91,1.86,1.22,23.8,3.99, 
2912,28/02 21:15,Дубрава Загреб Гермес Аналитика,–5.5 +5.5,1.93 1.85  ,168.5,1.85,1.92  ,1.46,15.2,2.86  ,86.5 82.5,1.85 1.93,1.93 1.84  
 ,1-я четв.:,–1.5 +1.5,1.92 1.85,42.5,1.86,1.91,1.67,13.9,2.28, 
 ,2-я четв.:,–1.5 +1.5,1.95 1.83,41.5,1.91,1.86,1.70,15.2,2.18, 
 ,3-я четв.:,–1.5 +1.5,1.96 1.82,40.5,1.86,1.92,1.71,15.0,2.18, 
 ,4-я четв.:,–0.5 +0.5,1.82 1.96,42.5,1.88,1.89,1.82,14.4,2.12, 
 ,Первая половина:,–2.5 +2.5,1.88 1.89,84.5,1.93,1.85,1.57,19.8,2.36, 
