№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,iТ,Б,М
3101,28/02 20:04,Бурос Баскет Веттербюгден Старз,–13.5 +13.5,1.86 1.88  ,178.5,1.86,1.88  ,1.08,23.3,7.21  ,96.5 82.5,1.92 1.87,1.82 1.87  
 ,1-я четв.:,–4.5 +4.5,1.97 1.78,44.5,1.91,1.83,1.33,16.0,3.39, 
 ,2-я четв.:,–3.5 +3.5,1.86 1.88,43.5,1.96,1.78,1.41,16.6,2.95, 
 ,3-я четв.:,–3.5 +3.5,1.88 1.86,44.5,1.97,1.78,1.42,16.7,2.89, 
 ,4-я четв.:,–2.5 +2.5,1.87 1.87,46.5,1.95,1.80,1.52,15.4,2.59, 
 ,Первая половина:,–7.5 +7.5,1.85 1.89,87.5,1.87,1.87,1.22,24.6,4.03, 
3638,28/02 20:04,Норрчёпинг Долфинс Несшё Баскет,–7.5 +7.5,1.90 1.84  ,161.5,1.87,1.87  ,1.30,16.3,3.54  ,84.5 77.5,1.91 1.89,1.83 1.85  
 ,1-я четв.:,–2.5 +2.5,1.98 1.77,40.5,1.82,1.92,1.55,13.9,2.53, 
 ,2-я четв.:,–1.5 +1.5,1.82 1.92,39.5,1.86,1.88,1.61,15.2,2.36, 
 ,3-я четв.:,–1.5 +1.5,1.82 1.92,38.5,1.79,1.96,1.62,14.9,2.36, 
 ,4-я четв.:,–1.5 +1.5,1.92 1.82,40.5,1.83,1.91,1.68,14.2,2.24, 
 ,Первая половина:,–3.5 +3.5,1.82 1.92,80.5,1.87,1.87,1.44,19.9,2.73, 
3291,28/02 20:04,Сёдертелье Кингз Умео,–16.5 +16.5,1.90 1.83  ,164.5,1.88,1.86  ,1.04,26.4,9.20  ,90.5 74.5,1.89 1.94,1.85 1.80  
 ,1-я четв.:,–4.5 +4.5,1.79 1.95,41.5,1.90,1.84,1.25,16.6,3.98, 
 ,2-я четв.:,–4.5 +4.5,1.92 1.82,40.5,1.94,1.80,1.34,17.0,3.30, 
 ,3-я четв.:,–4.5 +4.5,1.94 1.80,40.5,1.97,1.77,1.34,16.7,3.28, 
 ,4-я четв.:,–2.5 +2.5,1.78 1.97,41.5,1.81,1.93,1.45,15.2,2.83, 
 ,Первая половина:,–9.5 +9.5,1.93 1.81,81.5,1.85,1.89,1.14,26.3,5.08, 
3495,28/02 21:04,Ямтланд Баскет Лулео,+2.5 –2.5,1.91 1.83  ,175.5,1.84,1.90  ,2.28,14.0,1.67  ,86.5 89.5,1.81 1.93,1.93 1.81  
 ,1-я четв.:,+0.5 –0.5,1.90 1.84,43.5,1.91,1.83,2.08,13.8,1.84, 
 ,2-я четв.:,+0.5 –0.5,1.88 1.81,42.5,1.96,1.79,2.03,15.2,1.81, 
 ,3-я четв.:,+0.5 –0.5,1.88 1.81,43.5,1.90,1.84,2.03,15.4,1.81, 
 ,4-я четв.:,+0.5 –0.5,1.85 1.84,45.5,1.89,1.85,2.00,14.7,1.84, 
 ,Первая половина:,+1.5 –1.5,1.82 1.92,85.5,1.87,1.87,2.08,19.6,1.73, 
