№,Дата,Событие,Т,Б,М,П1,X,П2
8661,28/02 20:00,Хусейн Байсангуров Арман Торосян," ",1.09,27.0,8.00  
559,28/02 21:00,Максим Продан Микеле Эспозито," ",1.10,27.0,7.00  
2,29/02 01:00,Карлос Такам Фабио Мальдонадо," ",1.01,30.0,15.0  
16,29/02 01:00,Кевин Ньюман II Генк Пллана," ",1.12,23.0,5.50  
9933,29/02 01:00,Кит Хантер Санярбек Рахманов," ",1.40,17.0,2.75  
31,29/02 01:00,Клетус Селдин Луис Эдуардо Флорес," ",1.01,30.0,15.0  
9955,29/02 01:00,Ладариус Миллер Маркос Хименез," ",1.05,25.0,8.50  
9957,29/02 01:00,Ричардсон Хитчинс Ник Деломба," ",1.03,29.0,10.0  
4456,29/02 07:00,Бо Белбин Уилл Парсонc," ",1.14,19.0,5.00  
311,29/02 07:00,Джейд Митчелл Истван Сили," ",1.03,29.0,10.0  
4467,29/02 07:00,Джон Манну Джош Готтшок," ",1.14,19.0,5.00  
3928,29/02 07:00,Лиам Уилсон Хесус Куадро," ",1.27,19.0,3.50  
372,29/02 07:00,Мозе Ауиматаги мл. Илиас Ачерги," ",1.07,23.0,7.50  
415,29/02 20:00,Керман Лехаррага Хосе де Хесус Макиас," ",1.02,30.0,11.0  
811,01/03 01:00,Джесси Родригес Марко Сустайта," ",1.07,25.0,7.50  
4816,01/03 01:00,Джозеф Паркер Шонделл Терелл Уинтерс,5.5,1.87,1.87  ,1.04,26.0,10.0  
9918,01/03 01:00,Диего Пачеко Оскар Риохас," ",1.02,30.0,11.0  
2183,01/03 01:00,Исраил Мадримов Чарли Наварро," ",1.01,30.0,15.0  
8209,01/03 01:00,Мурат Гассиев Джерри Форрест," ",1.01,30.0,15.0  
6802,01/03 03:00,Хулио Сесар Мартинес Агилар Джей Харрис,5.5,2.00,1.72  ,1.05,26.0,8.50  
8229,01/03 04:00,Халид Яфаи Роман Гонсалес,10.5,1.36,3.00  ,1.80,17.0,2.00  
6845,01/03 05:00,Майки Гарсия Джесси Варгас,10.5,1.18,4.50  ,1.16,23.0,4.50  
5403,07/03 20:00,Скотт Куигг Джоно Кэрролл," ",1.67,17.0,2.12  
5671,21/03 23:00,Майрис Бриедис Юниел Дортикос," ",1.53,19.0,2.37  
4716,28/03 23:00,Давид Аванесян Джош Келли," ",1.61,17.0,2.30  
9313,04/04 23:59,Льюис Ритсон Мигель Васкес," ",1.06,21.0,9.00  
7307,11/04 23:59,Даниель Дюбуа Джо Джойс,7.5,1.92,1.82  ,1.22,21.0,4.00  
4722,18/04 23:00,Диллиан Уайт Александр Поветкин," ",1.27,27.0,3.50  
4227,22/04 12:00,Джефф Хорн Тим Цзю," ",2.45,19.0,1.53  
4808,13/06 23:00,Энтони Джошуа Кубрат Пулев," ",1.11,26.0,6.00  
