№,Дата,Событие,Фора,КФ,Т,Б,М,П1,П2,3:0,3:1,3:2,2:3,1:3,0:3,iТ,Б,М
3363,27/02 18:30,Ольштын Хемик Быдгощ,–10.5 +10.5,1.90 1.90  ,177.5,1.88,1.92  ,1.21,4.40  ,2.85,2.95,4.70,7.90,11.0,19.5  ,94.5 82.5,1.90 1.88,1.84 1.86  
 ,1-й сет:,–2.5 +2.5,1.77 1.99,45.5,1.87,1.87,1.40,2.80, 
 , , ,44.5,1.55,2.35, , 
 ,2-й сет:,–2.5 +2.5,1.77 1.99,45.5,1.87,1.87,1.40,2.80, 
 , , ,44.5,1.55,2.35, , 
 ,3-й сет:,–2.5 +2.5,1.77 1.99,45.5,1.87,1.87,1.40,2.80, 
 , , ,44.5,1.55,2.35, , 
5676,28/02 21:30,Слепск Сувалки Чарни Радом,+2.5 –2.5,1.92 1.88  ,185.5,1.93,1.87  ,2.15,1.70  ," ",93.5 95.5,1.88 1.90,1.86 1.84  
 ,1-й сет:,+2.5 –2.5,1.53 2.41,46.5,2.10,1.68,2.00,1.76, 
 ,2-й сет:,+2.5 –2.5,1.53 2.41,46.5,2.10,1.68,2.00,1.76, 
 ,3-й сет:,+2.5 –2.5,1.53 2.41,46.5,2.10,1.68,2.00,1.76, 
