№,Дата,Событие,Фора,КФ,Т,Б,М,П1,П2
1783,27/02 16:00,FlyToMoon Spirit,–1.5 +1.5,3.45 1.28  ,2.5,1.87,1.87  ,1.87,1.87  
 ,1-я карта:,+4.5 –4.5,1.68 2.11,47.5,1.87,1.87, , 
 , ,+5.5 –5.5,1.63 2.20,45.5,1.72,2.05, , 
 , ,–4.5 +4.5,2.11 1.68,49.5,2.08,1.70, , 
1784,27/02 19:00,Virtus.pro Spirit,–1.5 +1.5,1.68 2.11  ,2.5,2.43,1.52  ,1.18,4.50  
 ,1-я карта:,–10.5 +10.5,1.87 1.87,44.5,1.92,1.82, , 
 , ,–9.5 +9.5,1.80 1.95,46.5,2.12,1.67, , 
 , ,–11.5 +11.5,2.00 1.76,42.5,1.80,1.95, , 
1812,28/02 19:00,forZe Aggressive Mode,–1.5 +1.5,3.00 1.36  ,2.5,1.89,1.85  ,1.70,2.08  
 ,1-я карта:,–3.5 +3.5,1.89 1.85,48.5,1.87,1.87, , 
 , ,–4.5 +4.5,2.00 1.76,46.5,1.72,2.05, , 
 , ,–5.5 +5.5,2.15 1.65,50.5,2.08,1.70, , 
7096,28/02 14:00,Virtus.pro Cyber Legacy,–1.5 +1.5,1.55 2.36  ,2.5,2.48,1.50  ,1.15,5.00  
 ,1-я карта:,–11.5 +11.5,1.87 1.87,43.5,1.87,1.87, , 
 , ,–12.5 +12.5,2.00 1.76,45.5,2.08,1.70, , 
 , ,–10.5 +10.5,1.80 1.95,41.5,1.72,2.05, , 
7098,28/02 16:00,Winstrike  Spirit,–1.5 +1.5,3.45 1.28  ,2.5,1.87,1.87  ,1.80,1.95  
 ,1-я карта:,–4.5 +4.5,2.05 1.72,45.5,1.87,1.87, , 
 , ,+4.5 –4.5,1.63 2.20,47.5,2.08,1.70, , 
 , ,–5.5 +5.5,2.15 1.65,43.5,1.72,2.05, , 
