№,Дата,Событие,П1,П2,№,Дата,Событие,П1,П2
6097,29/02 22:00,Ghost Flight,1.30,3.30  
6098,29/02 22:50,NRG Rogue,1.15,5.00  
6099,29/02 23:40,Ghost Susquehanna Soniqs,2.35,1.55  
6100,01/03 00:30,eUnited Rogue,2.11,1.68  
5434,01/03 01:00,Canberra Havoc Renegades,2.42,1.52  
6101,01/03 01:20,Pittsburgh Knights Spacestation,3.45,1.28  
5437,01/03 01:45,Mindfreak Overt,1.25,3.75  
6110,01/03 02:10,Cloud9 G2,4.20,1.20  
5438,01/03 02:30,Esper Ground Zero,6.25,1.10  
5439,01/03 03:15,FURY Cringe Society,5.55,1.12  
6111,01/03 19:00,Veloce Singularity,1.36,3.00  
6112,01/03 19:50,Renault Vitality AS Monaco,1.20,4.20  
6113,01/03 20:40,Veloce Endpoint,1.42,2.75  
6114,01/03 21:30,Reciprocity FC Barcelona,1.50,2.48  
6115,01/03 22:20,TSM AS Monaco,1.62,2.20  
6116,01/03 23:10,Dignitas mousesports,1.52,2.42  
