№,Дата,Событие,Фора,КФ,П1,П2
6490,29/02 18:00,paiN FURIA," ",1.62,2.20  
 ,1-я карта:,–4.5 +4.5,1.87 1.87, , 
6543,29/02 19:00,Vivo Keyd KaBuM!," ",1.28,3.45  
 ,1-я карта:,–7.5 +7.5,1.92 1.82, , 
6546,29/02 20:00,Flamengo  INTZ," ",1.40,2.80  
 ,1-я карта:,–5.5 +5.5,1.82 1.92, , 
6548,29/02 21:00,Prodigy Redemption POA," ",1.45,2.62  
 ,1-я карта:,–5.5 +5.5,1.87 1.87, , 
6551,01/03 18:00,Flamengo  paiN," ",1.67,2.12  
 ,1-я карта:,–4.5 +4.5,1.92 1.82, , 
6554,01/03 19:00,Redemption POA INTZ," ",2.25,1.60  
 ,1-я карта:,+4.5 –4.5,1.90 1.85, , 
6555,01/03 20:00,Vivo Keyd Prodigy," ",1.82,1.92  
 ,1-я карта:,–4.5 +4.5,2.11 1.68, , 
6559,01/03 21:00,KaBuM! FURIA," ",3.45,1.28  
 ,1-я карта:,+7.5 –7.5,1.82 1.92, , 
