№,Дата,Событие,П1,П2,№,Дата,Событие,П1,П2
8260,27/02 16:00,1 Born Savage Future Perfect UA,2.20,1.62  
8261,27/02 17:00,1 Future Perfect UA Elements PG,10.0,1.03  
8264,27/02 18:00,1 Born Savage CrowCrowd,4.00,1.22  
8265,27/02 19:00,1 Funny Yellow dog Deep Dark Fantasies,2.25,1.60  
8266,27/02 20:00,1 Deep Dark Fantasies Vega Squadron,5.55,1.12  
8267,27/02 21:00,1 Funny Yellow dog M19,3.75,1.25  
8420,29/02 15:00,1 Elements PG RoX,1.42,2.75  
8429,29/02 16:00,1 CrowCrowd Dragon Army,1.76,2.00  
8430,29/02 17:00,1 M19 Vega Squadron,3.00,1.36  
8431,29/02 18:00,1 Gambit Unicorns of Love,2.25,1.60  
8432,01/03 15:00,1 Elements PG Dragon Army,1.12,5.55  
8433,01/03 16:00,1 CrowCrowd RoX,2.75,1.42  
8434,01/03 17:00,1 Vega Squadron Gambit,5.00,1.15  
8436,01/03 18:00,1 M19 Unicorns of Love,8.00,1.06  
