№,Дата,Событие,Фора,КФ,П1,П2
4467,28/02 19:00,Schalke 04 Origen," ",3.75,1.25  
 ,1-я карта:,+7.5 –7.5,1.82 1.92, , 
4472,28/02 20:00,Rogue exceL," ",1.50,2.48  
 ,1-я карта:,–5.5 +5.5,1.90 1.85, , 
4475,28/02 21:00,Fnatic Misfits," ",1.36,3.00  
 ,1-я карта:,–6.5 +6.5,1.90 1.85, , 
4476,28/02 22:00,Vitality MAD Lions," ",3.20,1.32  
 ,1-я карта:,+6.5 –6.5,1.87 1.87, , 
4477,28/02 23:00,G2 SK Gaming," ",1.12,5.55  
 ,1-я карта:,–8.5 +8.5,1.80 1.95, , 
4478,29/02 18:00,MAD Lions exceL," ",1.50,2.48  
 ,1-я карта:,–5.5 +5.5,1.90 1.85, , 
4479,29/02 19:00,Rogue Origen," ",2.62,1.45  
 ,1-я карта:,+4.5 –4.5,1.87 1.87, , 
4482,29/02 20:00,G2 Vitality," ",1.12,5.55  
 ,1-я карта:,–8.5 +8.5,1.80 1.95, , 
4484,29/02 21:00,Misfits SK Gaming," ",1.28,3.45  
 ,1-я карта:,–7.5 +7.5,1.90 1.85, , 
4486,29/02 22:00,Fnatic Schalke 04," ",1.20,4.20  
 ,1-я карта:,–7.5 +7.5,1.72 2.05, , 
