№,Дата,Событие,Фора,КФ,П1,X,П2,1X,12,X2
9343,12/03 11:05,Парраматта Илз Кентербери Буллдогз,–8.5 +8.5,1.98 1.84  ,1.41,23.3,3.34  ,1.30, ,2.80  
 ,1-й тайм:,–4.5 +4.5,1.93 1.81,1.53,11.4,2.96,1.35,1.01,2.33, 
9347,13/03 09:00,Канберра Рэйдерс Голд-Коуст Тайтенс,–10.5 +10.5,1.90 1.91  ,1.32,26.0,3.91  ,1.23, ,3.20  
 ,1-й тайм:,–5.5 +5.5,1.81 1.93,1.46,11.8,3.25,1.29,1.01,2.50, 
9345,13/03 11:05,Норт Квинсленд Каубойз Брисбен Бронкоc,–0.5 +0.5,1.96 1.85  ,1.96,21.0,2.02  ,1.74, ,1.79  
 ,1-й тайм:,–0.5 +0.5,1.99 1.76,1.99,11.3,2.04,1.69,1.01,1.73, 
9354,14/03 06:00,Ньюкасл Найтс Нью Зиланд Уорриорз,–6.5 +6.5,1.93 1.88  ,1.50,22.9,2.94  ,1.37, ,2.48  
 ,1-й тайм:,–3.5 +3.5,1.80 1.95,1.61,11.3,2.72,1.40,1.01,2.17, 
9352,14/03 08:30,Сауз Сидней Рэббитос Кроналла-Сазерленд Шаркс,–3.5 +3.5,1.91 1.90  ,1.69,21.4,2.41  ,1.53, ,2.10  
 ,1-й тайм:,–1.5 +1.5,1.78 1.97,1.77,11.3,2.35,1.53,1.01,1.94, 
9349,14/03 10:35,Пенрит Пантерз Сидней Рустерз,+6.5 –6.5,1.93 1.88  ,3.04,22.7,1.47  ,2.55, ,1.35  
 ,1-й тайм:,+3.5 –3.5,1.98 1.77,2.78,11.3,1.58,2.23,1.01,1.39, 
9358,15/03 07:05,Мэнли-Уорринга Си Иглз Мельбурн Сторм,+2.5 –2.5,1.86 1.96  ,2.32,20.8,1.75  ,2.01, ,1.57  
 ,1-й тайм:,+1.5 –1.5,1.92 1.82,2.28,11.3,1.81,1.89,1.01,1.55, 
9356,15/03 09:15,Ст.Джордж Илл. Дрэгонс Уэстс Тайгерз,–1.5 +1.5,1.91 1.90  ,1.87,20.2,2.14  ,1.66, ,1.87  
 ,1-й тайм:,–0.5 +0.5,1.91 1.83,1.91,11.3,2.14,1.63,1.01,1.79, 
