№,Дата,Событие,Фора,КФ,П1,X,П2,1X,12,X2
6217,28/02 21:45,Глостер Сэйл Шаркс,–3.5 +3.5,1.89 1.85  ,1.60,22.4,2.42  ,1.52, ,2.25  
 ,1-й тайм:,–1.5 +1.5,1.90 1.84,1.74,14.3,2.15,1.62, ,1.97, 
111,29/02 17:00,Лестер Тайгерз Вустер Уорриорз,–5.5 +5.5,1.91 1.83  ,1.48,22.6,2.78  ,1.41, ,2.55  
 ,1-й тайм:,–2.5 +2.5,1.88 1.86,1.63,14.1,2.36,1.52, ,2.14, 
516,29/02 17:00,Нортгемптон Сэйнтс Сарацинз,–5.5 +5.5,1.83 1.91  ,1.42,23.0,2.98  ,1.36, ,2.75  
 ,1-й тайм:,–2.5 +2.5,1.82 1.92,1.58,14.0,2.46,1.48, ,2.23, 
113,29/02 17:00,Харлекинс Эксетер Чифс,+6.5 –6.5,1.84 1.90  ,3.04,23.2,1.41  ,2.80, ,1.35  
 ,1-й тайм:,+2.5 –2.5,1.94 1.80,2.48,14.1,1.57,2.25, ,1.48, 
3076,01/03 16:30,Лондон Айриш Уоспс,–1.5 +1.5,1.82 1.92  ,1.72,22.0,2.20  ,1.63, ,2.05  
 ,1-й тайм:,–0.5 +0.5,1.82 1.92,1.82,14.4,2.10,1.65, ,1.88, 
3717,01/03 17:00,Бат Бристоль,–3.5 +3.5,1.90 1.84  ,1.61,21.9,2.42  ,1.52, ,2.23  
 ,1-й тайм:,–1.5 +1.5,1.88 1.86,1.72,14.1,2.18,1.61, ,2.00, 
