№,Дата,Событие,Фора,КФ,П1,X,П2,1X,12,X2
6785,28/02 21:35,Ленстер Глазго Уорриорз,–13.5 +13.5,1.92 1.82  ,1.16,30.1,5.39  ,1.13, ,4.80  
 ,1-й тайм:,–6.5 +6.5,1.89 1.85,1.36,15.0,3.41,1.22, ,2.65, 
6786,28/02 21:35,Эдинбург Кардифф Блюз,–13.5 +13.5,1.92 1.82  ,1.15,30.1,5.60  ,1.12, ,5.00  
 ,1-й тайм:,–6.5 +6.5,1.89 1.85,1.35,15.3,3.49,1.21, ,2.70, 
192,29/02 19:00,Манстер Скарлетс,–10.5 +10.5,1.90 1.84  ,1.23,26.6,4.34  ,1.19, ,3.90  
 ,1-й тайм:,–4.5 +4.5,1.84 1.90,1.41,14.4,3.01,1.28, ,2.48, 
465,29/02 19:15,Дрэгонс Фри Стэйт Читаз,+1.5 –1.5,1.91 1.83  ,2.17,23.1,1.73  ,2.03, ,1.64  
 ,1-й тайм:,+0.5 –0.5,1.86 1.88,2.02,14.8,1.88,1.73, ,1.62, 
3647,01/03 15:00,Саузерн Кингз Коннахт,+11.5 –11.5,1.86 1.88  ,4.71,28.2,1.20  ,4.20, ,1.17  
 ,1-й тайм:,+5.5 –5.5,1.86 1.88,3.28,14.6,1.38,2.60, ,1.25, 
