№,Дата,Событие,Фора,КФ,П1,X,П2,1X,12,X2
2688,27/02 21:45,Гренобль Биарриц Олимпик,–11.5 +11.5,1.91 1.83  ,1.17,26.9,5.20  ,1.14, ,4.70  
 ,1-й тайм:,–5.5 +5.5,1.86 1.88,1.34,14.1,3.51,1.21, ,2.75, 
6192,28/02 21:00,Безье Стад Монтуа,–6.5 +6.5,1.83 1.91  ,1.35,21.9,3.44  ,1.28, ,3.05  
 ,1-й тайм:,–3.5 +3.5,1.94 1.80,1.53,12.6,2.66,1.36, ,2.18, 
6367,28/02 21:00,Ванн Валанс Роман Дром,–19.5 +19.5,1.87 1.87  ,1.03,56.6,11.8  ," "
 ,1-й тайм:,–9.5 +9.5,1.86 1.87,1.15,16.9,5.61,1.07, ,4.10, 
6353,28/02 21:00,Каркассон Монтобан,–7.5 +7.5,1.83 1.91  ,1.30,23.1,3.75  ,1.25, ,3.35  
 ,1-й тайм:,–3.5 +3.5,1.84 1.90,1.47,13.1,2.84,1.32, ,2.33, 
6366,28/02 21:00,Перпиньян Руан Нормандия,–27.5 +27.5,1.92 1.82  ," "," "
6407,28/02 21:00,Прованс Регби Стад Орийак,–8.5 +8.5,1.84 1.90  ,1.26,24.1,4.09  ,1.21, ,3.60  
 ,1-й тайм:,–4.5 +4.5,1.93 1.81,1.44,13.3,2.95,1.30, ,2.40, 
6408,28/02 21:45,Коломье Ойонна,–6.5 +6.5,1.88 1.85  ,1.38,21.8,3.26  ,1.31, ,2.90  
 ,1-й тайм:,–3.5 +3.5,1.95 1.80,1.53,12.9,2.63,1.37, ,2.18, 
3159,01/03 15:25,Ангулем Невер,–2.5 +2.5,1.82 1.93  ,1.62,21.1,2.41  ,1.53, ,2.21  
 ,1-й тайм:,–1.5 +1.5,1.93 1.81,1.75,13.5,2.15,1.55, ,1.85, 
