№,Дата,Событие,Фора,КФ,П1,X,П2,1X,12,X2
473,29/02 16:30,Расинг 92 Ла-Рошель,–7.5 +7.5,1.85 1.89  ,1.32,23.9,3.54  ,1.27, ,3.20  
 ,1-й тайм:,–3.5 +3.5,1.84 1.89,1.48,14.0,2.75,1.39, ,2.46, 
197,29/02 19:00,Авирон Байонна Стад Тулузьен,+4.5 –4.5,1.82 1.92  ,2.64,21.3,1.53  ,2.40, ,1.45  
 ,1-й тайм:,+2.5 –2.5,1.83 1.91,2.34,13.2,1.65,2.11, ,1.53, 
213,29/02 19:00,Ажен Клермон-Овернь,+5.5 –5.5,1.87 1.87  ,2.96,21.8,1.43  ,2.70, ,1.37  
 ,1-й тайм:,+2.5 –2.5,1.91 1.83,2.47,13.3,1.59,2.21, ,1.48, 
198,29/02 19:00,Сексьон Палуаз Монпелье Эро,+0.5 –0.5,1.85 1.89  ,1.99,21.2,1.88  ,1.86, ,1.76  
 ,1-й тайм:,+0.5 –0.5,1.79 1.96,1.94,14.0,1.96,1.75, ,1.77, 
222,29/02 21:45,Брив Лион,+0.5 –0.5,1.83 1.91  ,1.96,21.1,1.91  ,1.83, ,1.79  
 ,1-й тайм:,+0.5 –0.5,1.82 1.92,1.99,13.8,1.92,1.78, ,1.73, 
3812,01/03 13:30,Бордо-Бегль Кастр Олимпик,–16.5 +16.5,1.83 1.91  ,1.05,36.5,9.52  ," "
 ,1-й тайм:,–8.5 +8.5,1.90 1.83,1.19,16.9,4.84,1.14, ,4.20, 
3215,01/03 17:50,Тулон Стад Франсе,–12.5 +12.5,1.83 1.91  ,1.13,29.6,6.05  ,1.11, ,5.40  
 ,1-й тайм:,–6.5 +6.5,1.92 1.82,1.33,14.7,3.63,1.25, ,3.05, 
