№,Дата,Событие,П1,П2
447,27/02 20:00,Лиза Айткен  Эмили Уитлок ,5.75,1.12  
115,27/02 20:00,Надин Шахин  Майар Хани,1.51,2.46  
487,27/02 20:00,Рейчел Гринам Люси Термел ,2.99,1.36  
642,27/02 21:45,Джоуи Чань Цы-Вин Тун,1.29,3.40  
8929,27/02 21:45,Донна Лоббан Оливия Фитчер,1.18,4.52  
512,27/02 21:45,Лю Цы Лин Милу ван дер Хейден,2.23,1.61  
3574,28/02 01:00,Даниэль Леторно  Джулианна Кортис,3.06,1.35  
3520,28/02 01:00,Зейна Микави Мелисса Алвес,1.45,2.63  
3577,28/02 01:00,Колин Омад  Хана Моатаз,1.32,3.19  
3546,28/02 01:00,Ло Ви Верн  Жасмин Хаттон,1.20,4.26  
3815,28/02 02:45,Александра Фюллер  Мариам Метуолли,2.48,1.50  
3085,28/02 02:45,Сабрина Соби Нада Аббас,1.77,1.98  
3036,28/02 02:45,Тинне Гилис  Хейли Мендес ,1.13,5.31  
3570,28/02 02:45,Хо Тцзе-Лок Милли Томлинсон,2.48,1.50  
