№,Дата,Событие,Фора,КФ,Т,Б,М,П1,П2,2:0,2:1,1:2,0:2,iТ,Б,М
7108,27/02 19:00,Броуди Лайам Чеппел Ник,–4.5 +4.5,1.86 1.88  ,21.5,2.05,1.72  ,1.23,3.93  ,1.69,3.45,6.30,6.71  ,12.5 9.5,1.87 1.93,1.83 1.78  
 ,1-й сет:,–2.5 +2.5,2.21 1.62,9.5,2.00,1.76,1.33,3.16, 
 ,2-й сет:, , ,1.34,3.11, 
8744,27/02 19:00,Симон Тобиас Такахаси Юсукэ,–1.0 +1.0,1.90 1.84  ,24.5,1.84,1.90  ,1.75,2.01  ,2.95,3.45,3.70,3.45  ,13.0 13.0,1.86 1.96,1.88 1.79  
 ,1-й сет:,–1.5 +1.5,2.46 1.51,10.5,2.39,1.53,1.78,1.97, 
 ,2-й сет:, , ,1.78,1.97, 
9130,27/02 20:30,Карлович Иво Бланкано Жоффри,–1.5 +1.5,1.77 1.97  ,24.5,1.79,1.96  ,1.57,2.32  ,2.49,3.35,4.30,3.87  ,13.5 12.5,2.09 1.73,1.66 1.99  
 ,1-й сет:,–0.5 +0.5,1.64 2.17, ,1.64,2.17, 
 ,2-й сет:, , ,1.65,2.15, 
9197,27/02 20:30,Ленц Юлиан Риндеркнех Артур,+3.5 –3.5,1.79 1.96  ,23.5,1.98,1.77  ,3.10,1.33  ,6.00,4.80,2.95,2.10  ,11.5 13.0,1.79 1.86,1.96 1.88  
 ,1-й сет:,+1.5 –1.5,1.97 1.78,9.5,1.64,2.18,2.65,1.44, 
 ,2-й сет:, , ,2.65,1.44, 
1316,27/02 21:50,Дугаз Азиз Кресси Максим,+4.0 –4.0,1.85 1.90  ,22.5,1.94,1.81  ,4.10,1.21  ,8.10,6.00,3.00,1.77  ,10.0 13.0,1.85 1.95,1.89 1.80  
 ,1-й сет:,+1.5 –1.5,2.26 1.59,9.5,1.72,2.05,3.30,1.31, 
 ,2-й сет:, , ,3.25,1.31, 
769,27/02 21:30,Оливейра Гонсало Рыбаков Алекс,+4.5 –4.5,1.69 2.09  ,21.5,1.91,1.83  ,3.31,1.30  ,5.46,5.70,3.40,1.86  ,10.5 12.5,1.90 1.84,1.81 1.87  
 ,1-й сет:,+1.5 –1.5,2.23 1.61,9.5,1.91,1.83,2.79,1.41, 
 ,2-й сет:, , ,2.75,1.41, 
2567,28/02 01:00,Камке Тобиас Шнур Брейден,–1.0 +1.0,1.90 1.84  ,22.5,1.87,1.87  ,1.78,1.97  ,2.95,3.55,3.75,3.30  ,12.5 12.5,1.92 2.01,1.82 1.75  
 ,1-й сет:,–1.5 +1.5,2.12 1.67,9.5,1.81,1.94,1.81,1.94, 
 ,2-й сет:, , ,1.80,1.94, 
2338,28/02 03:30,Жук Кацпер Арагон Джей-Си,+1.0 –1.0,1.87 1.87  ,22.5,1.95,1.80  ,1.99,1.76  ,3.10,4.20,3.90,2.70  ,12.5 12.5,2.05 1.95,1.72 1.79  
 ,1-й сет:,+1.5 –1.5,1.63 2.20,9.5,1.70,2.08,1.95,1.79, 
 ,2-й сет:, , ,1.97,1.78, 
