№,Дата,Событие,Фора,КФ,Т,Б,М,П1,П2,2:0,2:1,1:2,0:2,iТ,Б,М
7071,27/02 16:30,Молчан Алекс Гулбис Эрнестс,+3.5 –3.5,1.86 1.88  ,21.5,1.64,2.17  ,3.10,1.34  ,5.18,5.30,3.30,1.97  ,11.5 12.5,1.85 1.68,1.85 2.07  
 ,1-й сет:,+1.5 –1.5,2.01 1.75,9.5,1.69,2.09,2.65,1.44, 
 ,2-й сет:, , ,2.62,1.45, 
3793,27/02 18:30,Майо Гарольд Гастон Уго,–1.5 +1.5,1.82 1.92  ,22.5,1.87,1.87  ,1.67,2.12  ,2.50,3.80,4.40,3.35  ,12.5 12.5,1.82 2.01,1.92 1.75  
 ,1-й сет:,–1.5 +1.5,2.23 1.61,9.5,1.58,2.30,1.72,2.05, 
7486,27/02 18:50,Гренье Уго Куаку Энцо,+2.5 –2.5,2.01 1.74  ,22.5,2.00,1.75  ,2.56,1.47  ,4.10,4.80,3.45,2.22  ,11.5 12.5,1.71 1.80,2.03 1.91  
 ,1-й сет:,+1.5 –1.5,1.89 1.85,9.5,1.78,1.97,2.33,1.56, 
 ,2-й сет:, , ,2.31,1.57, 
6002,27/02 20:00,Веселы Иржи Лестьен Констан,–2.5 +2.5,1.74 2.02  ,22.5,1.82,1.92  ,1.43,2.68  ,2.17,3.35,4.90,4.39  ,12.5 11.5,1.67 1.69,2.07 2.05  
 ,1-й сет:,–1.5 +1.5,1.89 1.85,9.5,1.65,2.16,1.53,2.40, 
 ,2-й сет:, , ,1.54,2.38, 
