№,Дата,Событие,Фора,КФ,Т,Б,М,П1,П2,2:0,2:1,1:2,0:2,iТ,Б,М
811,28/02 01:00,Изнер Джон Пол Томми,–1.0 +1.0,1.89 1.91  ,25.5,1.88,1.92  ,1.73,2.11  ,2.80,3.70,4.20,3.50  ,13.5 13.0,2.08 1.87,1.75 1.94  
 ,1-й сет:,–1.5 +1.5,2.75 1.41,10.5,1.95,1.79,1.75,2.01, 
 , ,–2.5 +2.5,5.40 1.13,12.5,2.30,1.57, , 
 , ,+1.5 –1.5,1.31 3.25,9.5,1.31,3.25, , 
 ,2-й сет:,–1.5 +1.5,2.70 1.42,10.5,1.98,1.77,1.74,2.02, 
 , ,–2.5 +2.5,5.40 1.13,12.5,2.35,1.55, , 
 , ,+1.5 –1.5,1.31 3.25,9.5,1.32,3.25, , 
1790,28/02 02:20,Фриц Тэйлор Эдмунд Кайл,+1.5 –1.5,1.94 1.86  ,23.5,2.01,1.80  ,2.20,1.68  ,3.65,4.30,3.65,2.70  ,12.5 12.5,1.95 1.76,1.85 2.07  
 ,1-й сет:,+1.5 –1.5,1.66 2.14,9.5,1.62,2.21,2.06,1.71, 
 , ,–1.5 +1.5,2.60 1.45,12.5,3.95,1.22, , 
 , ,+2.5 –2.5,1.25 3.70,10.5,2.90,1.38, , 
 ,2-й сет:,+1.5 –1.5,1.68 2.10,9.5,1.63,2.20,2.08,1.70, 
 , ,–1.5 +1.5,2.65 1.45,12.5,4.00,1.22, , 
 , ,+2.5 –2.5,1.25 3.65,10.5,2.95,1.37, , 
2548,28/02 03:00,Вавринка Стэн Димитров Григор,–2.0 +2.0,1.88 1.92  ,23.5,1.94,1.86  ,1.57,2.41  ,2.45,3.60,4.70,4.00  ,13.0 12.5,1.89 1.89,1.91 1.91  
 ,1-й сет:,–1.5 +1.5,2.23 1.61,10.5,2.40,1.53,1.63,2.20, 
 , ,–2.5 +2.5,4.10 1.21,12.5,3.00,1.35, , 
 , ,+1.5 –1.5,1.35 3.10,9.5,1.45,2.60, , 
 ,2-й сет:,–1.5 +1.5,2.15 1.65,10.5,2.45,1.51,1.61,2.23, 
 , ,–2.5 +2.5,4.00 1.22,12.5,3.10,1.35, , 
 , ,+1.5 –1.5,1.33 3.15,9.5,1.47,2.60, , 
2908,28/02 06:00,Надаль Рафаэль Квон Сун У,–5.5 +5.5,1.85 1.93  ,18.5,1.83,2.02  ,1.06,10.0  ,1.30,4.40,12.5,13.5  ,12.5 6.5,2.39 1.86,1.61 1.98  
 ,1-й сет:,–3.5 +3.5,2.27 1.62,9.5,2.31,1.60,1.15,5.40, 
 , ,–2.5 +2.5,1.60 2.30,10.5,4.50,1.19, , 
 , ,–1.5 +1.5,1.29 3.55,8.5,1.50,2.55, , 
 ,2-й сет:,–3.5 +3.5,2.28 1.62,8.5,1.67,2.18,1.12,6.40, 
 , ,–4.5 +4.5,4.20 1.22,9.5,2.60,1.48, , 
 , ,–2.5 +2.5,1.61 2.28,7.5,1.23,4.10, , 
