№,Дата,Событие,Фора,КФ,Т,Б,М,П1,П2,2:0,2:1,1:2,0:2,iТ,Б,М
4537,27/02 15:25,Штруфф Ян-Леннард Циципас Стефанос,+3.0 –3.0,1.82 2.03  ,23.5,2.02,1.83  ,3.05,1.40  ,5.20,5.30,3.40,2.12  ,12.0 13.0,1.88 1.85,1.97 1.99  
 ,1-й сет:,+1.5 –1.5,1.75 2.06,10.5,2.41,1.55,2.55,1.51, 
 , ,–1.5 +1.5,3.70 1.27,12.5,3.00,1.38, , 
 , ,+2.5 –2.5,1.27 3.75,9.5,1.47,2.65, , 
 ,2-й сет:,+1.5 –1.5,1.82 1.97,10.5,2.48,1.53,2.65,1.48, 
 , ,–1.5 +1.5,3.85 1.25,12.5,3.10,1.36, , 
 , ,+2.5 –2.5,1.27 3.65,9.5,1.48,2.65, , 
4800,27/02 17:00,Джокович Новак Хачанов Карен,–5.5 +5.5,2.10 1.77  ,19.5,1.98,1.86  ,1.08,8.64  ,1.35,4.10,12.0,12.5  ,12.5 7.5,2.00 1.92,1.85 1.92  
 ,1-й сет:,–2.5 +2.5,1.78 2.01,9.5,2.13,1.70,1.18,4.87, 
 , ,–3.5 +3.5,3.00 1.38,10.5,3.80,1.26, , 
 , ,–1.5 +1.5,1.35 3.15,8.5,1.35,3.15, , 
 ,2-й сет:,–2.5 +2.5,1.84 1.95,9.5,2.08,1.73,1.16,5.20, 
 , ,–3.5 +3.5,2.79 1.43,10.5,4.00,1.24, , 
 , ,–1.5 +1.5,1.28 3.65,8.5,1.45,2.71, , 
5686,27/02 18:00,Монфис Гаэль Гаске Ришар,–4.0 +4.0,1.89 1.95  ,21.5,1.82,2.03  ,1.22,4.50  ,1.72,3.45,7.00,7.40  ,12.5 9.5,1.74 1.87,2.15 1.98  
 ,1-й сет:,–1.5 +1.5,1.58 2.35,9.5,1.72,2.10,1.35,3.25, 
 , ,–2.5 +2.5,2.37 1.57,12.5,4.20,1.22, , 
 , ,+1.5 –1.5,1.22 4.20,10.5,3.10,1.36, , 
 ,2-й сет:,–1.5 +1.5,1.55 2.44,9.5,1.76,2.04,1.31,3.50, 
 , ,–3.5 +3.5,4.40 1.21,10.5,3.30,1.33, , 
 , ,–2.5 +2.5,2.55 1.51,8.5,1.25,3.85, , 
