№,Дата,Событие,Фора,КФ,Т,Б,М,П1,П2,2:0,2:1,1:2,0:2,iТ,Б,М
1159,28/02 01:00,Чжу Линь Ван Сию,+1.0 –1.0,1.91 1.89  ,21.5,1.88,1.92  ,2.02,1.80  ,3.10,4.50,4.20,2.75  ,12.0 12.0,1.83 1.68,1.97 2.18  
 ,1-й сет:,+1.5 –1.5,1.71 2.06,9.5,1.95,1.80,1.95,1.80, 
 , ,–1.5 +1.5,2.23 1.61,10.5,3.70,1.25, , 
 , ,+2.5 –2.5,1.32 3.25,8.5,1.35,3.05, , 
 ,2-й сет:,+1.5 –1.5,1.74 2.03,9.5,2.00,1.76,1.96,1.79, 
 , ,–1.5 +1.5,2.23 1.61,10.5,3.80,1.23, , 
 , ,+2.5 –2.5,1.33 3.15,8.5,1.38,2.90, , 
1779,28/02 02:00,Уотсон Хизер Макхейл Кристина,0 0,1.90 1.90  ,21.5,1.87,1.93  ,1.90,1.90  ,2.90,4.40,4.30,2.90  ,12.0 12.0,1.75 1.75,2.07 2.08  
 ,1-й сет:,+1.5 –1.5,1.66 2.14,9.5,1.94,1.81,1.87,1.87, 
 , ,–1.5 +1.5,2.15 1.66,10.5,3.65,1.25, , 
 , ,+2.5 –2.5,1.29 3.40,8.5,1.35,3.10, , 
 ,2-й сет:,+1.5 –1.5,1.67 2.12,9.5,1.99,1.76,1.87,1.87, 
 , ,–1.5 +1.5,2.14 1.66,10.5,3.80,1.25, , 
 , ,+2.5 –2.5,1.30 3.30,8.5,1.37,2.95, , 
1314,28/02 03:30,Сарасуа Рената Зиданшек Тамара,+4.0 –4.0,1.96 1.84  ,20.5,1.92,1.88  ,3.05,1.38  ,4.70,6.10,3.80,1.96  ,10.0 12.5,1.87 2.15,1.94 1.70  
 ,1-й сет:,+1.5 –1.5,2.17 1.65,9.5,2.12,1.67,2.55,1.47, 
 , ,–1.5 +1.5,2.85 1.39,10.5,4.10,1.21, , 
 , ,+2.5 –2.5,1.53 2.41,8.5,1.45,2.65, , 
 ,2-й сет:,+2.5 –2.5,1.62 2.23,9.5,2.23,1.61,2.70,1.44, 
 , ,–1.5 +1.5,3.05 1.35,10.5,4.30,1.19, , 
 , ,+1.5 –1.5,2.33 1.57,8.5,1.51,2.46, , 
718,28/02 04:45,Потапова Анастасия Фернандес Лейла Эни,+1.0 –1.0,1.88 1.92  ,21.5,1.97,1.83  ,1.98,1.83  ,3.00,4.50,4.30,2.75  ,12.0 12.0,1.88 1.77,1.92 2.05  
 ,1-й сет:,+1.5 –1.5,1.72 2.05,9.5,2.05,1.72,1.92,1.82, 
 , ,–1.5 +1.5,2.15 1.65,10.5,3.90,1.23, , 
 , ,+2.5 –2.5,1.33 3.15,8.5,1.41,2.80, , 
 ,2-й сет:,+1.5 –1.5,1.74 2.02,9.5,2.12,1.67,1.93,1.81, 
 , ,–1.5 +1.5,2.15 1.65,10.5,4.10,1.21, , 
 , ,+2.5 –2.5,1.35 3.05,8.5,1.45,2.65, , 
