№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
6495,04/03 19:00,Аустрия Лустенау Ваккер Инсбрук,0 0,1.55 2.44  ,3.0,2.03,1.79  ,2.05,3.90,3.25  ,1.35,1.25,1.77  ,1.5 1.0,1.82 1.61,1.92 2.23  
 ,1-й тайм:,0 0,1.62 2.28,1.0,1.61,2.33,2.60,2.41,3.70,1.25,1.53,1.47, 
 , ,–1.5 +1.5,6.80 1.08,2.0,4.30,1.20, , , 
 , ,–1.0 +1.0,5.40 1.13,1.5,2.37,1.55, , , 
 ,2-й тайм:,0 0,1.59 2.28,1.5,1.84,1.90,2.37,2.75,3.40,1.27,1.39,1.52, 
 , ,–1.5 +1.5,5.50 1.13,2.0,2.75,1.42, , , 
 , ,–1.0 +1.0,4.30 1.19,1.0,1.30,3.35, , , 
6494,04/03 21:45,РБ Зальцбург ЛАСК,–1.0 +1.0,2.37 1.58  ,3.0,1.98,1.82  ,1.81,4.10,3.90  ,1.25,1.23,2.00  ,1.5 1.0,1.68 1.78,2.11 1.98  
 ,1-й тайм:,0 0,1.49 2.65,1.0,1.61,2.33,2.37,2.44,4.20,1.20,1.52,1.55, 
 , ,–1.5 +1.5,5.90 1.11,2.0,4.30,1.20, , , 
 , ,–1.0 +1.0,4.60 1.17,1.5,2.37,1.55, , , 
 ,2-й тайм:,0 0,1.45 2.65,1.5,1.80,1.94,2.12,2.85,3.90,1.21,1.37,1.64, 
 , ,–1.5 +1.5,4.60 1.17,2.5,3.45,1.28, , , 
 , ,–1.0 +1.0,3.60 1.27,2.0,2.65,1.45, , , 
