№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
3612,28/02 15:00,Аль-Шабаб Манама Ист Риффа,0 0,2.60 1.45  ,2.5,1.73,2.03  ,3.55,3.55,1.97  ,1.78,1.27,1.27  ,1.0 1.5,1.79 1.88,1.95 1.86  
 ,1-й тайм:,0 0,2.39 1.53,1.0,1.71,2.07,4.00,2.31,2.60,1.47,1.57,1.22, 
 , ,+1.0 –1.0,1.13 5.40,2.0,4.90,1.15, , , 
 , ,+1.5 –1.5,1.08 6.80,1.5,2.60,1.47, , , 
 ,2-й тайм:,0 0,2.37 1.55,1.5,1.95,1.80,3.60,2.65,2.33,1.53,1.42,1.25, 
 , ,+1.0 –1.0,1.19 4.30,2.0,3.00,1.35, , , 
 , ,+1.5 –1.5,1.13 5.50,1.0,1.35,3.05, , , 
3683,28/02 17:30,Бусайтин Аль-Хидд,+1.0 –1.0,1.49 2.50  ,2.5,1.73,2.03  ,3.75,3.75,1.86  ,1.88,1.25,1.25  ,1.0 1.5,1.90 1.82,1.84 1.92  
 ,1-й тайм:,0 0,2.50 1.49,1.0,1.71,2.06,4.20,2.33,2.48,1.50,1.57,1.20, 
 , ,+1.0 –1.0,1.14 5.10,2.0,5.00,1.15, , , 
 , ,+1.5 –1.5,1.09 6.50,1.5,2.60,1.47, , , 
 ,2-й тайм:,0 0,2.55 1.47,1.5,1.95,1.80,3.85,2.70,2.21,1.59,1.41,1.22, 
 , ,+1.0 –1.0,1.22 3.95,2.0,3.05,1.35, , , 
 , ,+1.5 –1.5,1.14 5.10,1.0,1.35,3.05, , , 
5690,29/02 16:10,Аль-Мухаррак Манама,0 0,1.53 2.39  ,3.0,2.04,1.73  ,2.08,3.55,3.25  ,1.31,1.27,1.70  ,1.5 1.0,1.86 1.61,1.88 2.23  
 ,1-й тайм:,0 0,1.61 2.23,1.0,1.60,2.25,2.65,2.39,3.65,1.25,1.53,1.44, 
 , ,–1.5 +1.5,6.90 1.08,2.0,4.40,1.19, , , 
 , ,–1.0 +1.0,5.50 1.12,1.5,2.40,1.53, , , 
 ,2-й тайм:,0 0,1.61 2.23,1.5,1.87,1.87,2.41,2.70,3.35,1.28,1.41,1.50, 
 , ,–1.5 +1.5,5.60 1.12,2.0,2.80,1.40, , , 
 , ,–1.0 +1.0,4.50 1.18,1.0,1.31,3.25, , , 
5686,29/02 17:30,Аль-Наджма Манама Аль-Риффа,+1.0 –1.0,1.47 2.55  ,3.0,1.98,1.77  ,3.55,3.75,1.91  ,1.83,1.25,1.27  ,1.0 1.5,1.68 1.76,2.11 2.00  
 ,1-й тайм:,0 0,2.40 1.53,1.0,1.58,2.28,3.95,2.41,2.48,1.50,1.53,1.22, 
 , ,+1.0 –1.0,1.15 5.00,2.0,4.30,1.20, , , 
 , ,+1.5 –1.5,1.10 6.30,1.5,2.37,1.55, , , 
 ,2-й тайм:,0 0,2.41 1.53,1.5,1.83,1.91,3.60,2.75,2.26,1.57,1.39,1.25, 
 , ,+1.0 –1.0,1.22 4.00,2.0,2.70,1.42, , , 
 , ,+1.5 –1.5,1.14 5.10,1.0,1.29,3.40, , , 
5687,29/02 18:30,Аль-Хала Мухаррак Аль-Ахли Манама,0 0,2.07 1.71  ,2.5,1.97,1.78  ,2.90,3.30,2.37  ,1.55,1.30,1.38  ,1.0 1.0,1.77 1.57,1.98 2.33  
 ,1-й тайм:,0 0,2.01 1.75,1.0,1.94,1.80,3.55,2.15,3.10,1.33,1.65,1.27, 
 , ,+1.0 –1.0,1.07 7.50,2.0,6.20,1.10, , , 
 , ,+1.5 –1.5,1.04 9.00,1.5,2.95,1.37, , , 
 ,2-й тайм:,0 0,2.03 1.74,1.5,2.17,1.64,3.20,2.48,2.75,1.39,1.48,1.30, 
 , ,+1.0 –1.0,1.12 5.70,2.0,3.65,1.25, , , 
 , ,+1.5 –1.5,1.08 7.10,1.0,1.47,2.55, , , 
