№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
8754,28/02 21:30,Локерен Беерсхот Вилрейк,+1.5 –1.5,1.74 2.02  ,2.5,1.70,2.08  ,8.60,4.70,1.35  ,3.05,1.17,1.05  ,1.0 2.0,3.40 1.86,1.29 1.88  
 ,1-й тайм:,0 0,3.65 1.25,1.0,1.79,1.95,6.10,2.35,2.07,1.71,1.55,1.10, 
 , ,+1.0 –1.0,1.25 3.80,2.0,5.40,1.13, , , 
 , ,+1.5 –1.5,1.14 5.10,1.5,2.70,1.42, , , 
 ,2-й тайм:,+1.0 –1.0,1.65 2.15,1.5,1.84,1.90,7.60,3.20,1.57,2.25,1.30,1.05, 
 , ,0 0,5.30 1.13,2.0,2.70,1.42, , , 
 , ,+1.5 –1.5,1.36 3.00,1.0,1.29,3.35, , , 
9373,28/02 21:30,Ломмел Руселаре,0 0,1.71 2.07  ,2.5,2.07,1.71  ,2.44,3.10,2.95  ,1.37,1.33,1.52  ,1.0 1.0,1.63 1.84,2.20 1.90  
 ,1-й тайм:,0 0,1.75 2.00,1.0,2.03,1.73,3.15,2.11,3.60,1.27,1.68,1.33, 
 , ,–1.5 +1.5,9.30 1.04,2.0,6.60,1.09, , , 
 , ,–1.0 +1.0,7.80 1.06,1.5,3.10,1.35, , , 
 ,2-й тайм:,0 0,1.74 2.02,1.5,2.26,1.60,2.80,2.44,3.20,1.30,1.49,1.38, 
 , ,–1.5 +1.5,7.30 1.07,2.0,3.95,1.23, , , 
 , ,–1.0 +1.0,6.00 1.11,1.0,1.52,2.44, , , 
8986,28/02 21:30,Унион Сен-Жилуа Вестерло,0 0,1.57 2.33  ,2.5,1.97,1.78  ,2.17,3.30,3.25  ,1.31,1.30,1.64  ,1.5 1.0,2.20 1.90,1.63 1.84  
 ,1-й тайм:,0 0,1.65 2.15,1.0,1.93,1.82,2.90,2.17,3.80,1.25,1.64,1.38, 
 , ,–1.5 +1.5,8.30 1.05,2.0,6.10,1.10, , , 
 , ,–1.0 +1.0,6.80 1.08,1.5,2.90,1.37, , , 
 ,2-й тайм:,0 0,1.61 2.23,1.5,2.18,1.64,2.55,2.50,3.50,1.25,1.47,1.45, 
 , ,–1.5 +1.5,6.40 1.10,2.0,3.70,1.25, , , 
 , ,–1.0 +1.0,5.10 1.15,1.0,1.48,2.55, , , 
8947,28/02 21:30,Эксельсиор Виртон Ауд-Хеверле Лёвен,–1.0 +1.0,2.48 1.50  ,2.5,1.82,1.93  ,1.84,3.50,4.10  ,1.21,1.28,1.90  ,1.5 1.0,1.87 2.05,1.87 1.72  
 ,1-й тайм:,0 0,1.47 2.60,1.0,1.82,1.92,2.50,2.25,4.40,1.19,1.60,1.49, 
 , ,–1.5 +1.5,6.70 1.09,2.0,5.60,1.12, , , 
 , ,–1.0 +1.0,5.30 1.14,1.5,2.75,1.41, , , 
 ,2-й тайм:,0 0,1.45 2.65,1.5,2.00,1.75,2.20,2.65,4.00,1.20,1.42,1.60, 
 , ,–1.5 +1.5,5.10 1.14,2.0,3.20,1.32, , , 
 , ,–1.0 +1.0,3.95 1.23,1.0,1.38,2.90, , , 
