№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
2622,29/02 18:00,Гонвед Диошдьёр,–1.0 +1.0,2.33 1.55  ,2.5,1.98,1.78  ,1.75,3.55,4.60  ,1.17,1.27,2.01  ,1.5 1.0,1.91 2.48,1.83 1.50  
 ,1-й тайм:,0 0,1.40 2.85,1.0,1.90,1.84,2.40,2.23,4.90,1.16,1.61,1.53, 
 , ,–1.5 +1.5,6.40 1.09,2.0,5.90,1.11, , , 
 , ,–1.0 +1.0,5.00 1.15,1.5,2.90,1.38, , , 
 ,2-й тайм:,0 0,1.38 2.90,1.5,2.21,1.62,2.15,2.55,4.50,1.16,1.45,1.62, 
 , ,–1.5 +1.5,5.10 1.14,2.0,3.80,1.25, , , 
 , ,–1.0 +1.0,3.90 1.23,1.0,1.49,2.50, , , 
3365,29/02 18:00,Кишварда Пакш,0 0,1.57 2.31  ,2.5,1.73,2.03  ,2.12,3.55,3.15  ,1.33,1.27,1.67  ,1.5 1.0,1.98 1.68,1.77 2.11  
 ,1-й тайм:,0 0,1.65 2.15,1.0,1.72,2.05,2.80,2.30,3.65,1.25,1.58,1.40, 
 , ,–1.5 +1.5,7.60 1.07,2.0,5.00,1.15, , , 
 , ,–1.0 +1.0,6.20 1.10,1.5,2.60,1.47, , , 
 ,2-й тайм:,0 0,1.62 2.21,1.5,1.95,1.80,2.45,2.65,3.35,1.28,1.42,1.49, 
 , ,–1.5 +1.5,5.90 1.11,2.0,3.00,1.35, , , 
 , ,–1.0 +1.0,4.70 1.17,1.0,1.35,3.05, , , 
3000,29/02 18:00,Мезёкёвешд Залаэгерсег,–1.0 +1.0,2.17 1.64  ,2.5,1.78,1.97  ,1.68,3.75,4.80  ,1.16,1.25,2.11  ,1.5 1.0,1.75 2.25,2.01 1.60  
 ,1-й тайм:,0 0,1.39 2.90,1.0,1.74,2.02,2.30,2.33,4.80,1.16,1.57,1.58, 
 , ,–1.5 +1.5,5.90 1.11,2.0,5.10,1.14, , , 
 , ,–1.0 +1.0,4.50 1.18,1.5,2.65,1.45, , , 
 ,2-й тайм:,0 0,1.36 3.00,1.5,2.00,1.75,2.05,2.70,4.50,1.16,1.41,1.69, 
 , ,–1.5 +1.5,4.60 1.17,2.0,3.20,1.32, , , 
 , ,–1.0 +1.0,3.50 1.28,1.0,1.38,2.90, , , 
2330,29/02 18:00,Уйпешт Академия Пушкаша,0 0,1.89 1.85  ,2.5,1.99,1.76  ,2.65,3.20,2.60  ,1.47,1.32,1.44  ,1.0 1.0,1.68 1.66,2.11 2.14  
 ,1-й тайм:,0 0,1.88 1.86,1.0,1.93,1.82,3.30,2.17,3.30,1.30,1.64,1.30, 
 , ,–1.0 +1.0,8.30 1.05,2.0,6.10,1.10, , , 
 , ,+1.0 –1.0,1.06 8.20,1.5,2.90,1.37, , , 
 ,2-й тайм:,0 0,1.89 1.85,1.5,2.21,1.62,3.00,2.46,2.95,1.35,1.48,1.33, 
 , ,–1.0 +1.0,6.70 1.09,2.0,3.80,1.23, , , 
 , ,+1.0 –1.0,1.09 6.40,1.0,1.50,2.50, , , 
2623,29/02 18:00,Фехервар Капошвар Ракоци,–2.0 +2.0,2.06 1.71  ,3.0,1.98,1.78  ,1.20,6.60,12.0  ,1.01,1.09,4.20  ,2.5 1.0,2.04 5.10,1.73 1.15  
 ,1-й тайм:,–1.0 +1.0,2.41 1.53,1.0,1.60,2.25,1.64,2.75,10.5,1.03,1.42,2.18, 
 , ,–1.5 +1.5,3.45 1.28,2.0,4.40,1.19, , , 
 , ,0 0,1.09 6.50,1.5,2.40,1.53, , , 
 ,2-й тайм:,–1.0 +1.0,1.95 1.79,1.5,1.83,1.91,1.49,3.35,9.10,1.03,1.28,2.44, 
 , ,–2.0 +2.0,5.10 1.15,2.0,2.70,1.44, , , 
 , ,–1.5 +1.5,2.75 1.42,1.0,1.29,3.40, , , 
3001,29/02 20:30,Ференцварош Дебрецен,–1.5 +1.5,1.99 1.76  ,3.0,1.97,1.78  ,1.35,4.90,8.10  ,1.06,1.16,3.05  ,2.0 1.0,1.76 2.95,2.00 1.36  
 ,1-й тайм:,–1.0 +1.0,3.00 1.35,1.0,1.59,2.26,1.85,2.60,6.90,1.08,1.47,1.89, 
 , ,–1.5 +1.5,4.20 1.21,2.0,4.30,1.19, , , 
 , ,0 0,1.19 4.30,1.5,2.39,1.53, , , 
 ,2-й тайм:,–1.0 +1.0,2.39 1.53,1.5,1.81,1.93,1.67,3.10,6.30,1.08,1.32,2.07, 
 , ,–1.5 +1.5,3.30 1.31,2.0,2.65,1.44, , , 
 , ,0 0,1.19 4.40,1.0,1.28,3.45, , , 
