№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
1716,03/03 19:30,Саарбрюккен Фортуна Дюссельдорф,+1.0 –1.0,1.66 2.31  ,2.5,1.81,2.07  ,4.80,3.95,1.75  ,2.15,1.28,1.21  ,1.0 1.5,2.20 1.78,1.68 2.04  
 ,1-й тайм:,0 0,2.90 1.41,1.0,1.74,2.08,4.90,2.37,2.35,1.59,1.59,1.18, 
 , ,+1.0 –1.0,1.19 4.70,2.0,5.20,1.16, , , 
 , ,+1.5 –1.5,1.12 6.20,1.5,2.65,1.48, , , 
 ,2-й тайм:,0 0,2.85 1.39,1.5,1.99,1.77,4.40,2.75,2.10,1.69,1.42,1.19, 
 , ,+1.0 –1.0,1.27 3.60,2.0,3.15,1.33, , , 
 , ,+1.5 –1.5,1.17 4.70,1.0,1.37,2.95, , , 
1714,03/03 21:45,Шальке 04 Бавария,+1.0 –1.0,2.08 1.80  ,3.5,2.02,1.85  ,5.60,5.00,1.52  ,2.65,1.20,1.17  ,1.0 2.0,1.83 1.66,1.98 2.21  
 ,1-й тайм:,+1.0 –1.0,1.35 3.25,1.5,2.01,1.80,5.10,2.85,1.98,1.83,1.42,1.17, 
 , ,0 0,3.35 1.32,2.0,3.20,1.35, , , 
 , ,+1.5 –1.5,1.21 4.40,1.0,1.38,3.05, , , 
 ,2-й тайм:,+1.0 –1.0,1.45 2.65,2.0,2.14,1.66,4.80,3.20,1.82,1.92,1.32,1.16, 
 , ,0 0,3.35 1.30,2.5,2.85,1.39, , , 
 , ,+1.5 –1.5,1.27 3.50,1.5,1.61,2.23, , , 
1710,04/03 19:30,Байер Леверкузен Унион Берлин,–1.0 +1.0,1.86 2.00  ,3.0,1.91,1.95  ,1.55,4.60,5.80  ,1.16,1.22,2.55  ,2.0 1.0,1.91 2.18,1.89 1.68  
 ,1-й тайм:,0 0,1.31 3.45,1.5,2.28,1.63,2.04,2.65,5.40,1.15,1.48,1.78, 
 , ,–1.5 +1.5,4.80 1.18,2.0,4.00,1.25, , , 
 , ,–1.0 +1.0,3.55 1.30,1.0,1.53,2.50, , , 
 ,2-й тайм:,–1.0 +1.0,2.80 1.40,1.5,1.78,1.97,1.86,3.00,5.00,1.15,1.36,1.88, 
 , ,–1.5 +1.5,3.80 1.25,2.5,3.40,1.29, , , 
 , ,0 0,1.29 3.40,2.0,2.55,1.47, , , 
1712,04/03 21:45,Айнтрахт Франкфурт Вердер,–1.0 +1.0,2.44 1.60  ,3.5,2.14,1.76  ,1.86,4.20,3.85  ,1.29,1.25,2.01  ,2.0 1.5,2.06 2.31,1.76 1.61  
 ,1-й тайм:,0 0,1.51 2.55,1.5,2.11,1.73,2.35,2.65,4.00,1.25,1.48,1.59, 
 , ,–1.5 +1.5,5.70 1.14,2.0,3.50,1.31, , , 
 , ,–1.0 +1.0,4.40 1.21,1.0,1.44,2.80, , , 
 ,2-й тайм:,0 0,1.50 2.48,1.5,1.65,2.17,2.17,3.00,3.60,1.27,1.36,1.64, 
 , ,–1.5 +1.5,4.60 1.18,2.5,2.95,1.36, , , 
 , ,–1.0 +1.0,3.55 1.27,2.0,2.23,1.61, , , 
