№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
6223,04/03 18:30,АЕК Афины Арис Салоники,–1.0 +1.0,2.23 1.65  ,2.0,1.75,2.07  ,1.67,3.60,5.70  ,1.14,1.29,2.20  ,1.5 1.0,2.01 3.50,1.75 1.27  
 ,1-й тайм:,0 0,1.32 3.40,1.0,2.25,1.65,2.35,2.10,6.00,1.11,1.69,1.55, 
 , ,–1.5 +1.5,6.50 1.09,2.0,7.50,1.07, , , 
 , ,–1.0 +1.0,4.90 1.15,1.5,3.35,1.30, , , 
 ,2-й тайм:,0 0,1.31 3.30,1.0,1.66,2.15,2.10,2.41,5.30,1.12,1.50,1.65, 
 , ,–1.5 +1.5,5.10 1.14,2.0,4.70,1.17, , , 
 , ,–1.0 +1.0,3.85 1.23,1.5,2.50,1.50, , , 
6222,04/03 21:30,ПАОК Олимпиакос Пирей,0 0,1.69 2.17  ,2.0,1.68,2.20  ,2.39,3.25,3.10  ,1.37,1.35,1.58  ,1.0 1.0,1.67 1.99,2.12 1.77  
 ,1-й тайм:,0 0,1.73 2.10,1.0,2.25,1.65,3.15,2.04,3.80,1.25,1.73,1.33, 
 , ,–1.5 +1.5,9.50 1.04,2.0,7.50,1.07, , , 
 , ,–1.0 +1.0,8.00 1.06,1.5,3.35,1.30, , , 
 ,2-й тайм:,0 0,1.71 2.07,1.0,1.57,2.33,2.75,2.39,3.35,1.28,1.51,1.39, 
 , ,–1.5 +1.5,7.30 1.07,2.0,4.20,1.20, , , 
 , ,–1.0 +1.0,5.90 1.11,1.5,2.33,1.55, , , 
