№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
6161,03/03 19:30,Эсбьерг Орхус,0 0,2.60 1.50  ,2.5,2.21,1.66  ,3.70,3.20,2.14  ,1.71,1.35,1.28  ,1.0 1.5,2.21 2.30,1.62 1.58  
 ,1-й тайм:,0 0,2.40 1.57,1.0,2.15,1.70,4.30,2.08,2.80,1.40,1.70,1.19, 
 , ,+1.0 –1.0,1.09 6.60,2.0,7.00,1.08, , , 
 , ,+1.5 –1.5,1.06 8.10,1.5,3.20,1.32, , , 
 ,2-й тайм:,0 0,2.30 1.57,1.0,1.58,2.30,3.70,2.40,2.55,1.45,1.51,1.23, 
 , ,+1.0 –1.0,1.14 5.20,2.0,4.20,1.20, , , 
 , ,+1.5 –1.5,1.09 6.60,1.5,2.35,1.55, , , 
6166,04/03 19:30,Ольборг ФК Копенгаген,0 0,2.37 1.58  ,2.5,1.95,1.85  ,3.40,3.25,2.23  ,1.66,1.35,1.32  ,1.0 1.5,1.85 2.17,1.89 1.65  
 ,1-й тайм:,0 0,2.28 1.63,1.0,1.90,1.90,3.90,2.20,2.80,1.40,1.63,1.23, 
 , ,+1.0 –1.0,1.10 6.30,2.0,5.80,1.11, , , 
 , ,+1.5 –1.5,1.06 7.80,1.5,2.85,1.39, , , 
 ,2-й тайм:,0 0,2.12 1.67,1.5,2.14,1.66,3.35,2.50,2.60,1.44,1.47,1.28, 
 , ,+1.0 –1.0,1.13 5.30,2.0,3.60,1.27, , , 
 , ,+1.5 –1.5,1.09 6.60,1.0,1.45,2.60, , , 
6159,05/03 18:45,Раннерс Сённерйюск,0 0,1.53 2.50  ,2.5,1.85,1.95  ,2.07,3.65,3.40  ,1.32,1.28,1.76  ,1.5 1.0,2.00 1.84,1.75 1.90  
 ,1-й тайм:,0 0,1.60 2.33,1.0,1.81,1.99,2.70,2.26,3.95,1.22,1.59,1.44, 
 , ,–1.5 +1.5,7.30 1.07,2.0,5.40,1.13, , , 
 , ,–1.0 +1.0,5.90 1.11,1.5,2.70,1.42, , , 
 ,2-й тайм:,0 0,1.58 2.30,1.5,2.04,1.72,2.41,2.60,3.55,1.25,1.44,1.50, 
 , ,–1.5 +1.5,5.90 1.11,2.0,3.30,1.31, , , 
 , ,–1.0 +1.0,4.60 1.17,1.0,1.40,2.80, , , 
6163,05/03 21:00,Хорсенс Силькеборг,–1.0 +1.0,2.70 1.47  ,2.5,1.82,1.98  ,1.93,3.80,3.70  ,1.28,1.27,1.87  ,1.5 1.0,1.90 1.93,1.84 1.81  
 ,1-й тайм:,0 0,1.52 2.55,1.0,1.80,2.02,2.55,2.28,4.20,1.20,1.58,1.48, 
 , ,–1.5 +1.5,6.80 1.09,2.0,5.30,1.14, , , 
 , ,–1.0 +1.0,5.30 1.13,1.5,2.70,1.44, , , 
 ,2-й тайм:,0 0,1.50 2.48,1.5,2.01,1.75,2.30,2.65,3.80,1.22,1.42,1.55, 
 , ,–1.5 +1.5,5.40 1.13,2.0,3.20,1.32, , , 
 , ,–1.0 +1.0,4.20 1.20,1.0,1.38,2.90, , , 
