№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
9296,28/02 19:00,Виборг Видовре,–1.0 +1.0,1.91 1.83  ,3.0,2.01,1.75  ,1.55,4.20,5.20  ,1.14,1.20,2.35  ,2.0 1.0,2.05 2.21,1.72 1.62  
 ,1-й тайм:,0 0,1.32 3.20,1.0,1.57,2.30,2.10,2.50,5.20,1.14,1.49,1.69, 
 , ,–1.5 +1.5,5.00 1.15,2.0,4.20,1.20, , , 
 , ,–1.0 +1.0,3.75 1.25,1.5,2.35,1.55, , , 
 ,2-й тайм:,–1.0 +1.0,3.05 1.35,1.5,1.87,1.87,1.91,2.85,4.80,1.15,1.37,1.79, 
 , ,–1.5 +1.5,4.00 1.22,2.0,2.80,1.40, , , 
 , ,0 0,1.31 3.30,1.0,1.31,3.25, , , 
2620,29/02 14:00,ИФ Колдинг Нествед,–1.0 +1.0,2.48 1.50  ,2.5,1.77,1.98  ,1.84,3.60,4.00  ,1.22,1.27,1.90  ,1.5 1.0,1.84 1.98,1.90 1.77  
 ,1-й тайм:,0 0,1.45 2.60,1.0,1.74,2.03,2.44,2.31,4.40,1.19,1.57,1.52, 
 , ,–1.5 +1.5,6.40 1.10,2.0,5.10,1.15, , , 
 , ,–1.0 +1.0,5.00 1.15,1.5,2.60,1.45, , , 
 ,2-й тайм:,0 0,1.47 2.55,1.5,1.99,1.76,2.23,2.65,3.90,1.21,1.42,1.58, 
 , ,–1.5 +1.5,5.20 1.14,2.0,3.15,1.33, , , 
 , ,–1.0 +1.0,4.00 1.22,1.0,1.38,2.90, , , 
3112,29/02 15:00,Фремад Амагер Фредерисия,0 0,2.37 1.55  ,2.5,1.80,1.94  ,3.25,3.40,2.12  ,1.67,1.29,1.31  ,1.0 1.5,1.77 2.03,1.99 1.73  
 ,1-й тайм:,0 0,2.21 1.62,1.0,1.78,1.97,3.80,2.26,2.75,1.42,1.59,1.25, 
 , ,+1.0 –1.0,1.10 6.10,2.0,5.30,1.14, , , 
 , ,+1.5 –1.5,1.07 7.50,1.5,2.70,1.44, , , 
 ,2-й тайм:,0 0,2.21 1.62,1.5,2.02,1.74,3.40,2.60,2.48,1.48,1.44,1.27, 
 , ,+1.0 –1.0,1.16 4.80,2.0,3.25,1.32, , , 
 , ,+1.5 –1.5,1.11 6.00,1.0,1.39,2.85, , , 
6613,01/03 15:00,Нюкёбинг Скиве,0 0,1.68 2.11  ,3.0,2.00,1.75  ,2.28,3.55,2.90  ,1.38,1.27,1.58  ,1.5 1.5,1.94 2.23,1.80 1.61  
 ,1-й тайм:,0 0,1.73 2.04,1.0,1.58,2.28,2.85,2.40,3.35,1.30,1.53,1.39, 
 , ,–1.5 +1.5,7.50 1.07,2.0,4.30,1.20, , , 
 , ,–1.0 +1.0,6.10 1.10,1.5,2.37,1.55, , , 
 ,2-й тайм:,0 0,1.72 2.04,1.5,1.86,1.88,2.60,2.70,3.05,1.33,1.41,1.44, 
 , ,–1.5 +1.5,6.20 1.10,2.0,2.75,1.41, , , 
 , ,–1.0 +1.0,5.00 1.15,1.0,1.30,3.30, , , 
6844,01/03 16:00,Вайле Кёге,–1.0 +1.0,2.04 1.72  ,2.5,1.80,1.94  ,1.61,3.95,5.10  ,1.14,1.22,2.23  ,1.5 1.0,1.72 2.48,2.05 1.50  
 ,1-й тайм:,0 0,1.33 3.15,1.0,1.76,2.00,2.21,2.35,5.30,1.14,1.55,1.62, 
 , ,–1.5 +1.5,5.60 1.12,2.0,5.20,1.14, , , 
 , ,–1.0 +1.0,4.20 1.20,1.5,2.65,1.44, , , 
 ,2-й тайм:,0 0,1.33 3.15,1.5,2.03,1.73,1.99,2.70,4.80,1.15,1.41,1.73, 
 , ,–1.5 +1.5,4.40 1.18,2.0,3.25,1.31, , , 
 , ,–1.0 +1.0,3.35 1.30,1.0,1.40,2.85, , , 
6425,01/03 16:00,Веннсюссель Роскилле,–1.0 +1.0,2.04 1.73  ,2.5,1.80,1.95  ,1.61,3.95,5.10  ,1.14,1.22,2.23  ,1.5 1.0,1.71 2.46,2.06 1.51  
 ,1-й тайм:,0 0,1.33 3.15,1.0,1.76,2.00,2.21,2.35,5.30,1.14,1.55,1.62, 
 , ,–1.5 +1.5,5.60 1.12,2.0,5.20,1.14, , , 
 , ,–1.0 +1.0,4.20 1.20,1.5,2.65,1.44, , , 
 ,2-й тайм:,0 0,1.32 3.20,1.5,2.03,1.74,1.98,2.70,4.80,1.15,1.41,1.74, 
 , ,–1.5 +1.5,4.40 1.19,2.0,3.25,1.31, , , 
 , ,–1.0 +1.0,3.30 1.30,1.0,1.39,2.85, , , 
