№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
264,27/02 17:00,Персеполис Тегеран Падидех Шахр Ходро,–1.0 +1.0,2.23 1.61  ,2.0,2.14,1.66  ,1.62,3.10,7.10  ,1.08,1.33,2.21  ,1.5 1.0,2.23 5.20,1.61 1.14  
 ,1-й тайм:,0 0,1.28 3.50,1.0,2.60,1.45,2.41,1.95,6.60,1.09,1.80,1.53, 
 , ,–1.5 +1.5,6.80 1.07,2.0,9.00,1.03, , , 
 , ,–1.0 +1.0,5.30 1.12,1.5,3.85,1.22, , , 
 ,2-й тайм:,0 0,1.23 3.75,1.0,1.96,1.75,2.10,2.23,6.50,1.08,1.58,1.65, 
 , ,–1.5 +1.5,5.30 1.12,2.0,6.10,1.09, , , 
 , ,–1.0 +1.0,3.95 1.21,1.5,2.95,1.35, , , 
3378,28/02 14:00,Сайпа Кередж Санат Нафт,0 0,1.72 2.05  ,2.0,1.83,1.91  ,2.48,2.95,2.95  ,1.37,1.37,1.50  ,1.0 1.0,1.86 2.12,1.88 1.68  
 ,1-й тайм:,0 0,1.76 1.99,1.0,2.40,1.53,3.30,1.95,3.75,1.25,1.80,1.30, 
 , ,–1.5 +1.5,9.90 1.02,2.0,8.00,1.05, , , 
 , ,–1.0 +1.0,8.50 1.04,1.5,3.55,1.25, , , 
 ,2-й тайм:,0 0,1.73 1.98,1.0,1.69,2.05,2.90,2.28,3.35,1.28,1.55,1.36, 
 , ,–1.5 +1.5,7.70 1.05,2.0,4.80,1.15, , , 
 , ,–1.0 +1.0,6.40 1.08,1.5,2.55,1.45, , , 
3637,28/02 14:30,Нафт Масджид-Сулейман Пайкан,0 0,1.50 2.48  ,2.0,1.94,1.81  ,2.18,2.90,3.60  ,1.27,1.38,1.64  ,1.0 1.0,1.75 2.60,2.01 1.47  
 ,1-й тайм:,0 0,1.57 2.31,1.0,2.50,1.49,3.00,1.93,4.40,1.19,1.81,1.36, 
 , ,–1.5 +1.5,8.80 1.03,2.0,8.50,1.04, , , 
 , ,–1.0 +1.0,7.40 1.06,1.5,3.70,1.23, , , 
 ,2-й тайм:,0 0,1.57 2.26,1.0,1.77,1.94,2.65,2.23,3.90,1.21,1.58,1.42, 
 , ,–1.5 +1.5,7.00 1.07,2.0,5.20,1.13, , , 
 , ,–1.0 +1.0,5.70 1.10,1.5,2.65,1.42, , , 
3707,28/02 16:00,Парс Жунуби Джем Трактор Сази,0 0,2.48 1.50  ,2.0,1.99,1.76  ,3.60,2.90,2.18  ,1.64,1.38,1.27  ,1.0 1.0,2.65 1.78,1.44 1.97  
 ,1-й тайм:,0 0,2.31 1.57,1.0,2.55,1.47,4.40,1.91,3.00,1.36,1.83,1.19, 
 , ,+1.0 –1.0,1.05 7.50,2.0,8.80,1.03, , , 
 , ,+1.5 –1.5,1.03 9.00,1.5,3.75,1.23, , , 
 ,2-й тайм:,0 0,2.28 1.55,1.0,1.80,1.90,3.90,2.21,2.65,1.42,1.59,1.21, 
 , ,+1.0 –1.0,1.10 5.70,2.0,5.40,1.12, , , 
 , ,+1.5 –1.5,1.06 7.10,1.5,2.70,1.40, , , 
