№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
3154,28/02 21:45,Атлон Таун Кабинтили,+1.0 –1.0,1.82 1.93  ,3.0,2.01,1.75  ,5.00,4.20,1.57  ,2.31,1.20,1.15  ,1.0 2.0,2.18 2.06,1.64 1.71  
 ,1-й тайм:,0 0,3.15 1.33,1.0,1.58,2.30,5.00,2.48,2.10,1.69,1.50,1.15, 
 , ,+1.0 –1.0,1.23 3.75,2.0,4.20,1.19, , , 
 , ,+1.5 –1.5,1.14 4.90,1.5,2.33,1.53, , , 
 ,2-й тайм:,+1.0 –1.0,1.35 3.00,1.5,1.84,1.86,4.80,2.85,1.91,1.79,1.37,1.15, 
 , ,0 0,3.20 1.30,2.0,2.75,1.40, , , 
 , ,+1.5 –1.5,1.21 3.95,1.0,1.30,3.20, , , 
3369,28/02 21:45,Брэй Уондерерс Уэксфорд Ютс,–1.5 +1.5,1.94 1.80  ,3.0,2.02,1.74  ,1.33,5.00,7.70  ,1.06,1.15,3.15  ,2.0 1.0,1.75 3.30,2.01 1.31  
 ,1-й тайм:,–1.0 +1.0,2.95 1.37,1.0,1.58,2.30,1.81,2.60,6.90,1.08,1.47,1.93, 
 , ,–1.5 +1.5,3.95 1.21,2.0,4.10,1.19, , , 
 , ,0 0,1.18 4.30,1.5,2.33,1.53, , , 
 ,2-й тайм:,–1.0 +1.0,2.30 1.55,1.5,1.86,1.84,1.64,3.05,6.90,1.07,1.33,2.12, 
 , ,–1.5 +1.5,3.15 1.31,2.0,2.80,1.39, , , 
 , ,0 0,1.15 4.70,1.0,1.30,3.20, , , 
3734,28/02 21:45,Дроэда Юнайтед Лонгфорд Таун,0 0,1.60 2.25  ,2.5,1.86,1.88  ,2.17,3.40,3.05  ,1.35,1.29,1.64  ,1.5 1.0,2.12 1.76,1.67 1.99  
 ,1-й тайм:,0 0,1.66 2.14,1.0,1.83,1.91,2.85,2.20,3.65,1.25,1.63,1.39, 
 , ,–1.5 +1.5,7.70 1.05,2.0,5.40,1.12, , , 
 , ,–1.0 +1.0,6.30 1.08,1.5,2.75,1.40, , , 
 ,2-й тайм:,0 0,1.64 2.12,1.5,2.04,1.69,2.55,2.55,3.35,1.28,1.45,1.45, 
 , ,–1.5 +1.5,6.10 1.09,2.0,3.30,1.29, , , 
 , ,–1.0 +1.0,4.90 1.14,1.0,1.40,2.70, , , 
3494,28/02 21:45,ЮК Дублин Коб Рэмблерс,–1.0 +1.0,2.55 1.48  ,2.5,1.71,2.06  ,1.87,3.65,3.65  ,1.25,1.25,1.87  ,1.5 1.0,1.83 1.85,1.92 1.89  
 ,1-й тайм:,0 0,1.50 2.48,1.0,1.70,2.08,2.48,2.31,4.10,1.21,1.57,1.50, 
 , ,–1.5 +1.5,6.30 1.08,2.0,4.80,1.15, , , 
 , ,–1.0 +1.0,5.00 1.13,1.5,2.55,1.45, , , 
 ,2-й тайм:,0 0,1.48 2.46,1.5,1.91,1.80,2.25,2.70,3.80,1.22,1.41,1.57, 
 , ,–1.5 +1.5,5.00 1.13,2.0,2.90,1.35, , , 
 , ,–1.0 +1.0,3.95 1.21,1.0,1.33,3.05, , , 
5440,29/02 17:00,Шемрок Роверс-2 Голуэй Юнайтед,+1.0 –1.0,2.10 1.69  ,3.0,2.08,1.69  ,6.30,4.50,1.42  ,2.75,1.18,1.10  ,1.0 2.0,2.75 1.92,1.42 1.82  
 ,1-й тайм:,+1.0 –1.0,1.30 3.35,1.0,1.60,2.25,6.00,2.50,1.94,1.80,1.49,1.11, 
 , ,0 0,3.70 1.23,2.0,4.30,1.18, , , 
 , ,+1.5 –1.5,1.17 4.40,1.5,2.37,1.52, , , 
 ,2-й тайм:,+1.0 –1.0,1.42 2.65,1.5,1.89,1.81,5.80,2.90,1.77,1.94,1.36,1.10, 
 , ,0 0,3.85 1.22,2.0,2.90,1.36, , , 
 , ,+1.5 –1.5,1.25 3.60,1.0,1.32,3.10, , , 
