№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
2588,04/03 22:00,Мирандес Реал Сосьедад,+1.0 –1.0,1.49 2.60  ,3.0,2.10,1.74  ,3.65,3.90,1.92  ,1.88,1.25,1.28  ,1.0 1.5,1.74 1.78,2.02 1.97  
 ,1-й тайм:,0 0,2.46 1.55,1.0,1.66,2.21,4.00,2.37,2.50,1.49,1.55,1.22, 
 , ,+1.0 –1.0,1.14 5.20,2.0,4.60,1.17, , , 
 , ,+1.5 –1.5,1.09 6.50,1.5,2.46,1.51, , , 
 ,2-й тайм:,0 0,2.48 1.50,1.5,1.85,1.89,3.70,2.75,2.23,1.58,1.39,1.23, 
 , ,+1.0 –1.0,1.23 3.95,2.0,2.75,1.42, , , 
 , ,+1.5 –1.5,1.15 5.00,1.0,1.30,3.30, , , 
2594,05/03 22:00,Гранада Атлетик Бильбао,0 0,1.81 2.00  ,2.0,1.84,1.96  ,2.65,2.95,2.95  ,1.40,1.40,1.48  ,1.0 1.0,1.89 2.03,1.85 1.73  
 ,1-й тайм:,0 0,1.88 1.92,1.0,2.41,1.57,3.50,1.98,3.60,1.27,1.77,1.28, 
 , ,–1.0 +1.0,9.50 1.04,2.0,8.30,1.05, , , 
 , ,+1.0 –1.0,1.03 9.80,1.5,3.60,1.27, , , 
 ,2-й тайм:,0 0,1.77 1.98,1.0,1.69,2.10,2.95,2.28,3.30,1.29,1.55,1.35, 
 , ,–1.0 +1.0,6.80 1.08,2.0,4.80,1.16, , , 
 , ,+1.0 –1.0,1.06 8.00,1.5,2.55,1.48, , , 
