№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
5847,27/02 21:00,Лоха Атлетико Малагеньо,0 0,1.82 1.87  ,2.5,1.90,1.80  ,2.50,3.15,2.55  ,1.48,1.33,1.50  ,1.0 1.0,1.60 1.62,2.20 2.15  
5857,27/02 21:00,Эхидо Полидепортиво Альмерия,–1.5 +1.5,1.95 1.75  ,2.5,1.70,2.05  ,1.32,4.70,7.50  ,1.07,1.17,3.20  ,2.0 1.0,1.82 3.55,1.87 1.25  
5846,27/02 21:30,Хаэн Уэтор Тахар,–1.0 +1.0,2.00 1.72  ,2.5,1.65,2.10  ,1.57,3.80,4.70  ,1.17,1.25,2.30  ,1.5 1.0,1.62 2.15,2.15 1.62  
5866,27/02 21:30,Херес Депортиво Лос-Барриос,–1.0 +1.0,1.80 1.92  ,2.5,1.80,1.90  ,1.45,4.00,6.00  ,1.11,1.22,2.65  ,1.5 1.0,1.62 2.95,2.15 1.35  
5856,27/02 22:00,Антекейра Алаурин-де-ла-Торре,–2.0 +2.0,1.87 1.82  ,3.0,1.72,2.00  ,1.16,6.50,11.0  ,1.02,1.10,4.80  ,2.5 1.0,1.82 4.50,1.87 1.17  
5853,27/02 22:00,Мотрил КД Торреперогил,–1.0 +1.0,1.87 1.82  ,2.5,1.72,2.00  ,1.50,3.90,5.00  ,1.15,1.23,2.50  ,1.5 1.0,1.62 2.50,2.15 1.47  
8650,28/02 13:00,Альмерия-2 Эль Пало,–1.0 +1.0,1.75 1.95  ,3.0,1.85,1.85  ,1.45,4.30,5.00  ,1.15,1.20,2.65  ,2.0 1.0,1.85 2.20,1.85 1.60  
8636,28/02 13:00,Кониль Кордова-2,–1.0 +1.0,1.87 1.82  ,3.0,2.05,1.70  ,1.50,4.00,5.00  ,1.15,1.22,2.50  ,2.0 1.0,2.05 2.25,1.70 1.57  
8642,28/02 13:00,Рота Пуэнте-Хениль,0 0,1.80 1.90  ,2.5,1.87,1.82  ,2.45,3.20,2.60  ,1.47,1.32,1.50  ,1.0 1.0,1.57 1.62,2.25 2.15  
8649,28/02 13:00,Торредонхимено Атлетико Поркуна,–1.5 +1.5,1.80 1.90  ,3.0,1.70,2.05  ,1.28,5.00,7.50  ,1.07,1.15,3.45  ,2.5 1.0,2.00 2.70,1.72 1.40  
8638,28/02 13:30,Аркос Пособланко,0 0,1.44 2.60  ,2.5,1.95,1.75  ,1.92,3.30,3.45  ,1.28,1.30,1.82  ,1.5 1.0,2.05 2.05,1.67 1.67  
8651,28/02 21:00,Мелилья Велес,0 0,1.77 1.93  ,2.5,1.90,1.80  ,2.40,3.25,2.60  ,1.47,1.32,1.53  ,1.0 1.0,1.57 1.65,2.25 2.10  
8640,28/02 21:30,Ардой Валье де Эгес,0 0,2.00 1.72  ,2.5,1.80,1.90  ,2.70,3.20,2.30  ,1.57,1.32,1.44  ,1.0 1.5,1.60 2.15,2.20 1.62  
8639,28/02 23:00,Унион Виера УД Сан-Фернандо,0 0,2.00 1.72  ,2.5,1.80,1.90  ,2.70,3.20,2.35  ,1.55,1.32,1.44  ,1.0 1.5,1.60 2.20,2.20 1.60  
