№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
2604,04/03 21:45,Ювентус Милан,–1.0 +1.0,1.95 1.85  ,2.5,1.80,2.01  ,1.57,4.10,5.80  ,1.14,1.23,2.41  ,1.5 1.0,1.66 2.60,2.14 1.47  
 ,1-й тайм:,0 0,1.31 3.45,1.0,1.78,2.03,2.14,2.37,5.60,1.12,1.55,1.66, 
 , ,–1.5 +1.5,5.30 1.13,2.0,5.20,1.14, , , 
 , ,–1.0 +1.0,4.00 1.22,1.5,2.65,1.44, , , 
 ,2-й тайм:,–1.0 +1.0,3.10 1.33,1.5,1.99,1.77,1.92,2.75,5.10,1.13,1.39,1.78, 
 , ,–1.5 +1.5,4.20 1.21,2.0,3.15,1.33, , , 
 , ,0 0,1.29 3.40,1.0,1.37,2.95, , , 
2606,05/03 21:45,Наполи Интер Милан,0 0,1.83 1.98  ,2.5,1.79,2.02  ,2.46,3.65,2.65  ,1.48,1.28,1.55  ,1.5 1.5,2.20 2.31,1.63 1.57  
 ,1-й тайм:,0 0,1.85 1.95,1.0,1.77,2.05,3.10,2.28,3.25,1.31,1.58,1.33, 
 , ,–1.0 +1.0,7.30 1.07,2.0,5.10,1.14, , , 
 , ,+1.0 –1.0,1.06 7.80,1.5,2.65,1.45, , , 
 ,2-й тайм:,0 0,1.81 1.94,1.5,1.98,1.77,2.75,2.60,2.95,1.35,1.44,1.39, 
 , ,–1.0 +1.0,5.70 1.12,2.0,3.10,1.33, , , 
 , ,+1.0 –1.0,1.10 6.30,1.0,1.37,2.95, , , 
