№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
265,27/02 15:50,Аль-Духаиль Аль-Шахания,–1.0 +1.0,1.79 1.95  ,3.0,2.00,1.76  ,1.49,4.30,6.10  ,1.10,1.19,2.50  ,2.0 1.0,1.96 2.37,1.79 1.55  
 ,1-й тайм:,0 0,1.30 3.35,1.5,2.33,1.57,2.05,2.55,5.30,1.14,1.48,1.72, 
 , ,–1.5 +1.5,4.80 1.16,2.0,4.10,1.21, , , 
 , ,–1.0 +1.0,3.55 1.27,1.0,1.55,2.35, , , 
 ,2-й тайм:,–1.0 +1.0,2.80 1.41,1.5,1.88,1.86,1.82,2.90,5.40,1.12,1.36,1.88, 
 , ,–1.5 +1.5,3.80 1.25,2.0,2.85,1.40, , , 
 , ,0 0,1.25 3.65,1.0,1.31,3.25, , , 
537,27/02 15:50,Аль-Райян Аль-Ахли Доха,–1.0 +1.0,1.85 1.89  ,3.0,1.69,2.10  ,1.55,4.50,5.10  ,1.14,1.18,2.35  ,2.0 1.0,1.79 1.87,1.96 1.87  
 ,1-й тайм:,0 0,1.37 2.95,1.5,2.17,1.65,2.14,2.60,4.60,1.17,1.47,1.66, 
 , ,–1.5 +1.5,4.90 1.15,2.0,3.65,1.25, , , 
 , ,–1.0 +1.0,3.75 1.25,1.0,1.47,2.60, , , 
 ,2-й тайм:,–1.0 +1.0,2.65 1.44,1.5,1.65,2.15,1.80,3.15,4.80,1.15,1.31,1.90, 
 , ,–1.5 +1.5,3.55 1.27,2.5,3.00,1.36, , , 
 , ,0 0,1.29 3.40,2.0,2.25,1.60, , , 
536,27/02 18:30,Аль-Садд Аль-Араби Доха,–2.0 +2.0,1.95 1.80  ,4.0,1.96,1.79  ,1.25,6.60,8.90  ,1.04,1.09,3.70  ,3.0 1.0,2.01 2.12,1.75 1.67  
 ,1-й тайм:,–1.0 +1.0,2.21 1.62,1.5,1.75,2.01,1.62,3.25,6.90,1.08,1.31,2.21, 
 , ,–1.5 +1.5,3.05 1.35,2.5,3.30,1.30, , , 
 , ,0 0,1.16 4.70,2.0,2.50,1.50, , , 
 ,2-й тайм:,–1.0 +1.0,1.83 1.91,2.0,1.74,2.01,1.47,3.90,6.90,1.07,1.21,2.50, 
 , ,–2.0 +2.0,4.10 1.21,2.5,2.33,1.57, , , 
 , ,–1.5 +1.5,2.46 1.50,1.5,1.44,2.70, , , 
3613,28/02 15:50,Аль-Сайлия Аль-Гарафа,0 0,2.33 1.55  ,2.5,1.73,2.03  ,3.15,3.75,2.07  ,1.71,1.25,1.33  ,1.0 1.5,1.71 1.96,2.07 1.79  
 ,1-й тайм:,0 0,2.20 1.63,1.0,1.73,2.03,3.70,2.30,2.75,1.42,1.58,1.25, 
 , ,+1.0 –1.0,1.11 6.00,2.0,5.10,1.15, , , 
 , ,+1.5 –1.5,1.07 7.50,1.5,2.60,1.45, , , 
 ,2-й тайм:,0 0,2.26 1.59,1.5,1.94,1.81,3.45,2.65,2.41,1.50,1.42,1.27, 
 , ,+1.0 –1.0,1.18 4.50,2.0,3.00,1.36, , , 
 , ,+1.5 –1.5,1.12 5.70,1.0,1.35,3.05, , , 
3635,28/02 18:00,Аль-Вакра Умм-Салаль,–1.0 +1.0,2.33 1.57  ,3.0,2.05,1.72  ,1.78,3.95,3.95  ,1.22,1.22,1.97  ,1.5 1.0,1.71 1.86,2.07 1.88  
 ,1-й тайм:,0 0,1.45 2.60,1.0,1.61,2.23,2.37,2.41,4.30,1.19,1.53,1.55, 
 , ,–1.5 +1.5,6.00 1.11,2.0,4.40,1.19, , , 
 , ,–1.0 +1.0,4.60 1.17,1.5,2.41,1.53, , , 
 ,2-й тайм:,0 0,1.44 2.70,1.5,1.87,1.87,2.12,2.80,4.00,1.20,1.38,1.64, 
 , ,–1.5 +1.5,4.70 1.17,2.0,2.80,1.40, , , 
 , ,–1.0 +1.0,3.60 1.27,1.0,1.31,3.25, , , 
5691,29/02 15:50,Аль-Хор Катар СК,0 0,1.78 1.97  ,2.5,1.74,2.03  ,2.37,3.70,2.65  ,1.44,1.25,1.55  ,1.5 1.5,2.14 2.30,1.66 1.57  
 ,1-й тайм:,0 0,1.82 1.92,1.0,1.74,2.01,3.10,2.28,3.25,1.31,1.58,1.33, 
 , ,–1.0 +1.0,7.30 1.07,2.0,5.10,1.14, , , 
 , ,+1.0 –1.0,1.06 7.90,1.5,2.65,1.45, , , 
 ,2-й тайм:,0 0,1.77 1.98,1.5,1.93,1.81,2.70,2.65,3.00,1.33,1.42,1.41, 
 , ,–1.0 +1.0,5.40 1.13,2.0,2.95,1.36, , , 
 , ,+1.0 –1.0,1.10 6.40,1.0,1.35,3.10, , , 
