№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
2225,29/02 17:00,АЕЛ Лимасол Этникос Ахнас,–1.5 +1.5,1.77 2.05  ,2.5,1.85,1.95  ,1.25,5.80,13.0  ,1.02,1.14,3.95  ,2.0 1.0,1.76 6.50,2.00 1.09  
 ,1-й тайм:,–1.0 +1.0,2.70 1.47,1.0,1.76,2.07,1.69,2.60,10.5,1.03,1.47,2.10, 
 , ,–1.5 +1.5,3.75 1.25,2.0,5.10,1.15, , , 
 , ,0 0,1.09 6.40,1.5,2.60,1.45, , , 
 ,2-й тайм:,–1.0 +1.0,2.11 1.68,1.5,2.08,1.69,1.53,3.05,10.0,1.02,1.33,2.33, 
 , ,–2.0 +2.0,6.00 1.11,2.0,3.40,1.29, , , 
 , ,–1.5 +1.5,3.00 1.36,1.0,1.42,2.70, , , 
1910,29/02 17:00,Докса Катокопиа Пафос,+1.0 –1.0,1.93 1.87  ,2.5,1.85,1.96  ,6.10,4.30,1.53  ,2.50,1.22,1.13  ,1.0 1.5,2.90 1.65,1.38 2.15  
 ,1-й тайм:,0 0,3.65 1.28,1.0,1.79,2.03,5.90,2.37,2.08,1.70,1.55,1.11, 
 , ,+1.0 –1.0,1.23 3.85,2.0,5.20,1.14, , , 
 , ,+1.5 –1.5,1.14 5.10,1.5,2.65,1.44, , , 
 ,2-й тайм:,+1.0 –1.0,1.36 3.00,1.5,2.06,1.71,5.50,2.75,1.87,1.83,1.39,1.11, 
 , ,0 0,3.65 1.25,2.0,3.35,1.30, , , 
 , ,+1.5 –1.5,1.21 4.10,1.0,1.41,2.75, , , 
2227,29/02 17:00,Неа Саламина Аполлон Лимасол,+1.5 –1.5,1.73 2.10  ,2.5,1.71,2.14  ,7.60,4.90,1.40  ,2.95,1.18,1.09  ,1.0 2.0,3.15 1.88,1.33 1.86  
 ,1-й тайм:,+1.0 –1.0,1.35 3.25,1.0,1.64,2.25,6.60,2.55,1.90,1.84,1.48,1.09, 
 , ,0 0,4.10 1.21,2.0,4.50,1.18, , , 
 , ,+1.5 –1.5,1.19 4.40,1.5,2.44,1.52, , , 
 ,2-й тайм:,+1.0 –1.0,1.49 2.50,1.5,1.94,1.80,6.50,2.95,1.70,2.03,1.35,1.08, 
 , ,0 0,4.40 1.19,2.0,3.00,1.36, , , 
 , ,+1.5 –1.5,1.28 3.45,1.0,1.35,3.05, , , 
2228,01/03 18:00,Анортосис Фамагуста АЕК Ларнака,–1.0 +1.0,1.93 1.87  ,2.5,1.99,1.82  ,1.55,4.20,5.90  ,1.13,1.23,2.45  ,1.5 1.0,1.73 3.20,2.03 1.32  
 ,1-й тайм:,0 0,1.29 3.55,1.0,1.93,1.87,2.17,2.28,6.00,1.11,1.58,1.64, 
 , ,–1.5 +1.5,5.60 1.12,2.0,5.90,1.11, , , 
 , ,–1.0 +1.0,4.20 1.21,1.5,2.90,1.38, , , 
 ,2-й тайм:,–1.0 +1.0,3.10 1.35,1.5,2.17,1.64,1.89,2.65,5.70,1.10,1.42,1.81, 
 , ,–1.5 +1.5,4.20 1.20,2.0,3.65,1.25, , , 
 , ,0 0,1.25 3.75,1.0,1.47,2.55, , , 
2229,01/03 18:00,Эносис Неон Олимпиакос Никосия,0 0,1.89 1.91  ,2.5,2.17,1.69  ,2.65,3.30,2.70  ,1.47,1.33,1.48  ,1.0 1.0,1.75 1.77,2.00 1.98  
 ,1-й тайм:,0 0,1.92 1.88,1.0,2.14,1.71,3.45,2.08,3.35,1.30,1.70,1.28, 
 , ,–1.0 +1.0,8.90 1.04,2.0,7.00,1.08, , , 
 , ,+1.0 –1.0,1.05 8.70,1.5,3.20,1.32, , , 
 ,2-й тайм:,0 0,1.84 1.91,1.5,2.30,1.58,2.95,2.41,3.05,1.33,1.50,1.35, 
 , ,–1.0 +1.0,6.60 1.09,2.0,4.10,1.21, , , 
 , ,+1.0 –1.0,1.08 7.00,1.0,1.55,2.37, , , 
2226,02/03 19:00,АПОЭЛ Омония Никосия,–1.0 +1.0,2.45 1.55  ,2.5,2.06,1.76  ,1.80,3.60,4.60  ,1.20,1.29,2.01  ,1.5 1.0,1.96 2.50,1.79 1.49  
 ,1-й тайм:,0 0,1.42 2.90,1.0,2.00,1.81,2.44,2.18,4.90,1.16,1.64,1.52, 
 , ,–1.5 +1.5,6.60 1.09,2.0,6.30,1.10, , , 
 , ,–1.0 +1.0,5.20 1.14,1.5,3.00,1.36, , , 
 ,2-й тайм:,0 0,1.40 2.80,1.5,2.25,1.60,2.18,2.50,4.40,1.17,1.47,1.61, 
 , ,–1.5 +1.5,5.30 1.14,2.0,3.90,1.23, , , 
 , ,–1.0 +1.0,4.00 1.22,1.0,1.51,2.46, , , 
