№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
8543,28/02 18:00,Замалек Эсперанс Тунис,0 0,1.44 2.70  ,2.0,1.85,1.89  ,2.07,3.00,3.95  ,1.22,1.36,1.71  ,1.0 1.0,1.64 2.65,2.18 1.45  
 ,1-й тайм:,0 0,1.53 2.41,1.0,2.35,1.55,2.85,2.00,4.50,1.18,1.76,1.39, 
 , ,–1.5 +1.5,8.60 1.05,2.0,8.20,1.06, , , 
 , ,–1.0 +1.0,7.00 1.08,1.5,3.55,1.27, , , 
 ,2-й тайм:,0 0,1.51 2.45,1.0,1.75,2.01,2.50,2.28,4.10,1.19,1.55,1.47, 
 , ,–1.5 +1.5,6.80 1.08,2.0,5.20,1.14, , , 
 , ,–1.0 +1.0,5.40 1.13,1.5,2.65,1.45, , , 
8544,28/02 21:00,Раджа Касабланка Мазембе,–1.0 +1.0,2.00 1.76  ,2.0,1.77,1.98  ,1.55,3.70,6.30  ,1.10,1.25,2.35  ,1.5 1.0,1.94 4.30,1.80 1.20  
 ,1-й тайм:,0 0,1.25 3.70,1.0,2.25,1.60,2.25,2.11,6.70,1.09,1.68,1.60, 
 , ,–1.5 +1.5,6.10 1.10,2.0,7.70,1.06, , , 
 , ,–1.0 +1.0,4.60 1.17,1.5,3.40,1.29, , , 
 ,2-й тайм:,–1.0 +1.0,3.45 1.28,1.0,1.69,2.10,1.97,2.44,6.20,1.09,1.49,1.74, 
 , ,–1.5 +1.5,4.70 1.17,2.0,4.80,1.16, , , 
 , ,0 0,1.23 3.85,1.5,2.55,1.48, , , 
