№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
6256,28/02 05:00,Лос-Анджелес Леон,–1.0 +1.0,2.46 1.55  ,3.5,2.08,1.75  ,1.88,4.10,3.60  ,1.29,1.23,1.92  ,2.0 1.5,2.05 2.20,1.72 1.63  
 ,1-й тайм:,0 0,1.57 2.40,1.5,2.18,1.68,2.44,2.55,3.75,1.25,1.48,1.52, 
 , ,–1.5 +1.5,6.00 1.11,2.0,3.60,1.27, , , 
 , ,–1.0 +1.0,4.70 1.17,1.0,1.45,2.60, , , 
 ,2-й тайм:,0 0,1.50 2.48,2.0,2.11,1.68,2.12,3.05,3.55,1.25,1.33,1.64, 
 , ,–1.5 +1.5,4.40 1.18,2.5,2.80,1.40, , , 
 , ,–1.0 +1.0,3.45 1.28,1.5,1.60,2.25, , , 
6328,28/02 05:00,Сиэтл Саундерс Олимпия Тегусигальпа,–1.0 +1.0,1.78 2.03  ,3.0,1.98,1.83  ,1.49,4.50,6.30  ,1.12,1.20,2.60  ,2.0 1.0,1.90 2.35,1.84 1.55  
 ,1-й тайм:,0 0,1.30 3.55,1.0,1.61,2.33,2.04,2.50,5.50,1.13,1.49,1.73, 
 , ,–1.5 +1.5,4.80 1.16,2.0,4.30,1.20, , , 
 , ,–1.0 +1.0,3.55 1.27,1.5,2.37,1.55, , , 
 ,2-й тайм:,–1.0 +1.0,2.65 1.44,1.5,1.80,1.95,1.79,3.00,5.30,1.12,1.33,1.91, 
 , ,–1.5 +1.5,3.60 1.27,2.5,3.45,1.28, , , 
 , ,0 0,1.25 3.70,2.0,2.60,1.45, , , 
