№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
7569,29/02 07:00,Чонбук Моторс Сувон Блювингз,–1.0 +1.0,2.05 1.77  ,2.5,1.86,1.94  ,1.62,4.10,5.20  ,1.16,1.23,2.30  ,1.5 1.0,1.72 2.60,2.05 1.47  
 ,1-й тайм:,0 0,1.33 3.35,1.0,1.86,1.94,2.20,2.30,5.50,1.13,1.58,1.63, 
 , ,–1.5 +1.5,5.60 1.12,2.0,5.60,1.12, , , 
 , ,–1.0 +1.0,4.30 1.20,1.5,2.80,1.41, , , 
 ,2-й тайм:,0 0,1.32 3.25,1.5,2.02,1.74,1.97,2.70,4.90,1.14,1.41,1.74, 
 , ,–1.5 +1.5,4.40 1.19,2.0,3.25,1.32, , , 
 , ,–1.0 +1.0,3.25 1.31,1.0,1.39,2.85, , , 
7563,29/02 09:00,Тэгу Канвон,0 0,1.48 2.65  ,2.5,1.95,1.85  ,2.01,3.55,3.65  ,1.28,1.30,1.80  ,1.5 1.0,2.04 2.01,1.73 1.75  
 ,1-й тайм:,0 0,1.57 2.41,1.0,1.93,1.88,2.70,2.20,4.10,1.21,1.63,1.44, 
 , ,–1.5 +1.5,7.50 1.07,2.0,5.90,1.11, , , 
 , ,–1.0 +1.0,6.00 1.11,1.5,2.85,1.39, , , 
 ,2-й тайм:,0 0,1.52 2.41,1.5,2.12,1.67,2.37,2.55,3.75,1.23,1.45,1.52, 
 , ,–1.5 +1.5,5.70 1.12,2.0,3.50,1.27, , , 
 , ,–1.0 +1.0,4.50 1.18,1.0,1.44,2.65, , , 
7566,29/02 09:00,Ульсан Сеул,–1.0 +1.0,2.33 1.60  ,2.5,1.95,1.85  ,1.75,3.50,5.10  ,1.17,1.30,2.08  ,1.5 1.0,1.86 2.41,1.88 1.52  
 ,1-й тайм:,0 0,1.42 2.90,1.0,1.88,1.93,2.39,2.26,4.80,1.16,1.59,1.53, 
 , ,–1.5 +1.5,6.30 1.10,2.0,5.70,1.12, , , 
 , ,–1.0 +1.0,4.90 1.16,1.5,2.80,1.40, , , 
 ,2-й тайм:,0 0,1.37 2.95,1.5,2.15,1.65,2.11,2.60,4.50,1.16,1.44,1.65, 
 , ,–1.5 +1.5,4.90 1.15,2.0,3.65,1.25, , , 
 , ,–1.0 +1.0,3.75 1.25,1.0,1.47,2.60, , , 
7582,01/03 07:00,Инчхон Юнайтед Санджу Санму,0 0,1.97 1.84  ,2.5,2.03,1.79  ,2.75,3.30,2.60  ,1.50,1.33,1.45  ,1.0 1.0,1.71 1.64,2.07 2.18  
 ,1-й тайм:,0 0,1.94 1.86,1.0,2.01,1.80,3.40,2.14,3.25,1.31,1.66,1.29, 
 , ,–1.0 +1.0,8.70 1.05,2.0,6.30,1.10, , , 
 , ,+1.0 –1.0,1.06 8.10,1.5,3.00,1.36, , , 
 ,2-й тайм:,0 0,1.92 1.82,1.5,2.18,1.64,3.05,2.48,2.90,1.36,1.48,1.33, 
 , ,–1.0 +1.0,6.80 1.09,2.0,3.70,1.25, , , 
 , ,+1.0 –1.0,1.10 6.20,1.0,1.48,2.55, , , 
