№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
8713,04/03 17:00,Ахмат Зенит Ст.Петербург,+1.0 –1.0,1.48 2.65  ,2.5,2.18,1.68  ,4.40,3.40,1.88  ,1.92,1.32,1.21  ,1.0 1.5,2.50 2.10,1.49 1.69  
 ,1-й тайм:,0 0,2.70 1.47,1.0,2.12,1.72,4.80,2.12,2.60,1.47,1.67,1.16, 
 , ,+1.0 –1.0,1.12 5.80,2.0,6.90,1.08, , , 
 , ,+1.5 –1.5,1.07 7.30,1.5,3.15,1.33, , , 
 ,2-й тайм:,0 0,2.70 1.44,1.5,2.33,1.57,4.30,2.45,2.28,1.55,1.49,1.18, 
 , ,+1.0 –1.0,1.19 4.30,2.0,4.10,1.21, , , 
 , ,+1.5 –1.5,1.12 5.60,1.0,1.55,2.35, , , 
8720,04/03 17:30,Шинник Урал,0 0,2.85 1.42  ,2.0,1.70,2.15  ,4.10,3.15,2.02  ,1.79,1.36,1.23  ,1.0 1.5,2.44 2.25,1.52 1.60  
 ,1-й тайм:,0 0,2.60 1.50,1.0,2.18,1.69,4.60,2.08,2.65,1.44,1.70,1.17, 
 , ,+1.0 –1.0,1.10 6.10,2.0,7.20,1.08, , , 
 , ,+1.5 –1.5,1.06 7.70,1.5,3.25,1.31, , , 
 ,2-й тайм:,0 0,2.44 1.52,1.0,1.62,2.21,3.95,2.37,2.46,1.48,1.52,1.21, 
 , ,+1.0 –1.0,1.15 5.00,2.0,4.50,1.18, , , 
 , ,+1.5 –1.5,1.10 6.40,1.5,2.44,1.52, , , 
8716,04/03 18:30,Спартак Москва ЦСКА Москва,0 0,1.89 1.91  ,2.5,2.18,1.68  ,2.70,3.15,2.70  ,1.47,1.36,1.47  ,1.0 1.0,1.76 1.77,1.99 1.98  
 ,1-й тайм:,0 0,1.92 1.88,1.0,2.12,1.72,3.40,2.08,3.35,1.30,1.70,1.29, 
 , ,–1.0 +1.0,8.90 1.05,2.0,6.90,1.08, , , 
 , ,+1.0 –1.0,1.05 8.60,1.5,3.15,1.33, , , 
 ,2-й тайм:,0 0,1.85 1.90,1.5,2.33,1.57,2.95,2.40,3.05,1.33,1.51,1.35, 
 , ,–1.0 +1.0,6.70 1.09,2.0,4.10,1.21, , , 
 , ,+1.0 –1.0,1.08 7.00,1.0,1.55,2.35, , , 
8718,05/03 18:30,Химки Торпедо Москва,0 0,2.33 1.61  ,2.5,2.18,1.69  ,3.30,3.20,2.28  ,1.63,1.35,1.33  ,1.0 1.0,2.02 1.59,1.74 2.28  
 ,1-й тайм:,0 0,2.18 1.68,1.0,2.05,1.77,3.85,2.12,2.95,1.37,1.67,1.23, 
 , ,+1.0 –1.0,1.08 7.10,2.0,6.60,1.09, , , 
 , ,+1.5 –1.5,1.05 8.60,1.5,3.05,1.35, , , 
 ,2-й тайм:,0 0,2.18 1.64,1.0,1.59,2.28,3.55,2.37,2.65,1.42,1.52,1.25, 
 , ,+1.0 –1.0,1.12 5.60,2.0,4.30,1.19, , , 
 , ,+1.5 –1.5,1.08 7.00,1.5,2.37,1.55, , , 
