№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
3327,27/02 16:00,Тамбов (мол.) Рубин (мол.),0 0,1.63 2.20  ,3.5,2.00,1.76  ,2.10,4.10,2.85  ,1.39,1.21,1.69  ,1.5 1.5,1.66 1.96,2.14 1.79  
 ,1-й тайм:,0 0,1.55 2.35,1.5,1.99,1.77,2.39,2.65,3.65,1.25,1.44,1.53, 
 , ,–1.5 +1.5,5.60 1.12,2.0,3.15,1.33, , , 
 , ,–1.0 +1.0,4.40 1.19,1.0,1.37,2.95, , , 
 ,2-й тайм:,0 0,1.80 1.95,1.5,1.64,2.17,2.60,2.90,2.80,1.38,1.36,1.44, 
 , ,–1.0 +1.0,4.80 1.16,2.5,2.95,1.37, , , 
 , ,+1.0 –1.0,1.13 5.40,2.0,2.21,1.62, , , 
3326,28/02 11:00,Зенит Ст.Петербург (мол.) Локомотив Москва (мол.),0 0,1.83 1.91  ,2.5,2.03,1.74  ,2.50,3.40,2.65  ,1.44,1.29,1.49  ,1.0 1.0,1.67 1.72,2.12 2.05  
 ,1-й тайм:,0 0,1.85 1.89,1.0,2.01,1.75,3.30,2.12,3.35,1.30,1.67,1.30, 
 , ,–1.0 +1.0,8.40 1.05,2.0,6.50,1.09, , , 
 , ,+1.0 –1.0,1.05 8.60,1.5,3.05,1.35, , , 
 ,2-й тайм:,0 0,1.82 1.92,1.5,2.20,1.63,2.90,2.46,3.05,1.33,1.48,1.36, 
 , ,–1.0 +1.0,6.30 1.10,2.0,3.75,1.25, , , 
 , ,+1.0 –1.0,1.08 6.80,1.0,1.49,2.50, , , 
3328,28/02 13:00,Динамо Москва (мол.) Спартак Москва (мол.),–1.0 +1.0,2.25 1.60  ,2.5,1.70,2.08  ,1.73,3.90,4.20  ,1.20,1.23,2.03  ,1.5 1.0,1.72 2.01,2.04 1.75  
 ,1-й тайм:,0 0,1.42 2.75,1.0,1.66,2.14,2.33,2.39,4.50,1.18,1.53,1.57, 
 , ,–1.5 +1.5,5.90 1.11,2.0,4.70,1.17, , , 
 , ,–1.0 +1.0,4.60 1.18,1.5,2.50,1.49, , , 
 ,2-й тайм:,0 0,1.40 2.80,1.5,1.93,1.81,2.08,2.75,4.20,1.19,1.39,1.67, 
 , ,–1.5 +1.5,4.70 1.17,2.0,2.95,1.37, , , 
 , ,–1.0 +1.0,3.55 1.27,1.0,1.35,3.10, , , 
3032,28/02 13:00,ЦСКА Москва (мол.) Урал (мол.),–1.5 +1.5,1.77 1.98  ,3.0,1.82,1.93  ,1.28,5.70,9.10  ,1.04,1.12,3.45  ,2.5 1.0,2.07 3.35,1.71 1.30  
 ,1-й тайм:,–1.0 +1.0,2.60 1.47,1.5,2.20,1.63,1.72,2.80,7.70,1.06,1.40,2.05, 
 , ,–1.5 +1.5,3.60 1.27,2.0,3.75,1.25, , , 
 , ,0 0,1.15 5.00,1.0,1.48,2.55, , , 
 ,2-й тайм:,–1.0 +1.0,2.10 1.69,1.5,1.77,1.98,1.55,3.30,7.60,1.05,1.29,2.30, 
 , ,–1.5 +1.5,2.90 1.38,2.5,3.35,1.30, , , 
 , ,0 0,1.13 5.30,2.0,2.55,1.48, , , 
