№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
3655,03/03 20:00,Академика Клинчени Динамо Бухарест,+1.0 –1.0,1.53 2.39  ,2.5,2.01,1.75  ,4.50,3.55,1.77  ,1.98,1.27,1.18  ,1.0 1.5,2.48 1.95,1.50 1.80  
 ,1-й тайм:,0 0,2.80 1.40,1.0,1.96,1.79,4.90,2.20,2.44,1.52,1.63,1.16, 
 , ,+1.0 –1.0,1.14 5.20,2.0,6.20,1.10, , , 
 , ,+1.5 –1.5,1.09 6.60,1.5,2.95,1.36, , , 
 ,2-й тайм:,0 0,2.80 1.40,1.5,2.21,1.62,4.40,2.55,2.18,1.61,1.45,1.17, 
 , ,+1.0 –1.0,1.22 4.00,2.0,3.80,1.25, , , 
 , ,+1.5 –1.5,1.14 5.20,1.0,1.49,2.50, , , 
3727,04/03 17:30,Петролул Плоешти Сепси ОСК,0 0,2.03 1.73  ,2.0,1.89,1.85  ,2.95,3.00,2.50  ,1.49,1.36,1.37  ,1.0 1.0,2.17 1.91,1.65 1.83  
 ,1-й тайм:,0 0,1.98 1.77,1.0,2.50,1.50,3.85,1.94,3.40,1.29,1.80,1.23, 
 , ,+1.0 –1.0,1.04 9.20,2.0,8.90,1.05, , , 
 , ,+1.5 –1.5,1.02 11.0,1.5,3.75,1.25, , , 
 ,2-й тайм:,0 0,2.00 1.75,1.0,1.73,2.04,3.35,2.26,2.95,1.35,1.57,1.28, 
 , ,+1.0 –1.0,1.08 6.80,2.0,5.00,1.15, , , 
 , ,+1.5 –1.5,1.05 8.20,1.5,2.60,1.45, , , 
3676,04/03 20:30,КСМС Яссы Университатя Крайова KC,0 0,2.75 1.42  ,2.5,2.14,1.67  ,3.90,3.25,1.98  ,1.77,1.31,1.23  ,1.0 1.5,2.31 2.18,1.57 1.64  
 ,1-й тайм:,0 0,2.48 1.50,1.0,2.08,1.70,4.50,2.11,2.70,1.44,1.68,1.18, 
 , ,+1.0 –1.0,1.10 6.10,2.0,6.90,1.08, , , 
 , ,+1.5 –1.5,1.07 7.70,1.5,3.15,1.33, , , 
 ,2-й тайм:,0 0,2.46 1.51,1.5,2.31,1.57,3.95,2.44,2.41,1.50,1.49,1.21, 
 , ,+1.0 –1.0,1.16 4.80,2.0,4.10,1.21, , , 
 , ,+1.5 –1.5,1.10 6.10,1.0,1.55,2.35, , , 
