№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
6277,01/03 16:30,Жилина Дунайска Стреда,0 0,1.49 2.50  ,3.0,2.11,1.68  ,2.04,3.40,3.50  ,1.28,1.29,1.73  ,1.5 1.0,1.87 1.67,1.87 2.12  
 ,1-й тайм:,0 0,1.57 2.31,1.0,1.63,2.20,2.60,2.37,3.85,1.23,1.55,1.47, 
 , ,–1.5 +1.5,6.70 1.09,2.0,4.50,1.18, , , 
 , ,–1.0 +1.0,5.30 1.13,1.5,2.44,1.52, , , 
 ,2-й тайм:,0 0,1.60 2.25,1.5,1.91,1.83,2.41,2.70,3.40,1.27,1.41,1.50, 
 , ,–1.5 +1.5,5.70 1.12,2.0,2.90,1.37, , , 
 , ,–1.0 +1.0,4.50 1.18,1.0,1.33,3.15, , , 
6607,01/03 16:30,Нитра Слован Братислава,+1.0 –1.0,1.77 1.98  ,2.5,1.78,1.98  ,5.00,4.10,1.59  ,2.26,1.21,1.15  ,1.0 1.5,2.50 1.68,1.50 2.11  
 ,1-й тайм:,0 0,3.15 1.33,1.0,1.75,2.01,5.30,2.35,2.21,1.62,1.55,1.14, 
 , ,+1.0 –1.0,1.20 4.20,2.0,5.20,1.14, , , 
 , ,+1.5 –1.5,1.12 5.60,1.5,2.65,1.45, , , 
 ,2-й тайм:,+1.0 –1.0,1.33 3.15,1.5,1.99,1.76,5.00,2.75,1.93,1.78,1.39,1.13, 
 , ,0 0,3.35 1.30,2.0,3.15,1.33, , , 
 , ,+1.5 –1.5,1.20 4.20,1.0,1.37,2.95, , , 
6846,01/03 16:30,Погронье Сеница,0 0,1.72 2.05  ,2.5,1.69,2.10  ,2.35,3.45,2.80  ,1.40,1.28,1.55  ,1.5 1.5,2.05 2.28,1.72 1.58  
 ,1-й тайм:,0 0,1.77 1.98,1.0,1.66,2.15,2.95,2.33,3.30,1.30,1.57,1.37, 
 , ,–1.0 +1.0,6.60 1.09,2.0,4.70,1.17, , , 
 , ,+1.0 –1.0,1.06 7.90,1.5,2.50,1.50, , , 
 ,2-й тайм:,0 0,1.75 2.01,1.5,1.92,1.82,2.65,2.65,3.05,1.33,1.42,1.42, 
 , ,–1.5 +1.5,6.50 1.09,2.0,2.95,1.37, , , 
 , ,–1.0 +1.0,5.20 1.14,1.0,1.33,3.10, , , 
6253,01/03 16:30,Ружомберок Земплин Михаловце,–1.0 +1.0,2.28 1.58  ,2.5,1.77,1.98  ,1.74,3.65,4.50  ,1.18,1.25,2.02  ,1.5 1.0,1.78 2.12,1.97 1.67  
 ,1-й тайм:,0 0,1.40 2.85,1.0,1.72,2.04,2.31,2.35,4.70,1.17,1.55,1.57, 
 , ,–1.5 +1.5,5.90 1.11,2.0,5.00,1.15, , , 
 , ,–1.0 +1.0,4.60 1.18,1.5,2.60,1.45, , , 
 ,2-й тайм:,0 0,1.42 2.75,1.5,2.00,1.75,2.14,2.65,4.20,1.19,1.42,1.63, 
 , ,–1.5 +1.5,4.90 1.16,2.0,3.20,1.32, , , 
 , ,–1.0 +1.0,3.75 1.25,1.0,1.38,2.90, , , 
6426,01/03 16:30,Спартак Трнава Злате Моравце,–1.0 +1.0,2.30 1.57  ,2.5,1.88,1.86  ,1.74,3.65,4.50  ,1.18,1.25,2.02  ,1.5 1.0,1.85 2.33,1.90 1.57  
 ,1-й тайм:,0 0,1.39 2.85,1.0,1.83,1.92,2.37,2.28,4.90,1.16,1.58,1.55, 
 , ,–1.5 +1.5,6.20 1.10,2.0,5.60,1.12, , , 
 , ,–1.0 +1.0,4.80 1.16,1.5,2.75,1.41, , , 
 ,2-й тайм:,0 0,1.39 2.85,1.5,2.11,1.68,2.14,2.60,4.40,1.17,1.44,1.63, 
 , ,–1.5 +1.5,5.00 1.15,2.0,3.50,1.28, , , 
 , ,–1.0 +1.0,3.80 1.25,1.0,1.44,2.70, , , 
6703,01/03 16:30,Тренчин Середь,–1.5 +1.5,2.04 1.73  ,3.5,2.08,1.69  ,1.40,4.90,6.50  ,1.09,1.16,2.80  ,2.5 1.0,2.15 2.17,1.65 1.65  
 ,1-й тайм:,–1.0 +1.0,2.95 1.37,1.5,2.06,1.71,1.86,2.80,5.80,1.11,1.40,1.88, 
 , ,–1.5 +1.5,4.00 1.22,2.0,3.35,1.30, , , 
 , ,0 0,1.25 3.75,1.0,1.41,2.80, , , 
 ,2-й тайм:,–1.0 +1.0,2.45 1.51,1.5,1.68,2.11,1.71,3.20,5.50,1.11,1.30,2.01, 
 , ,–1.5 +1.5,3.30 1.30,2.5,3.05,1.35, , , 
 , ,0 0,1.23 3.85,2.0,2.30,1.57, , , 
