№,Дата,Событие
8080,31/12 19:00,1 Лучший бомбардир сборной России
9628,31/03 09:00,"1 Следующая команда, которую будет тренировать Маурисио Почеттино"
5859,02/08 09:00,1 Алексей Миранчук перейдет в Ювентус летом 2020 года
2731,01/08 09:00,Следующий клуб Федора Чалова
8634,31/05 09:00,"1 Леонид Слуцкий на должности главного тренера ФК ""Рубин"""
3118,31/03 19:00,1 Лучший бомбардир сборной Украины в финальном турнире Евро-2020
3109,31/03 19:00,1 Украина на Евро-2020
3234,31/03 19:00,1 Украина после Евро-2020
6943,31/05 09:00,"1 Микель Артета на должности главного тренера ФК ""Арсенал Лондон"""
5895,31/12 09:00,1 ФК Спартак Москва
559,31/05 09:00,"1 Достижения Николая Комличенко в составе ФК ""Динамо Москва"""
6141,31/05 09:00,"1 Достижения Александра Соболева в составе ФК ""Спартак Москва"""
7550,01/09 09:00,1 Клуб Лионеля Месси после окончания летнего трансферного окна 2020 года (1 сентября 2020 года)
277,01/09 09:00,1 Следующий клуб Джейдона Санчо (без учета возможной аренды)
3387,31/05 09:00,"1 Достижение Александра Кокорина в ФК ""Сочи"""
7977,01/08 09:00,1 Следующий клуб Хосепа Гвардиолы
3126,31/12 09:00,1 Манчестер Сити
9445,31/05 09:00,"1 Достижения Эрлинга Брёута Холанда в составе ФК ""Боруссия Дортмунд"""
