№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2
9057,27/02 19:54,АЗ Алкмар Аякс Матчи 2020-02-27,+1.0 –1.0,1.53 2.55  ,3.0,2.15,1.70  ,3.70,4.00,1.87  ,1.93,1.25,1.28  
 ,1-й тайм:,0 0,2.55 1.53,1.0,1.67,2.20,4.00,2.40,2.45,1.50,1.53,1.22, 
 , ,+1.0 –1.0,1.15 5.00,2.0,4.50,1.17, , , 
 , ,+1.5 –1.5,1.10 6.50,1.5,2.45,1.50, , , 
 ,2-й тайм:,0 0,2.55 1.48,1.5,1.90,1.85,3.80,2.70,2.20,1.60,1.40,1.22, 
 , ,+1.0 –1.0,1.23 3.90,2.0,2.90,1.38, , , 
 , ,+1.5 –1.5,1.15 5.00,1.0,1.33,3.15, , , 
9049,27/02 19:54,Вольфсбург Байер Леверкузен Матчи 2020-02-27,0 0,1.80 2.00  ,3.0,2.15,1.70  ,2.40,3.80,2.65  ,1.48,1.27,1.57  
 ,1-й тайм:,0 0,1.82 1.97,1.0,1.67,2.20,3.00,2.35,3.25,1.32,1.55,1.36, 
 , ,–1.0 +1.0,7.00 1.08,2.0,4.50,1.17, , , 
 , ,+1.0 –1.0,1.07 7.50,1.5,2.45,1.50, , , 
 ,2-й тайм:,0 0,1.80 1.95,1.5,1.90,1.85,2.70,2.65,2.95,1.35,1.42,1.40, 
 , ,–1.0 +1.0,5.50 1.13,2.0,2.90,1.38, , , 
 , ,+1.0 –1.0,1.10 6.00,1.0,1.33,3.15, , , 
9054,27/02 19:54,Порту Бенфика Матчи 2020-02-27,0 0,1.95 1.85  ,3.5,1.92,1.87  ,2.50,4.30,2.40  ,1.57,1.22,1.53  
 ,1-й тайм:,0 0,1.93 1.87,1.5,2.00,1.82,2.95,2.65,2.85,1.40,1.44,1.37, 
 , ,–1.0 +1.0,6.00 1.10,2.0,3.05,1.35, , , 
 , ,+1.0 –1.0,1.12 6.00,1.0,1.35,3.00, , , 
 ,2-й тайм:,0 0,1.90 1.82,2.0,2.00,1.75,2.70,3.00,2.60,1.44,1.33,1.40, 
 , ,–1.0 +1.0,5.00 1.15,2.5,2.70,1.42, , , 
 , ,+1.0 –1.0,1.16 4.80,1.5,1.57,2.35, , , 
9048,27/02 19:54,Рома Интер Милан Матчи 2020-02-27,0 0,2.30 1.62  ,3.5,1.80,2.00  ,2.95,4.50,2.05  ,1.77,1.20,1.40  
 ,1-й тайм:,0 0,2.20 1.67,1.5,1.90,1.90,3.30,2.75,2.50,1.50,1.42,1.30, 
 , ,+1.0 –1.0,1.17 4.70,2.0,2.80,1.40, , , 
 , ,+1.5 –1.5,1.11 6.00,1.0,1.30,3.25, , , 
 ,2-й тайм:,0 0,2.20 1.65,2.0,1.90,1.85,3.05,3.10,2.30,1.55,1.32,1.33, 
 , ,+1.0 –1.0,1.23 3.80,2.5,2.55,1.48, , , 
 , ,+1.5 –1.5,1.16 4.80,1.5,1.50,2.45, , , 
9056,27/02 21:59,Арсенал Лондон Манчестер Юнайтед Матчи 2020-02-27,0 0,1.80 2.00  ,4.0,2.05,1.77  ,2.30,4.50,2.55  ,1.50,1.20,1.62  
 ,1-й тайм:,0 0,1.82 1.97,1.5,1.82,2.00,2.70,2.80,2.95,1.37,1.40,1.44, 
 , ,–1.0 +1.0,5.00 1.14,2.5,3.40,1.28, , , 
 , ,+1.0 –1.0,1.11 6.00,2.0,2.60,1.47, , , 
 ,2-й тайм:,0 0,1.80 1.95,2.0,1.77,1.97,2.50,3.20,2.75,1.40,1.30,1.47, 
 , ,–1.0 +1.0,4.30 1.20,2.5,2.35,1.55, , , 
 , ,+1.0 –1.0,1.15 5.00,1.5,1.45,2.65, , , 
9055,27/02 21:59,Хетафе Севилья Матчи 2020-02-27,+1.0 –1.0,1.85 1.97  ,3.0,1.87,1.92  ,4.80,4.50,1.60  ,2.35,1.20,1.18  
 ,1-й тайм:,0 0,3.15 1.36,1.5,2.30,1.62,4.80,2.55,2.10,1.70,1.48,1.16, 
 , ,+1.0 –1.0,1.25 3.80,2.0,3.90,1.23, , , 
 , ,+1.5 –1.5,1.15 5.00,1.0,1.53,2.45, , , 
 ,2-й тайм:,+1.0 –1.0,1.36 2.95,1.5,1.77,2.00,4.70,2.95,1.90,1.80,1.35,1.15, 
 , ,0 0,3.20 1.33,2.5,3.35,1.30, , , 
 , ,+1.5 –1.5,1.23 3.90,2.0,2.55,1.48, , , 
