№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
6157,28/02 19:00,СК Днепр-1 Динамо Киев,+2.0 –2.0,1.80 2.01  ,3.0,1.83,1.97  ,13.0,6.70,1.21  ,4.40,1.11,1.02  ,1.0 2.5,4.40 1.92,1.18 1.82  
 ,1-й тайм:,+1.0 –1.0,1.58 2.39,1.5,2.23,1.65,9.20,2.90,1.62,2.21,1.38,1.04, 
 , ,0 0,6.00 1.11,2.0,3.75,1.25, , , 
 , ,+1.5 –1.5,1.30 3.30,1.0,1.48,2.55, , , 
 ,2-й тайм:,+1.0 –1.0,1.90 1.84,1.5,1.76,2.00,9.70,3.50,1.44,2.60,1.25,1.02, 
 , ,+1.5 –1.5,1.47 2.60,2.5,3.30,1.30, , , 
 , ,+2.0 –2.0,1.17 4.60,2.0,2.50,1.49, , , 
4729,29/02 14:00,Десна Чернигов Мариуполь,–1.0 +1.0,2.20 1.67  ,2.5,2.15,1.70  ,1.67,3.75,5.30  ,1.16,1.27,2.20  ,1.5 1.0,1.91 3.05,1.83 1.35  
 ,1-й тайм:,0 0,1.35 3.25,1.0,2.10,1.74,2.33,2.17,5.60,1.12,1.64,1.57, 
 , ,–1.5 +1.5,6.30 1.10,2.0,6.80,1.09, , , 
 , ,–1.0 +1.0,4.90 1.16,1.5,3.10,1.33, , , 
 ,2-й тайм:,0 0,1.31 3.25,1.5,2.31,1.57,2.05,2.50,5.10,1.13,1.47,1.69, 
 , ,–1.5 +1.5,4.80 1.16,2.0,4.10,1.21, , , 
 , ,–1.0 +1.0,3.65 1.25,1.0,1.55,2.35, , , 
4733,29/02 14:00,ФК Львов Александрия,+1.0 –1.0,1.49 2.60  ,2.5,2.14,1.71  ,4.40,3.45,1.86  ,1.94,1.31,1.21  ,1.0 1.5,2.50 2.05,1.49 1.72  
 ,1-й тайм:,0 0,2.75 1.45,1.0,2.08,1.75,4.80,2.14,2.55,1.48,1.66,1.16, 
 , ,+1.0 –1.0,1.12 5.50,2.0,6.70,1.09, , , 
 , ,+1.5 –1.5,1.08 7.00,1.5,3.10,1.33, , , 
 ,2-й тайм:,0 0,2.70 1.44,1.5,2.30,1.58,4.30,2.46,2.26,1.57,1.48,1.18, 
 , ,+1.0 –1.0,1.19 4.30,2.0,4.10,1.21, , , 
 , ,+1.5 –1.5,1.12 5.60,1.0,1.55,2.37, , , 
7289,01/03 14:00,Заря Олимпик Донецк,–1.5 +1.5,2.05 1.77  ,2.5,1.74,2.10  ,1.37,5.00,8.10  ,1.08,1.17,3.10  ,2.0 1.0,1.87 3.50,1.87 1.28  
 ,1-й тайм:,–1.0 +1.0,3.20 1.35,1.0,1.68,2.20,1.88,2.55,7.00,1.08,1.48,1.86, 
 , ,–1.5 +1.5,4.30 1.19,2.0,4.60,1.17, , , 
 , ,0 0,1.19 4.30,1.5,2.48,1.50, , , 
 ,2-й тайм:,–1.0 +1.0,2.44 1.51,1.5,1.97,1.78,1.67,2.95,6.90,1.07,1.35,2.07, 
 , ,–1.5 +1.5,3.40 1.29,2.0,3.10,1.33, , , 
 , ,0 0,1.17 4.70,1.0,1.36,2.95, , , 
7290,01/03 14:00,Колос Ковалевка Карпаты,–1.0 +1.0,2.85 1.42  ,2.5,2.14,1.71  ,1.99,3.35,4.00  ,1.25,1.33,1.82  ,1.5 1.0,2.14 2.30,1.66 1.57  
 ,1-й тайм:,0 0,1.52 2.55,1.0,2.10,1.74,2.70,2.12,4.50,1.18,1.67,1.44, 
 , ,–1.5 +1.5,7.60 1.07,2.0,6.80,1.08, , , 
 , ,–1.0 +1.0,6.10 1.10,1.5,3.15,1.33, , , 
 ,2-й тайм:,0 0,1.49 2.50,1.5,2.30,1.58,2.37,2.45,4.00,1.20,1.49,1.52, 
 , ,–1.5 +1.5,5.90 1.11,2.0,4.00,1.22, , , 
 , ,–1.0 +1.0,4.60 1.17,1.0,1.53,2.39, , , 
8564,01/03 17:00,Ворскла Шахтер Донецк,+2.0 –2.0,1.99 1.82  ,3.0,1.82,1.99  ,18.0,7.50,1.16  ,5.20,1.09,1.01  ,1.0 2.5,5.60 1.83,1.12 1.91  
 ,1-й тайм:,+1.0 –1.0,1.68 2.18,1.5,2.23,1.66,11.0,3.00,1.55,2.35,1.36,1.02, 
 , ,+1.5 –1.5,1.35 3.10,2.0,3.70,1.25, , , 
 , ,+2.0 –2.0,1.10 6.20,1.0,1.48,2.55, , , 
 ,2-й тайм:,+1.0 –1.0,2.06 1.71,1.5,1.75,2.01,11.5,3.70,1.38,2.80,1.23,1.01, 
 , ,+1.5 –1.5,1.53 2.41,2.5,3.30,1.31, , , 
 , ,+2.0 –2.0,1.21 4.10,2.0,2.48,1.50, , , 
