№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
6346,04/03 22:15,Лион ПСЖ,+1.0 –1.0,1.69 2.17  ,3.0,2.02,1.79  ,4.60,4.00,1.70  ,2.15,1.25,1.20  ,1.0 1.5,1.94 1.63,1.80 2.18  
 ,1-й тайм:,0 0,2.95 1.40,1.0,1.63,2.28,4.70,2.45,2.23,1.61,1.51,1.17, 
 , ,+1.0 –1.0,1.20 4.20,2.0,4.40,1.19, , , 
 , ,+1.5 –1.5,1.13 5.50,1.5,2.40,1.53, , , 
 ,2-й тайм:,0 0,2.85 1.39,1.5,1.82,1.92,4.20,2.85,2.03,1.70,1.37,1.19, 
 , ,+1.0 –1.0,1.30 3.35,2.0,2.65,1.44, , , 
 , ,+1.5 –1.5,1.19 4.40,1.0,1.29,3.40, , , 
2519,05/03 21:55,Сент-Этьен Ренн,0 0,1.85 1.96  ,2.0,1.71,2.14  ,2.65,3.15,2.80  ,1.44,1.36,1.48  ,1.0 1.0,1.80 1.88,1.94 1.86  
 ,1-й тайм:,0 0,1.86 1.94,1.0,2.20,1.67,3.35,2.06,3.50,1.28,1.71,1.30, 
 , ,–1.0 +1.0,8.70 1.05,2.0,7.30,1.07, , , 
 , ,+1.0 –1.0,1.04 9.20,1.5,3.25,1.31, , , 
 ,2-й тайм:,0 0,1.83 1.91,1.0,1.62,2.21,3.00,2.33,3.15,1.31,1.53,1.33, 
 , ,–1.0 +1.0,6.90 1.08,2.0,4.50,1.18, , , 
 , ,+1.0 –1.0,1.07 7.30,1.5,2.44,1.52, , , 
