№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
2231,04/03 18:00,Сигма Яблонец,0 0,1.93 1.87  ,2.5,1.90,1.90  ,2.80,3.15,2.70  ,1.47,1.36,1.44  ,1.0 1.0,1.60 1.57,2.25 2.31  
 ,1-й тайм:,0 0,1.89 1.91,1.0,1.84,1.96,3.20,2.23,3.25,1.31,1.61,1.32, 
 , ,–1.0 +1.0,7.80 1.06,2.0,5.50,1.13, , , 
 , ,+1.0 –1.0,1.06 7.90,1.5,2.75,1.42, , , 
 ,2-й тайм:,0 0,1.92 1.82,1.5,2.10,1.69,3.00,2.55,2.85,1.37,1.45,1.33, 
 , ,–1.0 +1.0,6.50 1.09,2.0,3.45,1.28, , , 
 , ,+1.0 –1.0,1.11 6.00,1.0,1.44,2.70, , , 
2217,04/03 18:30,Виктория Пльзень Млада Болеслав,–1.0 +1.0,1.93 1.87  ,2.5,1.78,2.04  ,1.57,4.20,5.70  ,1.14,1.23,2.41  ,1.5 1.0,1.64 2.60,2.17 1.47  
 ,1-й тайм:,0 0,1.31 3.45,1.0,1.71,2.14,2.11,2.41,5.50,1.13,1.53,1.68, 
 , ,–1.5 +1.5,5.10 1.14,2.0,4.80,1.16, , , 
 , ,–1.0 +1.0,3.85 1.23,1.5,2.55,1.48, , , 
 ,2-й тайм:,–1.0 +1.0,3.10 1.35,1.5,2.01,1.75,1.91,2.75,5.20,1.13,1.39,1.79, 
 , ,–1.5 +1.5,4.20 1.21,2.0,3.20,1.32, , , 
 , ,0 0,1.28 3.45,1.0,1.38,2.90, , , 
2189,04/03 18:30,Словацко Слован Либерец,0 0,1.55 2.44  ,2.5,2.15,1.70  ,2.20,3.20,3.50  ,1.30,1.35,1.67  ,1.5 1.0,2.30 2.07,1.58 1.71  
 ,1-й тайм:,0 0,1.63 2.28,1.0,2.10,1.74,2.90,2.11,4.00,1.22,1.68,1.38, 
 , ,–1.5 +1.5,8.40 1.05,2.0,6.80,1.08, , , 
 , ,–1.0 +1.0,6.80 1.08,1.5,3.15,1.33, , , 
 ,2-й тайм:,0 0,1.61 2.23,1.5,2.30,1.58,2.55,2.41,3.60,1.25,1.50,1.45, 
 , ,–1.5 +1.5,6.60 1.09,2.0,4.10,1.21, , , 
 , ,–1.0 +1.0,5.30 1.13,1.0,1.55,2.37, , , 
2218,04/03 19:00,Спарта Прага Баник Острава,–1.0 +1.0,2.03 1.79  ,2.5,1.86,1.95  ,1.60,4.00,5.50  ,1.15,1.25,2.33  ,1.5 1.0,1.71 2.60,2.06 1.45  
 ,1-й тайм:,0 0,1.32 3.35,1.0,1.79,2.03,2.17,2.35,5.50,1.13,1.55,1.64, 
 , ,–1.5 +1.5,5.40 1.13,2.0,5.20,1.14, , , 
 , ,–1.0 +1.0,4.10 1.21,1.5,2.65,1.44, , , 
 ,2-й тайм:,0 0,1.31 3.25,1.5,2.07,1.70,1.97,2.70,5.00,1.13,1.41,1.74, 
 , ,–1.5 +1.5,4.40 1.19,2.0,3.40,1.29, , , 
 , ,–1.0 +1.0,3.30 1.30,1.0,1.42,2.75, , , 
