№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
2989,29/02 20:00,Сьон Санкт-Галлен,0 0,2.70 1.47  ,3.0,1.96,1.84  ,3.60,3.70,1.97  ,1.83,1.28,1.29  ,1.0 1.5,1.63 1.75,2.20 2.01  
 ,1-й тайм:,0 0,2.44 1.55,1.5,2.37,1.59,3.85,2.45,2.48,1.50,1.51,1.23, 
 , ,+1.0 –1.0,1.15 5.00,2.0,4.10,1.21, , , 
 , ,+1.5 –1.5,1.10 6.30,1.0,1.55,2.35, , , 
 ,2-й тайм:,0 0,2.35 1.55,1.5,1.81,1.93,3.50,2.80,2.30,1.55,1.38,1.25, 
 , ,+1.0 –1.0,1.21 4.10,2.0,2.65,1.45, , , 
 , ,+1.5 –1.5,1.14 5.20,1.0,1.28,3.45, , , 
3394,29/02 20:00,Янг Бойз Цюрих,–1.5 +1.5,1.77 2.04  ,3.5,2.05,1.77  ,1.29,6.00,9.00  ,1.06,1.13,3.60  ,2.5 1.0,1.91 2.65,1.83 1.44  
 ,1-й тайм:,–1.0 +1.0,2.55 1.52,1.5,2.04,1.78,1.70,2.95,7.10,1.08,1.37,2.08, 
 , ,–1.5 +1.5,3.45 1.28,2.0,3.20,1.33, , , 
 , ,0 0,1.17 4.70,1.0,1.38,2.90, , , 
 ,2-й тайм:,–1.0 +1.0,2.04 1.72,1.5,1.64,2.17,1.55,3.45,7.00,1.07,1.27,2.30, 
 , ,–1.5 +1.5,2.80 1.40,2.5,2.95,1.37, , , 
 , ,0 0,1.15 5.00,2.0,2.21,1.62, , , 
6616,01/03 17:00,Ксамакс Тун,0 0,1.67 2.21  ,2.5,1.71,2.14  ,2.28,3.50,3.05  ,1.38,1.30,1.63  ,1.5 1.0,2.00 1.58,1.76 2.30  
 ,1-й тайм:,0 0,1.72 2.12,1.0,1.68,2.20,2.80,2.35,3.45,1.28,1.55,1.40, 
 , ,–1.5 +1.5,7.60 1.07,2.0,4.60,1.17, , , 
 , ,–1.0 +1.0,6.20 1.10,1.5,2.48,1.50, , , 
 ,2-й тайм:,0 0,1.70 2.08,1.5,1.92,1.82,2.60,2.65,3.15,1.31,1.42,1.44, 
 , ,–1.5 +1.5,6.20 1.10,2.0,2.95,1.37, , , 
 , ,–1.0 +1.0,5.00 1.15,1.0,1.33,3.10, , , 
6492,01/03 17:00,Люцерн Базель,+1.0 –1.0,1.50 2.60  ,2.5,1.71,2.14  ,3.95,3.65,1.90  ,1.90,1.28,1.25  ,1.0 1.5,1.82 1.80,1.92 1.95  
 ,1-й тайм:,0 0,2.60 1.50,1.0,1.66,2.21,4.20,2.39,2.44,1.52,1.53,1.20, 
 , ,+1.0 –1.0,1.16 4.90,2.0,4.60,1.17, , , 
 , ,+1.5 –1.5,1.10 6.20,1.5,2.46,1.51, , , 
 ,2-й тайм:,0 0,2.46 1.50,1.5,1.93,1.82,3.75,2.70,2.26,1.57,1.41,1.23, 
 , ,+1.0 –1.0,1.21 4.10,2.0,2.95,1.37, , , 
 , ,+1.5 –1.5,1.14 5.20,1.0,1.35,3.10, , , 
6493,01/03 17:00,Серветт Лугано,–1.0 +1.0,2.11 1.73  ,2.5,1.93,1.87  ,1.64,3.90,5.30  ,1.16,1.25,2.26  ,1.5 1.0,1.78 2.65,1.97 1.44  
 ,1-й тайм:,0 0,1.37 3.10,1.0,1.85,1.95,2.28,2.28,5.20,1.14,1.58,1.58, 
 , ,–1.5 +1.5,5.90 1.11,2.0,5.60,1.12, , , 
 , ,–1.0 +1.0,4.50 1.18,1.5,2.75,1.41, , , 
 ,2-й тайм:,0 0,1.30 3.30,1.5,2.14,1.66,1.98,2.65,5.10,1.13,1.42,1.74, 
 , ,–1.5 +1.5,4.50 1.18,2.0,3.60,1.27, , , 
 , ,–1.0 +1.0,3.35 1.30,1.0,1.45,2.60, , , 
