№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
6830,28/02 21:00,Грассхоппер Арау,0 0,1.45 2.65  ,2.5,1.71,2.07  ,1.94,3.65,3.60  ,1.27,1.25,1.80  ,1.5 1.0,1.85 1.79,1.89 1.96  
 ,1-й тайм:,0 0,1.53 2.41,1.0,1.69,2.10,2.55,2.33,4.00,1.22,1.57,1.48, 
 , ,–1.5 +1.5,6.70 1.09,2.0,4.80,1.16, , , 
 , ,–1.0 +1.0,5.30 1.14,1.5,2.55,1.48, , , 
 ,2-й тайм:,0 0,1.53 2.41,1.5,1.93,1.82,2.30,2.70,3.65,1.23,1.41,1.55, 
 , ,–1.5 +1.5,5.40 1.13,2.0,2.95,1.37, , , 
 , ,–1.0 +1.0,4.20 1.20,1.0,1.33,3.10, , , 
580,29/02 18:00,Стад Лозанна-Уши Кьяссо,–1.0 +1.0,2.55 1.47  ,2.5,1.74,2.02  ,1.89,3.60,3.85  ,1.23,1.27,1.85  ,1.5 1.0,1.84 1.88,1.90 1.86  
 ,1-й тайм:,0 0,1.49 2.50,1.0,1.71,2.07,2.48,2.33,4.20,1.20,1.57,1.50, 
 , ,–1.5 +1.5,6.50 1.09,2.0,4.90,1.15, , , 
 , ,–1.0 +1.0,5.10 1.15,1.5,2.55,1.47, , , 
 ,2-й тайм:,0 0,1.50 2.48,1.5,1.97,1.78,2.28,2.65,3.75,1.23,1.42,1.55, 
 , ,–1.5 +1.5,5.30 1.14,2.0,3.05,1.35, , , 
 , ,–1.0 +1.0,4.10 1.21,1.0,1.36,3.00, , , 
424,29/02 18:30,Виль Лозанна,+1.0 –1.0,2.12 1.67  ,2.5,1.68,2.10  ,6.60,4.60,1.42  ,2.75,1.17,1.09  ,1.0 2.0,2.90 1.94,1.38 1.80  
 ,1-й тайм:,+1.0 –1.0,1.30 3.30,1.0,1.62,2.21,6.30,2.50,1.95,1.80,1.49,1.10, 
 , ,0 0,3.85 1.23,2.0,4.50,1.18, , , 
 , ,+1.5 –1.5,1.18 4.50,1.5,2.44,1.52, , , 
 ,2-й тайм:,+1.0 –1.0,1.44 2.65,1.5,1.94,1.80,5.90,2.90,1.76,1.95,1.36,1.10, 
 , ,0 0,4.00 1.22,2.0,3.00,1.36, , , 
 , ,+1.5 –1.5,1.25 3.65,1.0,1.35,3.05, , , 
429,29/02 18:30,Кринс Шаффхаузен,–1.0 +1.0,2.39 1.53  ,2.5,1.92,1.83  ,1.78,3.65,4.30  ,1.19,1.25,1.97  ,1.5 1.0,1.89 2.31,1.85 1.57  
 ,1-й тайм:,0 0,1.42 2.75,1.0,1.87,1.87,2.44,2.23,4.70,1.17,1.61,1.52, 
 , ,–1.5 +1.5,6.50 1.09,2.0,5.80,1.11, , , 
 , ,–1.0 +1.0,5.10 1.15,1.5,2.85,1.39, , , 
 ,2-й тайм:,0 0,1.41 2.80,1.5,2.12,1.67,2.17,2.60,4.30,1.18,1.44,1.61, 
 , ,–1.5 +1.5,5.10 1.15,2.0,3.55,1.27, , , 
 , ,–1.0 +1.0,3.90 1.23,1.0,1.45,2.65, , , 
3387,01/03 16:00,Вадуц Винтертур,–1.0 +1.0,2.28 1.59  ,3.0,2.04,1.73  ,1.75,3.90,4.10  ,1.21,1.23,2.01  ,1.5 1.0,1.69 1.88,2.10 1.86  
 ,1-й тайм:,0 0,1.44 2.70,1.0,1.60,2.25,2.33,2.44,4.40,1.19,1.52,1.57, 
 , ,–1.5 +1.5,5.80 1.12,2.0,4.40,1.19, , , 
 , ,–1.0 +1.0,4.50 1.18,1.5,2.40,1.53, , , 
 ,2-й тайм:,0 0,1.42 2.70,1.5,1.87,1.87,2.11,2.80,4.00,1.20,1.38,1.65, 
 , ,–1.5 +1.5,4.70 1.17,2.0,2.80,1.40, , , 
 , ,–1.0 +1.0,3.60 1.27,1.0,1.31,3.25, , , 
