№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
9265,28/02 21:45,Хиберниан Инвернесс,–1.0 +1.0,1.86 1.94  ,2.5,1.74,2.08  ,1.52,4.30,6.20  ,1.12,1.22,2.55  ,2.0 1.0,2.11 2.60,1.68 1.45  
 ,1-й тайм:,0 0,1.30 3.55,1.0,1.69,2.17,2.07,2.44,5.60,1.12,1.52,1.71, 
 , ,–1.5 +1.5,5.00 1.15,2.0,4.70,1.17, , , 
 , ,–1.0 +1.0,3.70 1.25,1.5,2.50,1.49, , , 
 ,2-й тайм:,–1.0 +1.0,2.95 1.37,1.5,1.97,1.78,1.86,2.80,5.40,1.12,1.38,1.84, 
 , ,–1.5 +1.5,3.95 1.22,2.0,3.05,1.35, , , 
 , ,0 0,1.27 3.60,1.0,1.36,3.00, , , 
2947,29/02 19:30,Хартс Рейнджерс,+1.0 –1.0,2.01 1.75  ,3.0,2.08,1.70  ,6.30,4.40,1.47  ,2.55,1.19,1.10  ,1.0 2.0,2.55 1.97,1.47 1.78  
 ,1-й тайм:,+1.0 –1.0,1.27 3.55,1.0,1.65,2.17,5.90,2.48,2.01,1.75,1.50,1.11, 
 , ,0 0,3.65 1.25,2.0,4.60,1.17, , , 
 , ,+1.5 –1.5,1.16 4.80,1.5,2.48,1.50, , , 
 ,2-й тайм:,+1.0 –1.0,1.42 2.75,1.5,1.86,1.88,5.40,2.95,1.80,1.90,1.35,1.12, 
 , ,0 0,3.70 1.25,2.0,2.80,1.41, , , 
 , ,+1.5 –1.5,1.25 3.75,1.0,1.31,3.30, , , 
2941,29/02 21:20,Сент-Миррен Абердин,0 0,2.15 1.70  ,2.0,1.73,2.11  ,3.10,3.10,2.44  ,1.55,1.37,1.37  ,1.0 1.0,2.03 1.72,1.73 2.05  
 ,1-й тайм:,0 0,2.08 1.74,1.0,2.28,1.63,3.80,2.03,3.20,1.32,1.73,1.25, 
 , ,+1.0 –1.0,1.06 8.10,2.0,7.60,1.07, , , 
 , ,+1.5 –1.5,1.03 9.70,1.5,3.40,1.29, , , 
 ,2-й тайм:,0 0,2.04 1.72,1.0,1.61,2.23,3.35,2.35,2.80,1.38,1.53,1.28, 
 , ,+1.0 –1.0,1.10 6.20,2.0,4.40,1.18, , , 
 , ,+1.5 –1.5,1.07 7.60,1.5,2.41,1.52, , , 
6472,01/03 17:00,Сент-Джонстон Селтик,+1.5 –1.5,1.88 1.92  ,2.5,1.72,2.12  ,9.30,5.30,1.32  ,3.40,1.16,1.06  ,1.0 2.0,3.95 1.77,1.23 1.98  
 ,1-й тайм:,+1.0 –1.0,1.40 2.95,1.0,1.65,2.23,7.80,2.60,1.80,1.95,1.47,1.06, 
 , ,0 0,4.90 1.16,2.0,4.50,1.18, , , 
 , ,+1.5 –1.5,1.22 4.00,1.5,2.45,1.51, , , 
 ,2-й тайм:,+1.0 –1.0,1.59 2.28,1.5,1.95,1.79,7.60,3.05,1.61,2.17,1.33,1.05, 
 , ,0 0,5.20 1.14,2.0,3.05,1.35, , , 
 , ,+1.5 –1.5,1.32 3.20,1.0,1.35,3.05, , , 
