№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
3546,29/02 17:00,Дамбартон Рэйт Роверс,+1.0 –1.0,1.49 2.50  ,2.5,1.80,1.94  ,3.85,3.70,1.86  ,1.88,1.25,1.23  ,1.0 1.5,2.01 1.87,1.75 1.87  
 ,1-й тайм:,0 0,2.55 1.48,1.0,1.77,1.98,4.30,2.28,2.50,1.49,1.58,1.19, 
 , ,+1.0 –1.0,1.14 5.20,2.0,5.30,1.14, , , 
 , ,+1.5 –1.5,1.09 6.60,1.5,2.70,1.44, , , 
 ,2-й тайм:,0 0,2.60 1.47,1.5,2.02,1.74,3.95,2.65,2.23,1.58,1.42,1.21, 
 , ,+1.0 –1.0,1.22 4.00,2.0,3.25,1.32, , , 
 , ,+1.5 –1.5,1.14 5.20,1.0,1.39,2.85, , , 
3539,29/02 17:00,Клайд Фалкирк,+1.0 –1.0,1.51 2.46  ,2.5,1.82,1.92  ,4.00,3.65,1.83  ,1.91,1.25,1.22  ,1.0 1.5,2.08 1.87,1.70 1.87  
 ,1-й тайм:,0 0,2.65 1.45,1.0,1.79,1.96,4.50,2.28,2.45,1.51,1.58,1.18, 
 , ,+1.0 –1.0,1.15 5.10,2.0,5.40,1.13, , , 
 , ,+1.5 –1.5,1.09 6.50,1.5,2.70,1.42, , , 
 ,2-й тайм:,0 0,2.65 1.45,1.5,2.05,1.72,4.00,2.60,2.21,1.59,1.44,1.20, 
 , ,+1.0 –1.0,1.22 4.00,2.0,3.30,1.30, , , 
 , ,+1.5 –1.5,1.14 5.20,1.0,1.40,2.80, , , 
3545,29/02 17:00,Монтроз Эйрдрионианс,0 0,1.68 2.11  ,2.5,1.76,1.99  ,2.30,3.45,2.90  ,1.38,1.28,1.58  ,1.5 1.0,2.10 1.62,1.69 2.21  
 ,1-й тайм:,0 0,1.72 2.04,1.0,1.75,2.01,2.95,2.28,3.50,1.28,1.58,1.37, 
 , ,–1.5 +1.5,8.10 1.06,2.0,5.10,1.14, , , 
 , ,–1.0 +1.0,6.70 1.09,1.5,2.65,1.45, , , 
 ,2-й тайм:,0 0,1.72 2.04,1.5,1.97,1.78,2.65,2.60,3.10,1.32,1.44,1.42, 
 , ,–1.5 +1.5,6.50 1.09,2.0,3.10,1.35, , , 
 , ,–1.0 +1.0,5.30 1.14,1.0,1.36,3.00, , , 
2651,29/02 17:00,Странрар Питерхед,0 0,2.14 1.67  ,2.5,1.73,2.03  ,2.95,3.45,2.28  ,1.58,1.28,1.37  ,1.0 1.5,1.60 2.06,2.25 1.71  
 ,1-й тайм:,0 0,2.06 1.71,1.0,1.72,2.05,3.50,2.30,2.90,1.38,1.58,1.28, 
 , ,+1.0 –1.0,1.09 6.50,2.0,5.00,1.15, , , 
 , ,+1.5 –1.5,1.06 7.90,1.5,2.60,1.47, , , 
 ,2-й тайм:,0 0,2.06 1.71,1.5,1.94,1.80,3.15,2.65,2.60,1.44,1.42,1.31, 
 , ,+1.0 –1.0,1.14 5.10,2.0,3.00,1.36, , , 
 , ,+1.5 –1.5,1.10 6.40,1.0,1.35,3.05, , , 
3392,29/02 17:00,Форфар Атлетик Ист Файф,0 0,2.21 1.62  ,2.5,1.75,2.01  ,2.95,3.70,2.17  ,1.64,1.25,1.37  ,1.0 1.5,1.66 2.02,2.14 1.74  
 ,1-й тайм:,0 0,2.10 1.69,1.0,1.72,2.05,3.55,2.30,2.85,1.39,1.58,1.27, 
 , ,+1.0 –1.0,1.10 6.40,2.0,5.00,1.15, , , 
 , ,+1.5 –1.5,1.06 7.80,1.5,2.60,1.47, , , 
 ,2-й тайм:,0 0,2.17 1.64,1.5,1.97,1.78,3.30,2.65,2.50,1.47,1.42,1.29, 
 , ,+1.0 –1.0,1.16 4.80,2.0,3.10,1.35, , , 
 , ,+1.5 –1.5,1.11 6.10,1.0,1.36,3.00, , , 
