№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
2955,03/03 21:45,Хиберниан Хартс,0 0,1.62 2.30  ,2.5,1.89,1.91  ,2.23,3.45,3.15  ,1.36,1.31,1.66  ,1.5 1.0,2.12 1.76,1.67 1.99  
 ,1-й тайм:,0 0,1.68 2.18,1.0,1.86,1.95,2.85,2.23,3.70,1.25,1.61,1.39, 
 , ,–1.5 +1.5,8.00 1.06,2.0,5.60,1.12, , , 
 , ,–1.0 +1.0,6.60 1.09,1.5,2.75,1.41, , , 
 ,2-й тайм:,0 0,1.66 2.15,1.5,2.07,1.71,2.55,2.55,3.35,1.28,1.45,1.45, 
 , ,–1.5 +1.5,6.40 1.10,2.0,3.35,1.29, , , 
 , ,–1.0 +1.0,5.10 1.14,1.0,1.41,2.75, , , 
6470,04/03 21:45,Килмарнок Абердин,0 0,1.94 1.86  ,2.0,1.82,1.99  ,2.80,3.05,2.70  ,1.47,1.38,1.44  ,1.0 1.0,1.97 1.91,1.78 1.83  
 ,1-й тайм:,0 0,1.94 1.86,1.0,2.45,1.55,3.65,1.97,3.50,1.28,1.78,1.25, 
 , ,–1.0 +1.0,10.0 1.03,2.0,8.40,1.05, , , 
 , ,+1.0 –1.0,1.04 9.40,1.5,3.60,1.27, , , 
 ,2-й тайм:,0 0,1.89 1.85,1.0,1.66,2.15,3.10,2.31,3.05,1.33,1.55,1.32, 
 , ,–1.0 +1.0,7.40 1.07,2.0,4.70,1.17, , , 
 , ,+1.0 –1.0,1.08 7.10,1.5,2.50,1.50, , , 
6471,04/03 21:45,Ливингстон Селтик,+1.5 –1.5,1.71 2.14  ,2.5,1.84,1.96  ,8.10,4.70,1.39  ,3.00,1.19,1.08  ,1.0 2.0,3.75 2.01,1.25 1.75  
 ,1-й тайм:,+1.0 –1.0,1.32 3.40,1.0,1.76,2.06,7.10,2.45,1.92,1.82,1.51,1.08, 
 , ,0 0,4.30 1.19,2.0,5.10,1.14, , , 
 , ,+1.5 –1.5,1.18 4.50,1.5,2.65,1.45, , , 
 ,2-й тайм:,+1.0 –1.0,1.47 2.55,1.5,2.07,1.70,6.90,2.85,1.71,2.01,1.37,1.07, 
 , ,0 0,4.60 1.17,2.0,3.40,1.29, , , 
 , ,+1.5 –1.5,1.27 3.55,1.0,1.42,2.75, , , 
6779,04/03 21:45,Мазервелл Росс Каунти,–1.0 +1.0,2.31 1.61  ,2.5,2.00,1.81  ,1.74,3.70,4.80  ,1.18,1.28,2.10  ,1.5 1.0,1.88 2.55,1.86 1.48  
 ,1-й тайм:,0 0,1.39 3.00,1.0,1.94,1.86,2.35,2.23,5.10,1.14,1.61,1.55, 
 , ,–1.5 +1.5,6.30 1.10,2.0,6.00,1.11, , , 
 , ,–1.0 +1.0,4.80 1.16,1.5,2.90,1.38, , , 
 ,2-й тайм:,0 0,1.37 2.95,1.5,2.20,1.63,2.12,2.55,4.60,1.16,1.45,1.64, 
 , ,–1.5 +1.5,5.00 1.15,2.0,3.75,1.25, , , 
 , ,–1.0 +1.0,3.80 1.25,1.0,1.48,2.55, , , 
6273,04/03 21:45,Рейнджерс Гамильтон,–2.5 +2.5,1.87 1.93  ,3.5,2.03,1.78  ,1.09,10.0,25.0  , ,1.05,7.40  ,3.0 1.0,1.94 7.90,1.81 1.06  
 ,1-й тайм:,–1.0 +1.0,1.78 2.03,1.5,2.03,1.78,1.40,3.45,15.0, ,1.28,2.80, 
 , ,–2.0 +2.0,4.60 1.17,2.0,3.15,1.33, , , 
 , ,–1.5 +1.5,2.55 1.48,1.0,1.38,2.90, , , 
 ,2-й тайм:,–1.5 +1.5,2.06 1.71,1.5,1.63,2.18,1.28,4.30,15.5, ,1.18,3.35, 
 , ,–2.0 +2.0,3.20 1.32,2.5,2.95,1.37, , , 
 , ,–1.0 +1.0,1.48 2.55,2.0,2.20,1.63, , , 
6486,04/03 21:45,Сент-Миррен Сент-Джонстон,0 0,1.88 1.92  ,2.0,1.85,1.95  ,2.70,3.05,2.80  ,1.44,1.38,1.47  ,1.0 1.0,1.95 1.98,1.79 1.77  
 ,1-й тайм:,0 0,1.89 1.91,1.0,2.45,1.55,3.55,1.97,3.60,1.27,1.78,1.27, 
 , ,–1.0 +1.0,9.60 1.04,2.0,8.40,1.05, , , 
 , ,+1.0 –1.0,1.03 9.80,1.5,3.60,1.27, , , 
 ,2-й тайм:,0 0,1.85 1.89,1.0,1.69,2.10,3.10,2.28,3.15,1.31,1.55,1.32, 
 , ,–1.0 +1.0,7.30 1.07,2.0,4.80,1.16, , , 
 , ,+1.0 –1.0,1.07 7.50,1.5,2.55,1.48, , , 
