№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
6442,28/02 00:15,Пласа Колония Самора,–1.0 +1.0,2.80 1.44  ,2.0,1.83,1.97  ,1.91,3.25,4.50  ,1.20,1.35,1.89  ,1.5 1.0,2.26 2.90,1.59 1.38  
 ,1-й тайм:,0 0,1.44 2.80,1.0,2.39,1.58,2.65,2.02,5.10,1.14,1.74,1.44, 
 , ,–1.5 +1.5,7.80 1.06,2.0,8.10,1.06, , , 
 , ,–1.0 +1.0,6.20 1.10,1.5,3.55,1.27, , , 
 ,2-й тайм:,0 0,1.44 2.70,1.0,1.69,2.08,2.35,2.33,4.40,1.17,1.53,1.53, 
 , ,–1.5 +1.5,6.10 1.11,2.0,4.90,1.16, , , 
 , ,–1.0 +1.0,4.70 1.17,1.5,2.55,1.48, , , 
6718,28/02 02:30,Аудакс Итальяно Куско,–1.0 +1.0,1.68 2.18  ,2.5,2.17,1.69  ,1.41,4.40,8.60  ,1.07,1.21,2.90  ,1.5 1.0,1.70 5.10,2.07 1.15  
 ,1-й тайм:,–1.0 +1.0,4.20 1.23,1.0,2.14,1.71,2.10,2.20,7.20,1.07,1.63,1.69, 
 , ,–1.5 +1.5,5.40 1.13,2.0,6.90,1.08, , , 
 , ,0 0,1.21 4.10,1.5,3.20,1.32, , , 
 ,2-й тайм:,–1.0 +1.0,2.60 1.47,1.5,2.30,1.57,1.70,2.70,8.10,1.04,1.41,2.03, 
 , ,–1.5 +1.5,3.65 1.25,2.0,4.10,1.21, , , 
 , ,0 0,1.14 5.30,1.0,1.55,2.37, , , 
6278,28/02 02:30,Форталеза Индепендьенте,0 0,1.47 2.70  ,2.0,1.94,1.87  ,2.12,3.10,3.90  ,1.25,1.37,1.72  ,1.0 1.0,1.68 2.70,2.11 1.44  
 ,1-й тайм:,0 0,1.55 2.45,1.0,2.55,1.52,2.95,1.96,4.60,1.17,1.79,1.37, 
 , ,–1.5 +1.5,9.00 1.04,2.0,8.80,1.05, , , 
 , ,–1.0 +1.0,7.40 1.07,1.5,3.75,1.25, , , 
 ,2-й тайм:,0 0,1.52 2.41,1.0,1.76,2.00,2.55,2.26,4.00,1.20,1.57,1.45, 
 , ,–1.5 +1.5,6.90 1.08,2.0,5.20,1.14, , , 
 , ,–1.0 +1.0,5.50 1.13,1.5,2.65,1.44, , , 
