№,Дата,Событие,Фора,КФ,Т,Б,М,П1,X,П2,1X,12,X2,iТ,Б,М
5778,27/02 19:00,Вена-2 Гердейна,+1.5 –1.5,1.93 1.81  ,6.5,1.89,1.85  ,4.30,5.30,1.48  ,2.55,1.14,1.19  ,2.5 4.0,2.02 1.89,1.74 1.85  
 ,1-й пер.:,0 0,2.90 1.38,1.5,1.62,2.21,4.00,3.00,1.93, , 
 ,2-й пер.:,0 0,2.75 1.41,2.5,2.21,1.62,3.70,3.35,1.90, , 
 ,3-й пер.:,+1.0 –1.0,1.44 2.70,2.5,2.25,1.60,3.75,3.35,1.88, , 
5779,27/02 20:15,Зальцбург (мол.) Клагенфурт-2,–3.0 +3.0,1.99 1.77  ,7.5,2.00,1.76  ,1.21,7.70,7.10  ,1.08,1.06,4.10  ,5.0 2.0,1.89 1.70,1.85 2.07  
 ,1-й пер.:,–1.0 +1.0,2.12 1.67,2.5,2.44,1.52,1.60,3.50,5.30, , 
 ,2-й пер.:,–1.0 +1.0,2.04 1.72,2.5,1.91,1.84,1.60,3.80,4.80, , 
 ,3-й пер.:,–1.0 +1.0,2.01 1.75,2.5,1.97,1.78,1.58,3.80,4.90, , 
5775,27/02 20:15,Олимпия Любляна Пустерталь Валь Пустерия,0 0,2.03 1.73  ,5.5,1.84,1.90  ,2.50,4.30,2.14  ,1.66,1.19,1.49  ,2.5 3.0,1.82 2.10,1.92 1.69  
 ,1-й пер.:,0 0,1.98 1.77,1.5,1.87,1.87,2.90,2.65,2.65, , 
 ,2-й пер.:,0 0,1.97 1.78,1.5,1.58,2.30,2.75,2.95,2.50, , 
 ,3-й пер.:,0 0,1.97 1.78,1.5,1.60,2.25,2.75,2.95,2.50, , 
5780,27/02 20:30,Люстенау Випитено,0 0,1.88 1.86  ,6.0,1.74,2.02  ,2.31,4.40,2.30  ,1.58,1.19,1.57  ,3.0 3.0,1.86 1.85,1.88 1.89  
 ,1-й пер.:,0 0,1.87 1.87,1.5,1.68,2.11,2.70,2.85,2.70, , 
 ,2-й пер.:,0 0,1.87 1.87,2.5,2.35,1.55,2.55,3.10,2.55, , 
 ,3-й пер.:,0 0,1.87 1.87,2.5,2.37,1.55,2.55,3.15,2.55, , 
5781,27/02 20:30,Фельдкирх Целлер Айсберен,–1.0 +1.0,1.77 1.98  ,6.5,1.99,1.76  ,1.63,4.70,3.65  ,1.25,1.17,2.20  ,3.5 2.5,1.76 1.91,2.00 1.83  
 ,1-й пер.:,0 0,1.47 2.60,1.5,1.66,2.15,2.08,2.90,3.60, , 
 ,2-й пер.:,0 0,1.50 2.50,2.5,2.30,1.58,2.04,3.20,3.35, , 
 ,3-й пер.:,0 0,1.48 2.55,2.5,2.33,1.57,2.01,3.25,3.40, , 
5782,27/02 21:00,Адлер Кицбюэль Стил Уингз Линц,–4.0 +4.0,1.75 2.01  ,7.5,1.89,1.85  ,1.05,12.0,15.0  , ,1.01,8.50  ,6.0 1.5,2.00 1.87,1.75 1.87  
 ,1-й пер.:,–1.5 +1.5,2.12 1.67,2.5,2.33,1.57,1.33,4.20,8.80, , 
 ,2-й пер.:,–1.5 +1.5,2.03 1.73,2.5,1.83,1.91,1.35,4.50,7.30, , 
 ,3-й пер.:,–1.5 +1.5,2.07 1.71,2.5,1.94,1.80,1.35,4.40,7.60, , 
5776,27/02 21:00,Риттен Спорт Есенице,–1.0 +1.0,1.82 1.92  ,6.0,1.93,1.82  ,1.63,4.90,3.55  ,1.27,1.16,2.20  ,3.5 2.5,1.92 2.07,1.82 1.70  
 ,1-й пер.:,0 0,1.47 2.55,1.5,1.76,2.00,2.14,2.80,3.65, , 
 ,2-й пер.:,0 0,1.50 2.48,1.5,1.50,2.48,2.08,3.10,3.40, , 
 ,3-й пер.:,0 0,1.49 2.50,1.5,1.52,2.44,2.05,3.15,3.45, , 
5777,27/02 21:30,Азиаго Кортина,0 0,1.88 1.86  ,6.0,1.99,1.76  ,2.31,4.30,2.28  ,1.58,1.19,1.57  ,3.0 3.0,2.07 2.05,1.71 1.72  
 ,1-й пер.:,0 0,1.88 1.86,1.5,1.78,1.97,2.75,2.75,2.70, , 
 ,2-й пер.:,0 0,1.88 1.86,1.5,1.51,2.44,2.60,3.00,2.60, , 
 ,3-й пер.:,0 0,1.88 1.86,1.5,1.53,2.39,2.60,3.05,2.60, , 
5783,27/02 21:30,Фасса Брегенцервальд,–1.5 +1.5,1.78 1.97  ,6.5,1.86,1.88  ,1.47,5.20,4.40  ,1.19,1.14,2.55  ,4.0 2.5,1.84 2.03,1.90 1.73  
 ,1-й пер.:,–1.0 +1.0,2.95 1.37,1.5,1.61,2.23,1.91,3.05,4.10, , 
 ,2-й пер.:,–1.0 +1.0,2.70 1.42,2.5,2.18,1.63,1.88,3.35,3.75, , 
 ,3-й пер.:,–1.0 +1.0,2.65 1.45,2.5,2.23,1.61,1.85,3.35,3.80, , 
